day,month,year,waterbody,site,depth,reps,variable,value
1,6,2017,yawgoo,blank,int,1,blank,na
1,6,2017,yawgoo,blank,int,2,blank,na
1,6,2017,yawgoo,1,int,1,chla_rfu,na
1,6,2017,yawgoo,1,int,2,chla_rfu,na
1,6,2017,yawgoo,1,int,1,filter_vol,na
1,6,2017,yawgoo,2,int,1,chla_rfu,na
1,6,2017,yawgoo,2,int,2,chla_rfu,na
1,6,2017,yawgoo,2,int,1,filter_vol,na
1,6,2017,yawgoo,3,int,1,chla_rfu,na
1,6,2017,yawgoo,3,int,2,chla_rfu,na
1,6,2017,yawgoo,3,int,1,filter_vol,na
1,6,2017,yawgoo,4,int,1,chla_rfu,na
1,6,2017,yawgoo,4,int,2,chla_rfu,na
1,6,2017,yawgoo,4,int,1,filter_vol,na
1,6,2017,yawgoo,5,int,1,chla_rfu,na
1,6,2017,yawgoo,5,int,2,chla_rfu,na
1,6,2017,yawgoo,5,int,1,filter_vol,na
1,6,2017,yawgoo,6,int,1,chla_rfu,na
1,6,2017,yawgoo,6,int,2,chla_rfu,na
1,6,2017,yawgoo,6,int,2,filter_vol,na
1,6,2017,yawgoo,p,int,1,chla_rfu,na
1,6,2017,yawgoo,p,int,2,chla_rfu,na
1,6,2017,yawgoo,p,int,3,chla_rfu,na
1,6,2017,yawgoo,p,int,1,filter_vol,na
1,6,2017,warwick,blank,int,1,blank,na
1,6,2017,warwick,blank,int,2,blank,na
1,6,2017,warwick,1,int,1,chla_rfu,na
1,6,2017,warwick,1,int,2,chla_rfu,na
1,6,2017,warwick,1,int,1,filter_vol,na
1,6,2017,warwick,2,int,1,chla_rfu,na
1,6,2017,warwick,2,int,2,chla_rfu,na
1,6,2017,warwick,2,int,1,filter_vol,na
1,6,2017,warwick,3,int,1,chla_rfu,na
1,6,2017,warwick,3,int,2,chla_rfu,na
1,6,2017,warwick,3,int,1,filter_vol,na
1,6,2017,warwick,4,int,1,chla_rfu,na
1,6,2017,warwick,4,int,2,chla_rfu,na
1,6,2017,warwick,4,int,1,filter_vol,na
1,6,2017,warwick,5,int,1,chla_rfu,na
1,6,2017,warwick,5,int,2,chla_rfu,na
1,6,2017,warwick,5,int,1,filter_vol,na
1,6,2017,warwick,6,int,1,chla_rfu,na
1,6,2017,warwick,6,int,2,chla_rfu,na
1,6,2017,warwick,6,int,1,filter_vol,na
1,6,2017,warwick,p,int,1,chla_rfu,na
1,6,2017,warwick,p,int,2,chla_rfu,na
1,6,2017,warwick,p,int,3,chla_rfu,na
1,6,2017,warwick,p,int,1,filter_vol,na
7,6,2017,yawgoo,blank,int,1,blank,0.36
7,6,2017,yawgoo,blank,int,2,blank,0.37
7,6,2017,yawgoo,1,int,1,chla_rfu,183.86
7,6,2017,yawgoo,1,int,2,chla_rfu,362.02
7,6,2017,yawgoo,1,int,1,filter_vol,400
7,6,2017,yawgoo,2,int,1,chla_rfu,462.72
7,6,2017,yawgoo,2,int,2,chla_rfu,480.36
7,6,2017,yawgoo,2,int,1,filter_vol,400
7,6,2017,yawgoo,3,int,1,chla_rfu,710.19
7,6,2017,yawgoo,3,int,2,chla_rfu,854.87
