day,month,year,waterbody,site,depth,reps,variable,value
1,6,2017,yawgoo,1,0,1,do,8.47
1,6,2017,yawgoo,1,1,1,do,8
1,6,2017,yawgoo,1,2,1,do,8.28
1,6,2017,yawgoo,1,0,1,%do,91.2
1,6,2017,yawgoo,1,1,1,%do,86.9
1,6,2017,yawgoo,1,2,1,%do,87.6
1,6,2017,yawgoo,1,0,1,temp,19.3
1,6,2017,yawgoo,1,1,1,temp,19
1,6,2017,yawgoo,1,2,1,temp,18.4
1,6,2017,yawgoo,1,0,1,spc,69.1
1,6,2017,yawgoo,1,1,1,spc,69.1
1,6,2017,yawgoo,1,2,1,spc,69.2
1,6,2017,yawgoo,1,0,1,ph,6.75
1,6,2017,yawgoo,1,1,1,ph,6.72
1,6,2017,yawgoo,1,2,1,ph,6.62
1,6,2017,yawgoo,1,0,1,salinity,0.03
1,6,2017,yawgoo,1,1,1,salinity,0.03
1,6,2017,yawgoo,1,2,1,salinity,0.03
1,6,2017,yawgoo,1,0,1,cond,61.6
1,6,2017,yawgoo,1,1,1,cond,61.2
1,6,2017,yawgoo,1,2,1,cond,60.4
1,6,2017,yawgoo,1,int,1,secchi,1.65
1,6,2017,yawgoo,2,0,1,do,8.38
1,6,2017,yawgoo,2,1,1,do,7.79
1,6,2017,yawgoo,2,2,1,do,7.75
1,6,2017,yawgoo,2,0,1,%do,90.9
1,6,2017,yawgoo,2,1,1,%do,82.6
1,6,2017,yawgoo,2,2,1,%do,82.4
1,6,2017,yawgoo,2,0,1,temp,19.1
1,6,2017,yawgoo,2,1,1,temp,19.1
1,6,2017,yawgoo,2,2,1,temp,19
1,6,2017,yawgoo,2,0,1,spc,69
1,6,2017,yawgoo,2,1,1,spc,69
1,6,2017,yawgoo,2,2,1,spc,69
1,6,2017,yawgoo,2,0,1,ph,6.73
1,6,2017,yawgoo,2,1,1,ph,6.72
1,6,2017,yawgoo,2,2,1,ph,6.71
1,6,2017,yawgoo,2,0,1,salinity,0.03
1,6,2017,yawgoo,2,1,1,salinity,0.03
1,6,2017,yawgoo,2,2,1,salinity,0.03
1,6,2017,yawgoo,2,0,1,cond,61.3
1,6,2017,yawgoo,2,1,1,cond,61.3
1,6,2017,yawgoo,2,2,1,cond,61.1
1,6,2017,yawgoo,2,int,1,secchi,1.93
1,6,2017,yawgoo,3,0,1,do,8.53
1,6,2017,yawgoo,3,1,1,do,8.33
1,6,2017,yawgoo,3,2,1,do,7.82
1,6,2017,yawgoo,3,0,1,%do,92.3
1,6,2017,yawgoo,3,1,1,%do,90.5
1,6,2017,yawgoo,3,2,1,%do,85
1,6,2017,yawgoo,3,0,1,temp,19.2
1,6,2017,yawgoo,3,1,1,temp,19.1
1,6,2017,yawgoo,3,2,1,temp,19
1,6,2017,yawgoo,3,0,1,spc,69.5
1,6,2017,yawgoo,3,1,1,spc,69.5
1,6,2017,yawgoo,3,2,1,spc,69.5
1,6,2017,yawgoo,3,0,1,ph,6.72
1,6,2017,yawgoo,3,1,1,ph,6.71
1,6,2017,yawgoo,3,2,1,ph,6.7
1,6,2017,yawgoo,3,0,1,salinity,0.03
1,6,2017,yawgoo,3,1,1,salinity,0.03
1,6,2017,yawgoo,3,2,1,salinity,0.03
1,6,2017,yawgoo,3,0,1,cond,61.7
1,6,2017,yawgoo,3,1,1,cond,61.6
1,6,2017,yawgoo,3,2,1,cond,61.6
1,6,2017,yawgoo,3,int,1,secchi,2
1,6,2017,yawgoo,4,0,1,do,8.09
1,6,2017,yawgoo,4,1,1,do,8.13
1,6,2017,yawgoo,4,2,1,do,7.03
1,6,2017,yawgoo,4,0,1,%do,88.5
1,6,2017,yawgoo,4,1,1,%do,87.2
1,6,2017,yawgoo,4,2,1,%do,73.6
1,6,2017,yawgoo,4,0,1,temp,19.4
1,6,2017,yawgoo,4,1,1,temp,19
1,6,2017,yawgoo,4,2,1,temp,17.8
1,6,2017,yawgoo,4,0,1,spc,69.2
1,6,2017,yawgoo,4,1,1,spc,69.3
1,6,2017,yawgoo,4,2,1,spc,69.4
1,6,2017,yawgoo,4,0,1,ph,6.68
1,6,2017,yawgoo,4,1,1,ph,6.67
1,6,2017,yawgoo,4,2,1,ph,6.51
1,6,2017,yawgoo,4,0,1,salinity,0.03
1,6,2017,yawgoo,4,1,1,salinity,0.03
1,6,2017,yawgoo,4,2,1,salinity,0.03
1,6,2017,yawgoo,4,0,1,cond,61.8
1,6,2017,yawgoo,4,1,1,cond,61.4
1,6,2017,yawgoo,4,2,1,cond,60
1,6,2017,yawgoo,4,int,1,secchi,2.1
1,6,2017,yawgoo,5,0,1,do,7.99
1,6,2017,yawgoo,5,1,1,do,7.95
1,6,2017,yawgoo,5,2,1,do,7.14
1,6,2017,yawgoo,5,0,1,%do,85.4
1,6,2017,yawgoo,5,1,1,%do,85.3
1,6,2017,yawgoo,5,2,1,%do,75.9
1,6,2017,yawgoo,5,0,1,temp,19.2
1,6,2017,yawgoo,5,1,1,temp,18.6
1,6,2017,yawgoo,5,2,1,temp,17.5
1,6,2017,yawgoo,5,0,1,spc,62.6
1,6,2017,yawgoo,5,1,1,spc,67.7
1,6,2017,yawgoo,5,2,1,spc,68.1
1,6,2017,yawgoo,5,0,1,ph,6.66
1,6,2017,yawgoo,5,1,1,ph,6.68
1,6,2017,yawgoo,5,2,1,ph,6.5
1,6,2017,yawgoo,5,0,1,salinity,0.03
1,6,2017,yawgoo,5,1,1,salinity,0.03
1,6,2017,yawgoo,5,2,1,salinity,0.03
1,6,2017,yawgoo,5,0,1,cond,55.7
