day,month,year,waterbody,site,depth,reps,variable,value
25,7,2019,slack,1,0,1,temp,26.4
25,7,2019,slack,1,1,1,temp,26.2
25,7,2019,slack,1,2,1,temp,26
25,7,2019,slack,1,0,1,%do,78.4
25,7,2019,slack,1,1,1,%do,75.9
25,7,2019,slack,1,2,1,%do,71.7
25,7,2019,slack,1,0,1,do,6.33
25,7,2019,slack,1,1,1,do,6.13
25,7,2019,slack,1,2,1,do,5.79
25,7,2019,slack,1,0,1,spc,241.7
25,7,2019,slack,1,1,1,spc,241.5
25,7,2019,slack,1,2,1,spc,241.4
25,7,2019,slack,1,0,1,cond,na
25,7,2019,slack,1,1,1,cond,na
25,7,2019,slack,1,2,1,cond,na
25,7,2019,slack,1,0,1,salinity,0.11
25,7,2019,slack,1,1,1,salinity,0.11
25,7,2019,slack,1,2,1,salinity,0.11
25,7,2019,slack,1,0,1,ph,6.89
25,7,2019,slack,1,1,1,ph,6.91
25,7,2019,slack,1,2,1,ph,6.91
25,7,2019,slack,1,int,1,secchi,1.975
25,7,2019,slack,2,0,1,temp,26.7
25,7,2019,slack,2,1,1,temp,26.3
25,7,2019,slack,2,2,1,temp,25.9
25,7,2019,slack,2,0,1,%do,78.4
25,7,2019,slack,2,1,1,%do,68
25,7,2019,slack,2,2,1,%do,73.7
25,7,2019,slack,2,0,1,do,6.14
25,7,2019,slack,2,1,1,do,5.47
25,7,2019,slack,2,2,1,do,6.04
25,7,2019,slack,2,0,1,spc,241.4
25,7,2019,slack,2,1,1,spc,241.6
25,7,2019,slack,2,2,1,spc,241.4
25,7,2019,slack,2,0,1,cond,na
25,7,2019,slack,2,1,1,cond,na
25,7,2019,slack,2,2,1,cond,na
25,7,2019,slack,2,0,1,salinity,0.11
25,7,2019,slack,2,1,1,salinity,0.11
25,7,2019,slack,2,2,1,salinity,0.11
25,7,2019,slack,2,0,1,ph,7
25,7,2019,slack,2,1,1,ph,6.95
25,7,2019,slack,2,2,1,ph,6.96
25,7,2019,slack,2,int,1,secchi,2
25,7,2019,slack,3,0,1,temp,26.6
25,7,2019,slack,3,1,1,temp,26.4
25,7,2019,slack,3,2,1,temp,26.2
25,7,2019,slack,3,3,1,temp,25.9
25,7,2019,slack,3,0,1,%do,77.1
25,7,2019,slack,3,1,1,%do,75.1
25,7,2019,slack,3,2,1,%do,68.2
25,7,2019,slack,3,3,1,%do,60.2
25,7,2019,slack,3,0,1,do,6.16
25,7,2019,slack,3,1,1,do,6.02
25,7,2019,slack,3,2,1,do,5.66
25,7,2019,slack,3,3,1,do,4.8
25,7,2019,slack,3,0,1,spc,241.3
25,7,2019,slack,3,1,1,spc,241.3
25,7,2019,slack,3,2,1,spc,241
25,7,2019,slack,3,3,1,spc,240.8
25,7,2019,slack,3,0,1,cond,na
25,7,2019,slack,3,1,1,cond,na
25,7,2019,slack,3,2,1,cond,na
25,7,2019,slack,3,3,1,cond,na
25,7,2019,slack,3,0,1,salinity,0.11
25,7,2019,slack,3,1,1,salinity,0.11
25,7,2019,slack,3,2,1,salinity,0.11
25,7,2019,slack,3,3,1,salinity,0.11
25,7,2019,slack,3,0,1,ph,6.99
25,7,2019,slack,3,1,1,ph,6.99
25,7,2019,slack,3,2,1,ph,6.93
25,7,2019,slack,3,3,1,ph,6.71
25,7,2019,slack,3,int,1,secchi,1.875
25,7,2019,slack,4,0,1,temp,26.9
25,7,2019,slack,4,1,1,temp,26.5
25,7,2019,slack,4,2,1,temp,26.1
25,7,2019,slack,4,0,1,%do,84.9
25,7,2019,slack,4,1,1,%do,75.1
25,7,2019,slack,4,2,1,%do,72.7
25,7,2019,slack,4,0,1,do,6.76
25,7,2019,slack,4,1,1,do,6.43
25,7,2019,slack,4,2,1,do,5.78
25,7,2019,slack,4,0,1,spc,240.8
25,7,2019,slack,4,1,1,spc,240.8
25,7,2019,slack,4,2,1,spc,242.7
25,7,2019,slack,4,0,1,cond,na
25,7,2019,slack,4,1,1,cond,na
25,7,2019,slack,4,2,1,cond,na
25,7,2019,slack,4,0,1,salinity,0.11
25,7,2019,slack,4,1,1,salinity,0.11
25,7,2019,slack,4,2,1,salinity,0.11
25,7,2019,slack,4,0,1,ph,7.02
25,7,2019,slack,4,1,1,ph,6.98
25,7,2019,slack,4,2,1,ph,6.91
25,7,2019,slack,4,int,1,secchi,2
25,7,2019,slack,5,0,1,temp,27
25,7,2019,slack,5,1,1,temp,26.6
25,7,2019,slack,5,2,1,temp,26.3
25,7,2019,slack,5,0,1,%do,96.7
25,7,2019,slack,5,1,1,%do,76.6
25,7,2019,slack,5,2,1,%do,68.9
25,7,2019,slack,5,0,1,do,7.71
25,7,2019,slack,5,1,1,do,6.12
25,7,2019,slack,5,2,1,do,5.47
25,7,2019,slack,5,0,1,spc,241.3
25,7,2019,slack,5,1,1,spc,240.9
25,7,2019,slack,5,2,1,spc,240.9
25,7,2019,slack,5,0,1,cond,na
25,7,2019,slack,5,1,1,cond,na
25,7,2019,slack,5,2,1,cond,na
25,7,2019,slack,5,0,1,salinity,0.11
25,7,2019,slack,5,1,1,salinity,0.11
25,7,2019,slack,5,2,1,salinity,0.11
25,7,2019,slack,5,0,1,ph,6.98
25,7,2019,slack,5,1,1,ph,6.96
25,7,2019,slack,5,2,1,ph,6.88
25,7,2019,slack,5,int,1,secchi,2.25
22,8,2019,slack,1,0,1,temp,27.2
22,8,2019,slack,1,1,1,temp,26.9
22,8,2019,slack,1,2,1,temp,26.8
22,8,2019,slack,1,0,1,%do,91.2
22,8,2019,slack,1,1,1,%do,84.1
22,8,2019,slack,1,2,1,%do,86.2
22,8,2019,slack,1,0,1,do,7.12
22,8,2019,slack,1,1,1,do,6.59
22,8,2019,slack,1,2,1,do,6.72
22,8,2019,slack,1,0,1,spc,245.3
22,8,2019,slack,1,1,1,spc,245.3
22,8,2019,slack,1,2,1,spc,245.5
22,8,2019,slack,1,0,1,cond,na
22,8,2019,slack,1,1,1,cond,na
22,8,2019,slack,1,2,1,cond,na
22,8,2019,slack,1,0,1,salinity,0.12
22,8,2019,slack,1,1,1,salinity,0.12
22,8,2019,slack,1,2,1,salinity,0.12
22,8,2019,slack,1,0,1,ph,7.16
22,8,2019,slack,1,1,1,ph,7.21
22,8,2019,slack,1,2,1,ph,7.27
22,8,2019,slack,1,int,1,secchi,1.4
22,8,2019,slack,2,0,1,temp,27.1
22,8,2019,slack,2,1,1,temp,26.9
22,8,2019,slack,2,2,1,temp,26.8
22,8,2019,slack,2,0,1,%do,86.1
22,8,2019,slack,2,1,1,%do,79.3
22,8,2019,slack,2,2,1,%do,78.2
22,8,2019,slack,2,0,1,do,6.69
22,8,2019,slack,2,1,1,do,6.36
22,8,2019,slack,2,2,1,do,5.9
22,8,2019,slack,2,0,1,spc,245.9
22,8,2019,slack,2,1,1,spc,245.2
22,8,2019,slack,2,2,1,spc,251.4
22,8,2019,slack,2,0,1,cond,na
22,8,2019,slack,2,1,1,cond,na
22,8,2019,slack,2,2,1,cond,na
22,8,2019,slack,2,0,1,salinity,0.12
22,8,2019,slack,2,1,1,salinity,0.12
22,8,2019,slack,2,2,1,salinity,0.12
22,8,2019,slack,2,0,1,ph,7.34
22,8,2019,slack,2,1,1,ph,7.36
22,8,2019,slack,2,2,1,ph,7.11
22,8,2019,slack,2,int,1,secchi,1.35
22,8,2019,slack,3,0,1,temp,27.4
22,8,2019,slack,3,1,1,temp,26.8
22,8,2019,slack,3,2,1,temp,26.7
22,8,2019,slack,3,3,1,temp,na
22,8,2019,slack,3,0,1,%do,85.4
22,8,2019,slack,3,1,1,%do,83.5
22,8,2019,slack,3,2,1,%do,81.3
22,8,2019,slack,3,3,1,%do,na
22,8,2019,slack,3,0,1,do,6.76
22,8,2019,slack,3,1,1,do,6.61
22,8,2019,slack,3,2,1,do,6.57
22,8,2019,slack,3,3,1,do,na
22,8,2019,slack,3,0,1,spc,247.3
22,8,2019,slack,3,1,1,spc,246.7
22,8,2019,slack,3,2,1,spc,246.5
22,8,2019,slack,3,3,1,spc,na
22,8,2019,slack,3,0,1,cond,na
22,8,2019,slack,3,1,1,cond,na
22,8,2019,slack,3,2,1,cond,na
22,8,2019,slack,3,3,1,cond,na
22,8,2019,slack,3,0,1,salinity,0.12
22,8,2019,slack,3,1,1,salinity,0.12
22,8,2019,slack,3,2,1,salinity,0.12
22,8,2019,slack,3,3,1,salinity,na
22,8,2019,slack,3,0,1,ph,7.27
22,8,2019,slack,3,1,1,ph,7.29
22,8,2019,slack,3,2,1,ph,7.25
22,8,2019,slack,3,3,1,ph,na
22,8,2019,slack,3,int,1,secchi,1.35
22,8,2019,slack,4,0,1,temp,26.9
22,8,2019,slack,4,1,1,temp,26.7
22,8,2019,slack,4,2,1,temp,26.5
22,8,2019,slack,4,0,1,%do,81.8
22,8,2019,slack,4,1,1,%do,80.7
22,8,2019,slack,4,2,1,%do,73.3
22,8,2019,slack,4,0,1,do,6.55
22,8,2019,slack,4,1,1,do,6.4
22,8,2019,slack,4,2,1,do,5.94
22,8,2019,slack,4,0,1,spc,245
22,8,2019,slack,4,1,1,spc,244.8
22,8,2019,slack,4,2,1,spc,243.4
22,8,2019,slack,4,0,1,cond,na
22,8,2019,slack,4,1,1,cond,na
22,8,2019,slack,4,2,1,cond,na
22,8,2019,slack,4,0,1,salinity,0.11
22,8,2019,slack,4,1,1,salinity,0.11
22,8,2019,slack,4,2,1,salinity,0.11
22,8,2019,slack,4,0,1,ph,7.22
22,8,2019,slack,4,1,1,ph,7.22
22,8,2019,slack,4,2,1,ph,7.12
22,8,2019,slack,4,int,1,secchi,1.3
22,8,2019,slack,5,0,1,temp,27.1
22,8,2019,slack,5,1,1,temp,26.7
22,8,2019,slack,5,2,1,temp,26.3
22,8,2019,slack,5,0,1,%do,87.8
22,8,2019,slack,5,1,1,%do,81.1
22,8,2019,slack,5,2,1,%do,72.5
22,8,2019,slack,5,0,1,do,6.86
22,8,2019,slack,5,1,1,do,6.45
22,8,2019,slack,5,2,1,do,5.91
22,8,2019,slack,5,0,1,spc,243.7
22,8,2019,slack,5,1,1,spc,244.7
22,8,2019,slack,5,2,1,spc,239.5
22,8,2019,slack,5,0,1,cond,na
22,8,2019,slack,5,1,1,cond,na
22,8,2019,slack,5,2,1,cond,na
22,8,2019,slack,5,0,1,salinity,0.11
22,8,2019,slack,5,1,1,salinity,0.11
22,8,2019,slack,5,2,1,salinity,0.11
22,8,2019,slack,5,0,1,ph,7.34
22,8,2019,slack,5,1,1,ph,7.34
22,8,2019,slack,5,2,1,ph,7.11
22,8,2019,slack,5,int,1,secchi,1.525
26,9,2019,slack,1,0,1,temp,21.8
26,9,2019,slack,1,1,1,temp,21.5
26,9,2019,slack,1,2,1,temp,21.2
26,9,2019,slack,1,0,1,%do,93.8
26,9,2019,slack,1,1,1,%do,91.4
26,9,2019,slack,1,2,1,%do,91.6
26,9,2019,slack,1,0,1,do,8.19
26,9,2019,slack,1,1,1,do,8.05
26,9,2019,slack,1,2,1,do,8.12
26,9,2019,slack,1,0,1,spc,246.2
26,9,2019,slack,1,1,1,spc,246.2
26,9,2019,slack,1,2,1,spc,246.1
26,9,2019,slack,1,0,1,cond,na
26,9,2019,slack,1,1,1,cond,na
26,9,2019,slack,1,2,1,cond,na
26,9,2019,slack,1,0,1,salinity,0.12
26,9,2019,slack,1,1,1,salinity,0.12
26,9,2019,slack,1,2,1,salinity,0.12
26,9,2019,slack,1,0,1,ph,7.33
26,9,2019,slack,1,1,1,ph,7.34
26,9,2019,slack,1,2,1,ph,7.34
26,9,2019,slack,1,int,1,secchi,1.7
26,9,2019,slack,2,0,1,temp,22
26,9,2019,slack,2,1,1,temp,21.4
26,9,2019,slack,2,2,1,temp,21.3
