date,time,waterbody,site,depth,field_dups,lab_reps,variable,units,value,notes
2017-06-01,NA,warwick,1,0,1,NA,do,%,135.7,NA
2017-06-01,NA,warwick,1,1,1,NA,do,%,143,NA
2017-06-01,NA,warwick,1,2,1,NA,do,%,131.4,NA
2017-06-01,NA,warwick,1,0,1,NA,do,mg/L,12.09,NA
2017-06-01,NA,warwick,1,1,1,NA,do,mg/L,13.04,NA
2017-06-01,NA,warwick,1,2,1,NA,do,mg/L,12.33,NA
2017-06-01,NA,warwick,1,0,1,NA,ph,ph,8.9,NA
2017-06-01,NA,warwick,1,1,1,NA,ph,ph,9.32,NA
2017-06-01,NA,warwick,1,2,1,NA,ph,ph,9.13,NA
2017-06-01,NA,warwick,1,0,1,NA,temp,degrees C,20.6,NA
2017-06-01,NA,warwick,1,1,1,NA,temp,degrees C,19.2,NA
2017-06-01,NA,warwick,1,2,1,NA,temp,degrees C,18.3,NA
2017-06-01,NA,yawgoo,1,0,1,NA,do,%,91.2,NA
2017-06-01,NA,yawgoo,1,1,1,NA,do,%,86.9,NA
2017-06-01,NA,yawgoo,1,2,1,NA,do,%,87.6,NA
2017-06-01,NA,yawgoo,1,0,1,NA,do,mg/L,8.47,NA
2017-06-01,NA,yawgoo,1,1,1,NA,do,mg/L,8,NA
2017-06-01,NA,yawgoo,1,2,1,NA,do,mg/L,8.28,NA
2017-06-01,NA,yawgoo,1,0,1,NA,ph,ph,6.75,NA
2017-06-01,NA,yawgoo,1,1,1,NA,ph,ph,6.72,NA
2017-06-01,NA,yawgoo,1,2,1,NA,ph,ph,6.62,NA
2017-06-01,NA,yawgoo,1,0,1,NA,temp,degrees C,19.3,NA
2017-06-01,NA,yawgoo,1,1,1,NA,temp,degrees C,19,NA
2017-06-01,NA,yawgoo,1,2,1,NA,temp,degrees C,18.4,NA
2017-06-01,NA,yawgoo,2,0,1,NA,do,%,90.9,NA
2017-06-01,NA,yawgoo,2,1,1,NA,do,%,82.6,NA
2017-06-01,NA,yawgoo,2,2,1,NA,do,%,82.4,NA
2017-06-01,NA,yawgoo,2,0,1,NA,do,mg/L,8.38,NA
2017-06-01,NA,yawgoo,2,1,1,NA,do,mg/L,7.79,NA
2017-06-01,NA,yawgoo,2,2,1,NA,do,mg/L,7.75,NA
2017-06-01,NA,yawgoo,2,0,1,NA,ph,ph,6.73,NA
2017-06-01,NA,yawgoo,2,1,1,NA,ph,ph,6.72,NA
2017-06-01,NA,yawgoo,2,2,1,NA,ph,ph,6.71,NA
