Phycosense,Chlorsense,Secchi,Site,Waterbody,Day,Month ,Year,notes
NA,NA,1.125,B,Mashapaug,15,6,2023,
8.9,18,,B,Mashapaug,22,6,2023,
1,5,2.5,1,Archer,20,6,2024,
2,5,2.5,2,Archer,20,6,2024,
2,4,2.6,3,Archer,20,6,2024,
1,4,3,4,Archer,20,6,2024,
2,4,2.75,B,Archer,20,6,2024,
8,7,1.2,1,Mashapaug,2,7,2024,
10,6,1.2,2,Mashapaug,2,7,2024,
11,4,1.2,3,Mashapaug,2,7,2024,
9,5,1.2,4,Mashapaug,2,7,2024,
10,8,1.2,B,Mashapaug,2,7,2024,
1,2,2.85,1,Archer,8,7,2024,
1,2,2.25,2,Archer,8,7,2024,
1,3,2.85,3,Archer,8,7,2024,
1,0,2.85,4,Archer,8,7,2024,
1,0,3.2,B,Archer,8,7,2024,bottom
9,3,1.25,1,Mashapaug,15,7,2024,
14,3,1.1,2,Mashapaug,15,7,2024,
16,3,1,3,Mashapaug,15,7,2024,
17,4,1,4,Mashapaug,15,7,2024,
18,4,1.25,B,Mashapaug,15,7,2024,
2,11,2.5,1,Archer,21,7,2024,
2,5,2.85,2,Archer,21,7,2024,
3,9,2.65,3,Archer,21,7,2024,
2,9,2.85,4,Archer,21,7,2024,
3,10,2.65,B,Archer,21,7,2024,
22,11,0.85,1,Mashapaug,30,7,2024,
22,6,0.85,2,Mashapaug,30,7,2024,
23,9,0.65,3,Mashapaug,30,7,2024,
24,10,0.65,4,Mashapaug,30,7,2024,
21,6,0.65,B,Mashapaug,30,7,2024,
2,2,3.85,1,Archer,7,8,2024,
3,6,4.85,2,Archer,7,8,2024,
5,2,5.85,3,Archer,7,8,2024,bottom
3,2,2.85,4,Archer,7,8,2024,bottom
4,2,3.65,B,Archer,7,8,2024,bottom
30,4,0.75,1,Mashapaug,12,8,2024,
29,4,1,2,Mashapaug,12,8,2024,
31,4,0.75,3,Mashapaug,12,8,2024,
29,5,0.8,4,Mashapaug,12,8,2024,
29,4,0.8,B,Mashapaug,12,8,2024,
2,2,3.85,1,Archer,20,8,2024,
2,3,3.85,2,Archer,20,8,2024,
1,2,5,3,Archer,20,8,2024,
1,2,3,4,Archer,20,8,2024,bottom
1,2,2.7,B,Archer,20,8,2024,bottom
24,4,0.7,1,Mashapaug,26,8,2024,
29,6,0.55,2,Mashapaug,26,8,2024,
34,7,0.65,3,Mashapaug,26,8,2024,
31,7,0.65,4,Mashapaug,26,8,2024,
27,4,0.7,B,Mashapaug,26,8,2024,
3,4,3.25,1,Archer,5,9,2024,
2,2,4,2,Archer,5,9,2024,
2,2,4.1,3,Archer,5,9,2024,
2,2,5,4,Archer,5,9,2024,
2,2,2.5,B,Archer,5,9,2024,bottom
20,9,0.55,1,Mashapaug,9,9,2024,
23,11,0.55,2,Mashapaug,9,9,2024,
17,5,0.55,3,Mashapaug,9,9,2024,
13,7,0.55,4,Mashapaug,9,9,2024,
25,7,0.55,B,Mashapaug,9,9,2024,
3,2,4,1,Archer,18,9,2024,
2,3,4,2,Archer,18,9,2024,
3,2,4,3,Archer,18,9,2024,
3,2,3.85,4,Archer,18,9,2024,
2,2,3.1,B,Archer,18,9,2024,bottom
14,11,0.8,1,Mashapaug,24,9,2024,
16,14,0.8,2,Mashapaug,24,9,2024,
8,7,0.9,3,Mashapaug,24,9,2024,
12,7,0.75,4,Mashapaug,24,9,2024,
15,9,0.75,B,Mashapaug,24,9,2024,
2,2,5.35,1,Archer,2,10,2024,
1,2,5,2,Archer,2,10,2024,max
2,4,4,3,Archer,2,10,2024,bottom
2,4,4.1,4,Archer,2,10,2024,
3,4,3.15,B,Archer,2,10,2024,bottom
15,4,1.5,1,Mashapaug,8,10,2024,
16,4,1.5,2,Mashapaug,8,10,2024,
12,4,1.25,3,Mashapaug,8,10,2024,
20,4,1.2,4,Mashapaug,8,10,2024,
15,4,1.6,B,Mashapaug,8,10,2024,
1,1,5,1,Archer,20,10,2024,
1,1,4,2,Archer,20,10,2024,max
0,1,4,3,Archer,20,10,2024,
0,1,4.1,4,Archer,20,10,2024,max
2,2,4.5,B,Archer,20,10,2024,max
12,7,1.3,1,Mashapaug,24,10,2024,
13,13,1.3,2,Mashapaug,24,10,2024,
16,12,1.25,3,Mashapaug,24,10,2024,
11,7,1.7,4,Mashapaug,24,10,2024,
11,7,1.5,B,Mashapaug,24,10,2024,
13,9,1.25,1,Mashapaug,5,11,2024,
28,19,1.15,2,Mashapaug,5,11,2024,
23,15,1.1,3,Mashapaug,5,11,2024,
17,7,1,4,Mashapaug,5,11,2024,
22,11,1,B,Mashapaug,5,11,2024,
2,1,5.1,1,Archer,6,11,2024,
2,1,4.8,2,Archer,6,11,2024,bottom
3,1,5,3,Archer,6,11,2024,
2,1,4.3,4,Archer,6,11,2024,bottom
2,1,4.3,B,Archer,6,11,2024,bottom
38,8,1.2,1,Mashapaug,19,11,2024,
35,5,1.2,2,Mashapaug,19,11,2024,
48,4,0.8,3,Mashapaug,19,11,2024,
26,3,1,4,Mashapaug,19,11,2024,
43,4,1.2,B,Mashapaug,19,11,2024,
19,9,0.85,1,Mashapaug,23,4,2025,
21,6,1,2,Mashapaug,23,4,2025,
24,6,1,3,Mashapaug,23,4,2025,
18,5,0.75,4,Mashapaug,23,4,2025,
21,5,1,B,Mashapaug,23,4,2025,
19,8,1,1,Mashapaug,30,4,2025,
28,20,0.85,2,Mashapaug,30,4,2025,
25,18,1,3,Mashapaug,30,4,2025,
22,11,0.85,4,Mashapaug,30,4,2025,
19,11,1,B,Mashapaug,30,4,2025,
17,6,1.1,1,Mashapaug,7,5,2025,
20,13,1,2,Mashapaug,7,5,2025,
19,7,1,3,Mashapaug,7,5,2025,
27,45,0.75,4,Mashapaug,7,5,2025,
18,9,1,B,Mashapaug,7,5,2025,
8,11,1.25,1,Mashapaug,13,5,2025,
6,7,1.35,2,Mashapaug,13,5,2025,
8,15,1.2,3,Mashapaug,13,5,2025,
7,7,1.25,4,Mashapaug,13,5,2025,
8,11,1.5,B,Mashapaug,13,5,2025,
7,6,1.4,1,Mashapaug,20,5,2025,
6,6,1.4,2,Mashapaug,20,5,2025,
7,6,1.75,3,Mashapaug,20,5,2025,
4,5,1.8,4,Mashapaug,20,5,2025,
7,6,1.4,B,Mashapaug,20,5,2025,
13,8,1.1,1,Mashapaug,17,6,2025,
14,7,1.1,2,Mashapaug,17,6,2025,
12,9,1.2,3,Mashapaug,17,6,2025,
12,10,1.2,4,Mashapaug,17,6,2025,
11,6,1.1,B,Mashapaug,17,6,2025,
5,4,1.4,1,Mashapaug,25,6,2025,
6,5,1.4,2,Mashapaug,25,6,2025,
5,4,1.75,3,Mashapaug,25,6,2025,
5,4,1.75,4,Mashapaug,25,6,2025,
5,3,1.5,B,Mashapaug,25,6,2025,
9,2,1.5,1,Mashapaug,30,6,2025,
9,2,1.75,2,Mashapaug,30,6,2025,
11,4,1.75,3,Mashapaug,30,6,2025,
9,4,1.75,4,Mashapaug,30,6,2025,
10,2,1.2,B,Mashapaug,30,6,2025,
12,5,1.5,1,Mashapaug,9,7,2025,
11,4,1.5,2,Mashapaug,9,7,2025,
12,3,1.5,3,Mashapaug,9,7,2025,
12,6,1.5,4,Mashapaug,9,7,2025,
11,4,1.5,B,Mashapaug,9,7,2025,
17,3,1,1,Mashapaug,15,7,2025,
24,3,1,2,Mashapaug,15,7,2025,
17,2,1.2,3,Mashapaug,15,7,2025,
17,4,1.2,4,Mashapaug,15,7,2025,
21,2,1.1,B,Mashapaug,15,7,2025,
27,5,0.8,1,Mashapaug,24,7,2025,
29,4,0.75,2,Mashapaug,24,7,2025,
25,5,0.75,3,Mashapaug,24,7,2025,
27,5,0.8,4,Mashapaug,24,7,2025,
27,4,0.75,B,Mashapaug,24,7,2025,
18,4,1,1,Mashapaug,25,8,2025,
19,6,0.8,2,Mashapaug,25,8,2025,
21,5,1.2,3,Mashapaug,25,8,2025,
19,7,0.8,4,Mashapaug,25,8,2025,
19,6,0.8,B,Mashapaug,25,8,2025,
9,6,1.25,1,Mashapaug,14,8,2025,
11,13,1,2,Mashapaug,14,8,2025,
12,8,1.25,3,Mashapaug,14,8,2025,
12,13,1.3,4,Mashapaug,14,8,2025,
12,13,1.25,B,Mashapaug,14,8,2025,
13,10,1,1,Mashapaug,19,8,2025,
16,14,1.1,2,Mashapaug,19,8,2025,
17,22,1,3,Mashapaug,19,8,2025,
18,30,1,4,Mashapaug,19,8,2025,
18,18,1,B,Mashapaug,19,8,2025,
18,7,1.8,1,Mashapaug,5,9,2025,
17,7,1.75,2,Mashapaug,5,9,2025,
17,7,1.85,3,Mashapaug,5,9,2025,
18,15,1.75,4,Mashapaug,5,9,2025,
17,6,1.9,B,Mashapaug,5,9,2025,
31,12,1,1,Mashapaug,12,9,2025,
34,9,1,2,Mashapaug,12,9,2025,
30,7,1,3,Mashapaug,12,9,2025,
24,3,1.1,4,Mashapaug,12,9,2025,
26,12,1,B,Mashapaug,12,9,2025,
31,14,0.75,1,Mashapaug,17,9,2025,
36,13,0.85,2,Mashapaug,17,9,2025,
31,11,1,3,Mashapaug,17,9,2025,
27,6,1,4,Mashapaug,17,9,2025,
32,14,0.75,B,Mashapaug,17,9,2025,
13,6,1.2,B,Roger,19,9,2025,
22,9,1.1,1,Mashapaug,26,9,2025,
24,9,1.1,2,Mashapaug,26,9,2025,
26,11,1.1,3,Mashapaug,26,9,2025,
25,14,1.1,4,Mashapaug,26,9,2025,
21,12,1,B,Mashapaug,26,9,2025,
25,10,0.9,1,Mashapaug,30,9,2025,
30,9,0.9,2,Mashapaug,30,9,2025,
30,8,1.1,3,Mashapaug,30,9,2025,
27,13,1,4,Mashapaug,30,9,2025,
26,7,0.9,B,Mashapaug,30,9,2025,
7,19,0.75,B,Roger,3,10,2025,
