Date/Time;Cyano;Total Conc.;Turbidity;Depth;Longitude;Latitude;Sensor temp.;LED 1 [470 nm];LED 2 [610 nm];LED 3 [525 nm];LED 4 [700 nm];Cyano;Total cell count;Raw depth data
date;µg/l;µg/l;FTU;m;°;°;°C;digits;digits;digits;digits;cells/ml;cells/ml;m
6/22/2017 10:52:51 AM;1.60;7.30;3.10;0.00;-71.573640;41.515218;33.50;50059.00;14721.00;41422.00;43982.00;1600;4621;0.00
6/22/2017 10:53:25 AM;1.50;7.10;3.00;0.00;-71.573681;41.515176;32.80;50025.00;14475.00;39597.00;43310.00;1500;4468;0.00
6/22/2017 10:53:58 AM;1.70;6.90;2.90;0.00;-71.573688;41.515243;30.20;47155.00;15151.00;38331.00;42029.00;1700;4456;0.00
6/22/2017 11:02:52 AM;1.90;7.40;3.00;0.00;-71.571110;41.513283;30.60;48520.00;15984.00;41650.00;42755.00;1900;4815;0.00
6/22/2017 11:03:26 AM;1.80;8.10;3.00;0.00;-71.571163;41.513358;30.30;54166.00;16463.00;45552.00;42512.00;1800;5139;0.00
6/22/2017 11:04:20 AM;2.00;7.40;2.90;0.00;-71.571335;41.513495;27.40;48114.00;16400.00;41434.00;41344.00;2000;4862;0.00
6/22/2017 11:15:04 AM;1.60;6.50;3.00;0.00;-71.569528;41.510003;31.70;44870.00;14223.00;37825.00;43411.00;1600;4197;0.00
6/22/2017 11:15:28 AM;1.60;6.40;3.00;0.00;-71.569585;41.509990;32.00;44316.00;14422.00;37696.00;43304.00;1600;4144;0.00
6/22/2017 11:15:53 AM;1.70;6.60;3.00;0.00;-71.569555;41.510078;30.60;45429.00;15072.00;37341.00;42482.00;1700;4297;0.00
6/22/2017 11:24:24 AM;1.40;5.90;2.90;0.00;-71.570431;41.508046;31.10;42739.00;13521.00;35321.00;42242.00;1400;3785;0.00
6/22/2017 11:24:47 AM;1.60;6.20;2.90;0.00;-71.570460;41.508003;31.40;43627.00;14420.00;35830.00;42297.00;1600;4038;0.00
6/22/2017 11:25:11 AM;1.70;6.40;2.90;0.00;-71.570491;41.508000;30.30;44108.00;14723.00;35591.00;41890.00;1700;4191;0.00
6/22/2017 11:34:30 AM;1.60;6.30;3.00;0.00;-71.572518;41.508375;31.90;44046.00;14266.00;35948.00;43423.00;1600;4091;0.00
6/22/2017 11:34:57 AM;3.00;7.70;4.60;0.00;-71.572483;41.508341;31.90;43449.00;22572.00;34779.00;60989.00;3000;5395;0.00
6/22/2017 11:35:24 AM;1.60;6.20;2.90;0.00;-71.572495;41.508336;30.20;43299.00;14410.00;35379.00;41997.00;1600;4038;0.00
6/22/2017 11:55:14 AM;1.90;8.60;3.20;0.00;-71.572975;41.510685;37.70;56221.00;16674.00;47854.00;45406.00;1900;5451;0.00
