site_id,date_time,long,lat,cyano_conc,chla_conc,turb,cyano_cell,total_cell
yawg_1,2017-06-15T10:26:20Z,-71.573746,41.515423,2,8.8,2.8,2000,5604
yawg_1,2017-06-15T10:27:17Z,-71.57373,41.515448,2,9,2.7,2000,5710
yawg_1,2017-06-15T10:27:46Z,-71.573766,41.515436,2,8.9,2.7,2000,5657
yawg_2,2017-06-15T10:37:40Z,-71.571453,41.513433,2.3,9.7,2.7,2300,6222
yawg_2,2017-06-15T10:38:17Z,-71.571421,41.513506,2.4,10.1,2.7,2400,6481
yawg_2,2017-06-15T10:39:27Z,-71.571398,41.513516,2.5,9.1,2.7,2500,5998
yawg_3,2017-06-15T10:52:39Z,-71.569781,41.510145,2.7,11.3,2.8,2700,7258
yawg_3,2017-06-15T10:53:07Z,-71.569698,41.510028,2.5,11.2,2.7,2500,7111
yawg_3,2017-06-15T10:53:33Z,-71.569725,41.51001,2.6,11.1,2.8,2600,7105
yawg_4,2017-06-15T11:03:43Z,-71.570525,41.507978,1.8,7.2,2.6,1800,4662
yawg_4,2017-06-15T11:04:10Z,-71.570548,41.507935,1.8,7.1,2.7,1800,4609
yawg_4,2017-06-15T11:04:35Z,-71.570573,41.507918,1.8,7,2.6,1800,4556
yawg_5,2017-06-15T11:13:19Z,-71.573033,41.508456,1.5,6.2,2.7,1500,3991
yawg_5,2017-06-15T11:13:47Z,-71.573035,41.508443,1.4,6.2,2.7,1400,3944
yawg_5,2017-06-15T11:14:17Z,-71.573018,41.508465,1.6,6.2,3.4,1600,4038
yawg_P,2017-06-15T11:26:22Z,-71.572823,41.510665,2.4,10,3,2400,6428
yawg_P,2017-06-15T11:26:56Z,-71.57282,41.510646,2.4,10.1,3,2400,6481
yawg_P,2017-06-15T11:27:28Z,-71.57283,41.510651,2.4,10.3,3.1,2400,6587
yawg_6,2017-06-15T11:39:26Z,-71.575425,41.512855,1.9,8.1,2.9,1900,5186
yawg_6,2017-06-15T11:39:51Z,-71.575398,41.512721,2,8,2.9,2000,5180
yawg_6,2017-06-15T11:40:16Z,-71.575543,41.512883,1.8,7.9,2.8,1800,5033
warw_1,2017-06-15T13:21:39Z,-71.410326,41.725596,1.9,12,4.6,1900,6869
warw_1,2017-06-15T13:22:13Z,-71.410346,41.725591,1.9,11.9,4.4,1900,6824
warw_1,2017-06-15T13:22:41Z,-71.410366,41.725651,1.8,12,4.3,1800,6846
warw_P,2017-06-15T13:37:16Z,-71.411868,41.723125,1.7,11,4.3,1700,6221
warw_P,2017-06-15T13:37:49Z,-71.411751,41.722918,1.8,11.3,4.4,1800,6403
warw_P,2017-06-15T13:38:30Z,-71.411755,41.722923,1.8,12.5,4.4,1800,6991
warw_P,2017-06-15T13:42:36Z,-71.411826,41.722956,0,0,0,0,0
warw_2,2017-06-15T13:54:46Z,-71.411048,41.721515,1.6,11,4.2,1600,6166
warw_2,2017-06-15T13:55:16Z,-71.411075,41.721538,1.7,10.1,4.3,1700,5800
warw_2,2017-06-15T13:55:43Z,-71.411086,41.721505,1.8,11.7,4.3,1800,6567
warw_3,2017-06-15T14:05:54Z,-71.414476,41.720248,1.7,13,4.5,1700,7113
warw_3,2017-06-15T14:06:25Z,-71.414498,41.720355,1.7,11.7,4.5,1700,6504
warw_3,2017-06-15T14:06:50Z,-71.414525,41.720361,1.8,11.7,4.4,1800,6543
warw_4,2017-06-15T14:15:45Z,-71.413841,41.722548,1.7,11,4.6,1700,6245
warw_4,2017-06-15T14:16:12Z,-71.413986,41.722613,1.7,12.4,4.6,1700,6811
warw_4,2017-06-15T14:16:38Z,-71.413935,41.722533,1.8,11.6,4.5,1800,6538
warw_5,2017-06-15T14:26:55Z,-71.415201,41.725436,0,0,0,0,0
warw_5,2017-06-15T14:27:06Z,-71.415196,41.72546,0,0,0,0,0
warw_5,2017-06-15T14:28:00Z,-71.415201,41.725463,1.8,12.1,4.3,1800,6795
warw_5,2017-06-15T14:28:40Z,-71.415211,41.725503,1.7,12.4,4.3,1700,6883
warw_5,2017-06-15T14:29:12Z,-71.415216,41.725505,2,12.3,4.3,2000,7003
warw_5,2017-06-15T14:29:43Z,-71.41523,41.725501,1.8,12.6,4.4,1800,7052
warw_6,2017-06-15T14:38:13Z,-71.414,41.726921,0,0,0,0,0
warw_6,2017-06-15T14:39:13Z,-71.413985,41.726913,1.6,11.6,4.6,1600,6396
warw_6,2017-06-15T14:39:22Z,-71.413978,41.7269,1.6,11.6,4.6,1600,6396
warw_6,2017-06-15T14:39:54Z,-71.413968,41.7269,1.8,12.7,4.5,1800,7081
warw_6,2017-06-15T14:40:21Z,-71.413983,41.726918,1.6,11.6,4.5,1600,6500
yawg_1,2017-06-22T10:52:51Z,-71.57364,41.515218,1.6,7.3,3.1,1600,4621
yawg_1,2017-06-22T10:53:25Z,-71.573681,41.515176,1.5,7.1,3,1500,4468
yawg_1,2017-06-22T10:53:58Z,-71.573688,41.515243,1.7,6.9,2.9,1700,4456
yawg_2,2017-06-22T11:02:52Z,-71.57111,41.513283,1.9,7.4,3,1900,4815
yawg_2,2017-06-22T11:03:26Z,-71.571163,41.513358,1.8,8.1,3,1800,5139
yawg_2,2017-06-22T11:04:20Z,-71.571335,41.513495,2,7.4,2.9,2000,4862
yawg_3,2017-06-22T11:15:04Z,-71.569528,41.510003,1.6,6.5,3,1600,4197
yawg_3,2017-06-22T11:15:28Z,-71.569585,41.50999,1.6,6.4,3,1600,4144
yawg_3,2017-06-22T11:15:53Z,-71.569555,41.510078,1.7,6.6,3,1700,4297
yawg_4,2017-06-22T11:24:24Z,-71.570431,41.508046,1.4,5.9,2.9,1400,3785
yawg_4,2017-06-22T11:24:47Z,-71.57046,41.508003,1.6,6.2,2.9,1600,4038
yawg_4,2017-06-22T11:25:11Z,-71.570491,41.508,1.7,6.4,2.9,1700,4191
yawg_5,2017-06-22T11:34:30Z,-71.572518,41.508375,1.6,6.3,3,1600,4091
yawg_5,2017-06-22T11:34:57Z,-71.572483,41.508341,3,7.7,4.6,3000,5395
yawg_5,2017-06-22T11:35:24Z,-71.572495,41.508336,1.6,6.2,2.9,1600,4038
yawg_P,2017-06-22T11:55:14Z,-71.572975,41.510685,1.9,8.6,3.2,1900,5451
yawg_P,2017-06-22T11:55:43Z,-71.57298,41.510701,1.9,8.4,3.3,1900,5345
yawg_P,2017-06-22T11:56:08Z,-71.572975,41.510715,2.1,8.6,3.1,2100,5545
yawg_6,2017-06-22T12:15:54Z,-71.575301,41.512798,1.4,6.3,3.1,1400,3997
yawg_6,2017-06-22T12:16:19Z,-71.57528,41.512806,1.7,6.7,3.1,1700,4350
yawg_6,2017-06-22T12:16:42Z,-71.575316,41.512778,1.5,6.1,3,1500,3938
warw_1,2017-06-22T13:50:21Z,-71.410283,41.72547,2.9,18.1,4.7,2900,10956
warw_1,2017-06-22T13:50:48Z,-71.410348,41.725566,2.6,19.6,4.7,2600,11466
warw_1,2017-06-22T13:51:15Z,-71.410293,41.725553,2.6,16.7,4.6,2600,10073
warw_1,2017-06-22T13:52:05Z,-71.410363,41.72557,2.7,17.9,4.5,2700,10660
warw_P,2017-06-22T14:12:44Z,-71.411958,41.722811,2.7,17.9,4,2700,10596
warw_P,2017-06-22T14:13:11Z,-71.411843,41.722681,2.9,18,4.1,2900,10727
warw_P,2017-06-22T14:13:38Z,-71.412003,41.722771,2.9,17.6,4.1,2900,10571
warw_2,2017-06-22T14:33:56Z,-71.411063,41.721523,3,16.7,4.3,3000,10085
warw_2,2017-06-22T14:34:23Z,-71.411048,41.721505,2.8,16.9,4.3,2800,10057
warw_2,2017-06-22T14:34:50Z,-71.410991,41.721435,2.8,17,4.3,2800,10158
warw_3,2017-06-22T14:45:48Z,-71.414385,41.720478,3.1,19.8,4.5,3100,11951
warw_3,2017-06-22T14:46:15Z,-71.414423,41.720525,3.2,21.1,4.5,3200,12687
warw_3,2017-06-22T14:46:42Z,-71.414415,41.720505,3,20.6,4.5,3000,12328
warw_4,2017-06-22T14:55:08Z,-71.413895,41.722523,3.2,19.1,4.6,3200,11619
warw_4,2017-06-22T14:55:35Z,-71.41395,41.722511,2.8,19.3,4.6,2800,11473
warw_4,2017-06-22T14:56:01Z,-71.413898,41.722465,3.1,19.3,4.6,3100,11598
warw_5,2017-06-22T15:05:09Z,-71.415153,41.72515,3.1,20.1,4.6,3100,11950
warw_5,2017-06-22T15:05:35Z,-71.415165,41.725143,3.3,21.3,4.6,3300,12592
warw_5,2017-06-22T15:06:00Z,-71.415135,41.72506,3,19.3,4.6,3000,11487
warw_6,2017-06-22T15:14:14Z,-71.41402,41.726811,2.8,19.3,4.4,2800,11345
warw_6,2017-06-22T15:14:40Z,-71.414006,41.726776,3,21.8,4.3,3000,12812
warw_6,2017-06-22T15:15:17Z,-71.414045,41.726835,3.2,21.1,4.3,3200,12615
yawg_1,2017-06-26T11:01:06Z,-71.573648,41.51518,0,0,0,0,0
NA,2017-06-28T09:09:00Z,-71.422535,41.494425,6.2,6.2,182.8,6200,6200
yawg_1,2017-06-28T10:22:55Z,-71.573608,41.51529,2.4,10,3.5,2400,6428
yawg_1,2017-06-28T10:23:36Z,-71.573575,41.515281,2.6,9.9,3.3,2600,6469
yawg_1,2017-06-28T10:24:06Z,-71.573615,41.515283,2.7,10.7,3.2,2700,6940
yawg_2,2017-06-28T10:33:50Z,-71.571253,41.513521,2.7,11.4,3.3,2700,7311
yawg_2,2017-06-28T10:34:23Z,-71.57131,41.513528,2.9,11.7,3.2,2900,7564
yawg_2,2017-06-28T10:34:47Z,-71.571245,41.513511,3.1,11.6,3.3,3100,7605
yawg_3,2017-06-28T10:45:50Z,-71.569716,41.510023,0,0,0,0,0
yawg_3,2017-06-28T10:47:16Z,-71.569676,41.509996,0,0,0,0,0
yawg_1,2017-07-10T10:58:58Z,-71.573406,41.515018,2,8.3,3.5,2000,5315
yawg_1,2017-07-10T10:59:28Z,-71.573473,41.51504,2.2,8.3,3.7,2200,5433
yawg_1,2017-07-10T11:00:03Z,-71.57352,41.515066,2.2,8.5,3.4,2200,5507
yawg_2,2017-07-10T11:09:32Z,-71.571335,41.513468,2,7.4,3.2,2000,4846
yawg_2,2017-07-10T11:09:58Z,-71.571286,41.513523,2,7.5,3.3,2000,4915
yawg_2,2017-07-10T11:10:23Z,-71.571308,41.513498,4.1,7.6,3.2,4100,5955
yawg_3,2017-07-10T11:22:50Z,-71.569595,41.510141,1.9,7.7,3.3,1900,4950
yawg_3,2017-07-10T11:23:16Z,-71.569633,41.510168,2,7.7,3.3,2000,5021
yawg_3,2017-07-10T11:23:41Z,-71.569605,41.510158,2,7.3,3.2,2000,4801
yawg_4,2017-07-10T11:33:28Z,-71.570663,41.50811,1.7,6.8,3.2,1700,4315
yawg_4,2017-07-10T11:33:51Z,-71.57068,41.508116,1.8,7,3.2,1800,4492
yawg_4,2017-07-10T11:34:14Z,-71.570681,41.508108,1.8,6.8,3.2,1800,4370
yawg_5,2017-07-10T11:42:32Z,-71.57252,41.508363,1.8,7.3,3.1,1800,4643
yawg_5,2017-07-10T11:42:55Z,-71.572378,41.508348,1.8,6.7,3.2,1800,4365
yawg_5,2017-07-10T11:43:19Z,-71.572478,41.508393,1.8,7.4,3.1,1800,4656
yawg_P,2017-07-10T12:10:34Z,-71.572581,41.510943,1.4,6.5,3.3,1400,4087
yawg_P,2017-07-10T12:11:01Z,-71.572605,41.510943,1.6,6.5,3.3,1600,4149
yawg_P,2017-07-10T12:11:27Z,-71.572621,41.510936,1.6,6.4,3.2,1600,4128
yawg_6,2017-07-10T12:23:07Z,-71.575371,41.512778,2,9.2,3.2,2000,5816
yawg_6,2017-07-10T12:23:32Z,-71.575378,41.512786,2.2,9,3.3,2200,5804
yawg_6,2017-07-10T12:23:56Z,-71.575321,41.512766,2.2,9.5,3.2,2200,6069
warw_1,2017-07-10T14:02:33Z,-71.410231,41.725658,2.4,16.1,4.7,2400,9141
warw_1,2017-07-10T14:03:03Z,-71.41027,41.725705,2.1,14.9,4.6,2100,8396
warw_1,2017-07-10T14:03:30Z,-71.41026,41.725651,2.2,14.3,4.5,2200,8157
warw_P,2017-07-10T14:23:52Z,-71.411533,41.722795,2.3,17.6,4.4,2300,9793
warw_P,2017-07-10T14:24:18Z,-71.411633,41.722818,2.8,17,4.5,2800,9782
warw_P,2017-07-10T14:24:45Z,-71.411555,41.7228,2.6,16.6,4.4,2600,9532
warw_2,2017-07-10T14:42:38Z,-71.41095,41.721516,2.1,14,4.3,2100,7951
warw_2,2017-07-10T14:43:04Z,-71.410831,41.721451,2.4,13.7,4.4,2400,7941
warw_2,2017-07-10T14:43:30Z,-71.410905,41.721506,2.1,13.3,4.3,2100,7564
warw_3,2017-07-10T14:53:33Z,-71.41416,41.720451,2.9,22,4.6,2900,12415
warw_3,2017-07-10T14:54:00Z,-71.413881,41.72034,2.9,23.2,4.7,2900,13003
warw_3,2017-07-10T14:54:32Z,-71.414308,41.72051,3,19.4,4.6,3000,11188
warw_4,2017-07-10T15:03:22Z,-71.413786,41.722355,2.8,24,4.6,2800,13300
warw_4,2017-07-10T15:03:51Z,-71.413811,41.722413,3,21,4.6,3000,11972
warw_4,2017-07-10T15:04:17Z,-71.413966,41.722475,2.7,21.1,4.6,2700,11836
warw_5,2017-07-10T15:14:21Z,-71.415236,41.72517,2.4,18.4,4.4,2400,10280
warw_5,2017-07-10T15:14:48Z,-71.415258,41.72512,2.4,20.7,4.4,2400,11403
warw_5,2017-07-10T15:15:15Z,-71.415251,41.725163,2.3,16.8,4.3,2300,9425
warw_6,2017-07-10T15:22:45Z,-71.414046,41.726721,2.2,15.6,4.2,2200,8742
warw_6,2017-07-10T15:23:11Z,-71.414015,41.726736,2.2,15.3,4.3,2200,8551
warw_6,2017-07-10T15:23:38Z,-71.414003,41.726726,2.3,18.2,4.2,2300,10039
yawg_1,2017-07-12T10:56:49Z,-71.573488,41.515111,2.3,7.4,3.3,2300,4963
yawg_1,2017-07-12T10:57:16Z,-71.57352,41.515126,2.1,7.7,3.2,2100,5028
yawg_1,2017-07-12T10:57:48Z,-71.57349,41.515106,2.4,7.2,3.1,2400,4944
yawg_2,2017-07-12T11:10:10Z,-71.571371,41.513553,2.3,8.1,3.2,2300,5374
yawg_2,2017-07-12T11:10:45Z,-71.571321,41.513531,2.6,8.3,3.2,2600,5621
yawg_2,2017-07-12T11:11:09Z,-71.571311,41.513535,2.5,8.1,3.2,2500,5468
yawg_2,2017-07-12T11:11:35Z,-71.571343,41.513531,2.4,7.6,3.1,2400,5156
yawg_3,2017-07-12T11:25:47Z,-71.569575,41.510085,1.9,6.3,3.1,1900,4224
yawg_3,2017-07-12T11:26:12Z,-71.569576,41.510075,1.9,6.4,3.1,1900,4269
yawg_3,2017-07-12T11:26:36Z,-71.569551,41.510036,2,6.4,3,2000,4332
yawg_4,2017-07-12T11:36:58Z,-71.5707,41.50808,1.7,6.8,3.2,1700,4395
yawg_4,2017-07-12T11:37:23Z,-71.570686,41.50806,1.7,6.8,3.1,1700,4371
yawg_4,2017-07-12T11:37:52Z,-71.570686,41.508096,1.7,6.5,3,1700,4236
yawg_5,2017-07-12T11:46:46Z,-71.572508,41.508318,1.5,6.3,3.1,1500,3996
yawg_5,2017-07-12T11:47:10Z,-71.572501,41.508285,1.7,6.1,3,1700,4000
yawg_5,2017-07-12T11:47:35Z,-71.57249,41.508278,1.7,5.7,3,1700,3812
yawg_P,2017-07-12T11:59:39Z,-71.573165,41.510701,1.9,6.6,3.1,1900,4367
yawg_P,2017-07-12T12:00:10Z,-71.573158,41.510696,1.8,6.9,3.1,1800,4463
yawg_P,2017-07-12T12:00:34Z,-71.573145,41.510713,2.1,7.2,3.1,2100,4803
yawg_6,2017-07-12T12:15:50Z,-71.575426,41.5128,1.6,6.3,3.1,1600,4067
yawg_6,2017-07-12T12:16:14Z,-71.575481,41.512825,2,6.6,3.1,2000,4438
yawg_6,2017-07-12T12:16:39Z,-71.575501,41.512823,1.7,6.5,3.1,1700,4212
warw_1,2017-07-12T13:59:54Z,-71.410356,41.725678,2,12.2,4.5,2000,7062
warw_1,2017-07-12T14:00:23Z,-71.410403,41.72569,2.2,12.6,4.6,2200,7320
warw_1,2017-07-12T14:00:50Z,-71.410368,41.72566,2.4,13,4.4,2400,7610
warw_P,2017-07-12T14:16:11Z,-71.411996,41.723005,2.4,14.5,4.4,2400,8397
warw_P,2017-07-12T14:16:36Z,-71.412013,41.722948,2.2,13.5,4.4,2200,7781
warw_P,2017-07-12T14:17:02Z,-71.412008,41.722906,2.7,16.6,4.2,2700,9539
warw_2,2017-07-12T14:29:44Z,-71.411018,41.721385,2.6,14.8,4.5,2600,8666
warw_2,2017-07-12T14:30:10Z,-71.411005,41.721363,2.7,15.7,4.4,2700,9190
warw_2,2017-07-12T14:30:38Z,-71.41098,41.721376,2.8,15.7,4.4,2800,9197
warw_3,2017-07-12T14:41:11Z,-71.414478,41.720478,2.7,17.5,4.6,2700,10088
warw_3,2017-07-12T14:41:44Z,-71.414518,41.720513,2.6,14.1,4.4,2600,8247
warw_3,2017-07-12T14:42:09Z,-71.414468,41.720476,2.3,13.5,4.3,2300,7836
warw_3,2017-07-12T14:42:36Z,-71.414503,41.720461,2.2,13.5,4.3,2200,7773
warw_4,2017-07-12T14:51:51Z,-71.413956,41.722641,2.4,14.5,4.3,2400,8373
warw_4,2017-07-12T14:52:18Z,-71.413943,41.7226,2.5,14.4,4.2,2500,8399
warw_4,2017-07-12T14:52:44Z,-71.413965,41.722631,2.4,14.7,4.1,2400,8479
warw_5,2017-07-12T15:02:37Z,-71.415243,41.72521,2.2,21.1,4.2,2200,11465
warw_5,2017-07-12T15:03:03Z,-71.415255,41.725133,2.2,20.5,4.2,2200,11179
warw_5,2017-07-12T15:03:30Z,-71.415228,41.725145,2.3,19,4.2,2300,10495
warw_6,2017-07-12T15:14:26Z,-71.414086,41.726948,2.1,19.6,4.1,2100,10607
warw_6,2017-07-12T15:14:49Z,-71.413995,41.726953,2.1,20.9,4,2100,11264
warw_6,2017-07-12T15:15:14Z,-71.414063,41.726928,2,20.5,4,2000,11021
yawg_1,2017-07-17T11:04:25Z,-71.573688,41.515313,2.3,9.3,3.4,2300,6010
yawg_1,2017-07-17T11:04:51Z,-71.573616,41.515313,2.1,8.9,3.4,2100,5704
yawg_1,2017-07-17T11:05:21Z,-71.573715000000007,41.515281,2.2,8.9,3.3,2200,5751
yawg_2,2017-07-17T11:14:43Z,-71.57156,41.513683,2.1,8.2,3.2,2100,5333
yawg_2,2017-07-17T11:15:08Z,-71.571425,41.513441,2.3,8.5,3.3,2300,5586
yawg_2,2017-07-17T11:15:38Z,-71.571468,41.513478,2.2,7.5,3.2,2200,5009
yawg_3,2017-07-17T11:31:18Z,-71.56966,41.509965,2,8.2,3.3,2000,5286
yawg_3,2017-07-17T11:31:43Z,-71.569611,41.51,2.1,8,3.4,2100,5211
yawg_3,2017-07-17T11:32:07Z,-71.569728,41.509981,2.1,7.8,3.3,2100,5121
yawg_4,2017-07-17T11:42:16Z,-71.570741,41.508021,2.1,7.6,3.2,2100,4983
yawg_4,2017-07-17T11:42:40Z,-71.570665,41.507885,2,7.5,3.4,2000,4859
yawg_4,2017-07-17T11:43:04Z,-71.570678,41.50796,2.2,7.4,3.7,2200,4932
yawg_5,2017-07-17T11:49:49Z,-71.572568,41.508211,1.9,6.7,3.3,1900,4412
NA,2017-07-17T11:50:14Z,-71.572505,41.508223,1.9,7.2,3.2,1900,4661
NA,2017-07-17T11:50:37Z,-71.572526,41.508143,2,7.4,3.2,2000,4822
yawg_P,2017-07-17T12:06:30Z,-71.572901,41.510655,2.3,8.2,3.4,2300,5427
yawg_P,2017-07-17T12:06:53Z,-71.572871,41.510625,2.4,8.2,3.4,2400,5474
yawg_P,2017-07-17T12:07:17Z,-71.572818,41.510548,2.2,7.9,3.3,2200,5221
yawg_6,2017-07-17T12:24:16Z,-71.575093,41.512536,1.9,7.8,3.4,1900,5027
yawg_6,2017-07-17T12:24:39Z,-71.575298,41.512685,1.9,7.8,3.3,1900,5027
yawg_6,2017-07-17T12:25:04Z,-71.575145,41.51257,2,7.7,3.2,2000,4989
warw_1,2017-07-17T14:01:57Z,-71.410375,41.725613,2.6,18,4.3,2600,10138
warw_1,2017-07-17T14:02:28Z,-71.410393,41.725613,2.8,18.7,4.4,2800,10571
warw_1,2017-07-17T14:02:54Z,-71.410413,41.725616,2.7,19.1,4.2,2700,10712
warw_P,2017-07-17T14:19:21Z,-71.41201,41.722825,2.9,14.1,4.1,2900,8372
warw_P,2017-07-17T14:19:48Z,-71.41205,41.722818,2.6,14,4.2,2600,8210
warw_P,2017-07-17T14:20:16Z,-71.412026,41.722828,2.7,14.8,4.3,2700,8665
warw_P,2017-07-17T14:21:27Z,-71.412048,41.722843,2.8,14.3,4.3,2800,8519
warw_2,2017-07-17T14:40:46Z,-71.411101,41.721508,2.8,16.1,4.4,2800,9257
warw_2,2017-07-17T14:41:12Z,-71.411116,41.721483,3,16.6,4.3,3000,9648
warw_2,2017-07-17T14:41:36Z,-71.411093,41.72147,2.9,15.9,4.3,2900,9246
warw_3,2017-07-17T14:49:21Z,-71.414371,41.720485,3.1,20.3,4.4,3100,11568
warw_3,2017-07-17T14:49:47Z,-71.4143,41.720461,3.1,19.7,4.5,3100,11298
warw_3,2017-07-17T14:50:11Z,-71.414351,41.720463,3.1,19.8,4.5,3100,11383
warw_4,2017-07-17T15:01:36Z,-71.414115,41.722533,3,20.5,4.6,3000,11587
warw_4,2017-07-17T15:02:03Z,-71.414,41.722523,3,18.6,4.4,3000,10652
warw_4,2017-07-17T15:02:27Z,-71.413968,41.722526,3,19.2,4.5,3000,10946
warw_5,2017-07-17T15:11:32Z,-71.41519,41.725148,3.1,17.5,4.3,3100,10092
warw_5,2017-07-17T15:12:05Z,-71.415135,41.725185,2.8,17.6,4.3,2800,9980
warw_5,2017-07-17T15:12:31Z,-71.415098,41.725136,3.1,20.3,4.3,3100,11536
warw_6,2017-07-17T15:19:11Z,-71.413983,41.726625,2.8,13.9,4.3,2800,8147
warw_6,2017-07-17T15:19:36Z,-71.414078,41.726773,2.7,13.7,4.4,2700,7994
warw_6,2017-07-17T15:20:16Z,-71.413916,41.726635,2.8,13.9,4.3,2800,8139
NA,2017-07-19T10:49:34Z,-71.576855,41.51564,-1,-1,-1,-0,-0
NA,2017-07-19T11:14:24Z,-71.574203,41.514811,2.2,8.9,4.1,2200,5751
yawg_1,2017-07-19T11:14:57Z,-71.57359,41.51531,2.3,9.1,4.1,2300,5904
yawg_1,2017-07-19T11:15:21Z,-71.57361,41.515345,2.3,9,4,2300,5851
yawg_2,2017-07-19T11:26:19Z,-71.571296,41.513538,2.1,8.7,4.1,2100,5598
yawg_2,2017-07-19T11:26:43Z,-71.571213,41.513501,2.2,9.1,4.2,2200,5857
