,value,units,waterbody,site,depth,reps,variable,day,month,year,filter_vol,
SAMPLE-001,224.46,RFU,,solid std,na,na,chla_rfu,,,,,
SAMPLE-002,1.62,RFU,yawgoo,blank,int,1,blank,26,6,2019,300,
SAMPLE-003,1.14,RFU,yawgoo,blank,int,2,blank,26,6,2019,300,
SAMPLE-004,388.26,RFU,yawgoo,1,int,1,chla_rfu,26,6,2019,300,
SAMPLE-005,396.32,RFU,yawgoo,1,int,2,chla_rfu,26,6,2019,300,
SAMPLE-006,583.45,RFU,yawgoo,2,int,1,chla_rfu,26,6,2019,300,
SAMPLE-007,635.86,RFU,yawgoo,2,int,2,chla_rfu,26,6,2019,300,
SAMPLE-008,336.44,RFU,yawgoo,3,int,1,chla_rfu,26,6,2019,300,
SAMPLE-009,388.98,RFU,yawgoo,3,int,2,chla_rfu,26,6,2019,300,
SAMPLE-010,380.21,RFU,yawgoo,4,int,1,chla_rfu,26,6,2019,300,
SAMPLE-011,427.41,RFU,yawgoo,4,int,2,chla_rfu,26,6,2019,300,
SAMPLE-012,294.07,RFU,yawgoo,5,int,1,chla_rfu,26,6,2019,300,
SAMPLE-013,293.05,RFU,yawgoo,5,int,2,chla_rfu,26,6,2019,300,
SAMPLE-014,526.3,RFU,yawgoo,6,int,1,chla_rfu,26,6,2019,300,
SAMPLE-015,615.46,RFU,yawgoo,6,int,2,chla_rfu,26,6,2019,300,
SAMPLE-016,296.41,RFU,yawgoo,p,int,1,chla_rfu,26,6,2019,300,
AMPLE-017,394.87,RFU,yawgoo,p,int,2,chla_rfu,26,6,2019,300,
SAMPLE-019,346.91,RFU,yawgoo,,int,3,chla_rfu,26,6,2019,300,
,1.03,,warwick,blank,int,1,blank,27,6,2019,100,
,0.6,,warwick,blank,int,2,blank,27,6,2019,100,
,449.99,,warwick,1,int,1,chla_rfu,27,6,2019,100,surface
SAMPLE-022,466.55,RFU,warwick,1,int,2,chla_rfu,27,6,2019,100,surface
,558.62,,warwick,2,int,1,chla_rfu,27,6,2019,100,surface
,527.26,,warwick,2,int,2,chla_rfu,27,6,2019,100,surface
SAMPLE-025,376.59,RFU,warwick,3,int,1,chla_rfu,27,6,2019,100,surface
SAMPLE-026,350.04,RFU,warwick,3,int,2,chla_rfu,27,6,2019,100,surface
SAMPLE-027,478.9,RFU,warwick,4,int,1,chla_rfu,27,6,2019,100,surface
SAMPLE-028,476.48,RFU,warwick,4,int,2,chla_rfu,27,6,2019,100,surface
SAMPLE-029,437.79,RFU,warwick,5,int,1,chla_rfu,27,6,2019,100,surface
SAMPLE-030,424.5,RFU,warwick,5,int,2,chla_rfu,27,6,2019,100,surface
SAMPLE-031,419.31,RFU,warwick,6,int,1,chla_rfu,27,6,2019,100,surface
AMPLE-032,427.81,RFU,warwick,6,int,2,chla_rfu,27,6,2019,100,surface
SAMPLE-033,525.71,RFU,warwick,p,int,1,chla_rfu,27,6,2019,100,surface
SAMPLE-034,530.77,RFU,warwick,p,int,2,chla_rfu,27,6,2019,100,surface
SAMPLE-036,547.1,RFU,warwick,,int,3,chla_rfu,27,6,2019,100,surface
SAMPLE-037,0.72,RFU,mashapaug,blank,int,1,blank,27,6,2019,100,
SAMPLE-038,0.58,RFU,mashapaug,blank,int,2,blank,27,6,2019,100,
SAMPLE-039,1146.59,RFU,mashapaug,1,int,1,chla_rfu,27,6,2019,100,surface
SAMPLE-040,1241.41,RFU,mashapaug,1,int,2,chla_rfu,27,6,2019,100,surface
SAMPLE-041,1005.59,RFU,mashapaug,2,int,1,chla_rfu,27,6,2019,100,surface
SAMPLE-042,1011.96,RFU,mashapaug,2,int,2,chla_rfu,27,6,2019,100,surface
SAMPLE-043,979.19,RFU,mashapaug,3,int,1,chla_rfu,27,6,2019,100,surface
SAMPLE-044,933.03,RFU,mashapaug,3,int,2,chla_rfu,27,6,2019,100,surface
SAMPLE-045,1146.86,RFU,mashapaug,4,int,1,chla_rfu,27,6,2019,100,surface
SAMPLE-046,1006.28,RFU,mashapaug,4,int,2,chla_rfu,27,6,2019,100,surface
SAMPLE-047,862.17,RFU,mashapaug,5,int,1,chla_rfu,27,6,2019,100,surface
SAMPLE-048,840.14,RFU,mashapaug,5,int,2,chla_rfu,27,6,2019,100,surface
SAMPLE-049,879.21,RFU,mashapaug,6,int,1,chla_rfu,27,6,2019,100,surface
SAMPLE-050,844.54,RFU,mashapaug,6,int,2,chla_rfu,27,6,2019,100,surface
SAMPLE-051,945.97,RFU,mashapaug,p,int,1,chla_rfu,27,6,2019,100,surface
AMPLE-052,1042.77,RFU,mashapaug,p,int,2,chla_rfu,27,6,2019,100,surface
SAMPLE-053,942.32,RFU,mashapaug,p,int,3,chla_rfu,27,6,2019,100,surface
SAMPLE-054,0.56,RFU,yawgoo,blank,int,1,blank,1,7,2019,300,
SAMPLE-055,0.55,RFU,yawgoo,blank,int,2,blank,1,7,2019,300,
SAMPLE-056,669.46,RFU,yawgoo,1,int,1,chla_rfu,1,7,2019,300,
SAMPLE-057,706.1,RFU,yawgoo,1,int,2,chla_rfu,1,7,2019,300,
SAMPLE-058,578.77,RFU,yawgoo,2,int,1,chla_rfu,1,7,2019,300,
SAMPLE-059,492.78,RFU,yawgoo,2,int,2,chla_rfu,1,7,2019,300,
SAMPLE-060,400.93,RFU,yawgoo,3,int,1,chla_rfu,1,7,2019,300,
SAMPLE-061,386.43,RFU,yawgoo,3,int,2,chla_rfu,1,7,2019,300,
SAMPLE-062,1505.85,RFU,yawgoo,4,int,1,chla_rfu,1,7,2019,300,
SAMPLE-063,473.72,RFU,yawgoo,4,int,2,chla_rfu,1,7,2019,300,
SAMPLE-064,352.53,RFU,yawgoo,5,int,1,chla_rfu,1,7,2019,300,
SAMPLE-065,NA,RFU,yawgoo,5,int,2,chla_rfu,1,7,2019,300,
SAMPLE-066,407.55,RFU,yawgoo,6,int,1,chla_rfu,1,7,2019,300,
SAMPLE-067,2809.76,RFU,yawgoo,6,int,2,chla_rfu,1,7,2019,300,
SAMPLE-068,461.49,RFU,yawgoo,p,int,1,chla_rfu,1,7,2019,300,
SAMPLE-069,430.28,RFU,yawgoo,p,int,2,chla_rfu,1,7,2019,300,
SAMPLE-070,451.86,RFU,yawgoo,p,int,3,chla_rfu,1,7,2019,300,
SAMPLE-071,0.56,RFU,warwick,blank,int,1,blank,1,7,2019,100,
SAMPLE-072,0.49,RFU,warwick,blank,int,2,blank,1,7,2019,100,
SAMPLE-073,788.91,RFU,warwick,1,int,1,chla_rfu,1,7,2019,100,
SAMPLE-074,801.71,RFU,warwick,1,int,2,chla_rfu,1,7,2019,100,
SAMPLE-075,808.29,RFU,warwick,2,int,1,chla_rfu,1,7,2019,100,
SAMPLE-076,870.46,RFU,warwick,2,int,2,chla_rfu,1,7,2019,100,
SAMPLE-077,679.25,RFU,warwick,3,int,1,chla_rfu,1,7,2019,100,
SAMPLE-078,723.87,RFU,warwick,3,int,2,chla_rfu,1,7,2019,100,
SAMPLE-079,711.84,RFU,warwick,4,int,1,chla_rfu,1,7,2019,100,
SAMPLE-080,721.85,RFU,warwick,4,int,2,chla_rfu,1,7,2019,100,
SAMPLE-081,837.15,RFU,warwick,5,int,1,chla_rfu,1,7,2019,100,
SAMPLE-082,775.13,RFU,warwick,5,int,2,chla_rfu,1,7,2019,100,
SAMPLE-083,793.64,RFU,warwick,6,int,1,chla_rfu,1,7,2019,100,
SAMPLE-084,798.99,RFU,warwick,6,int,2,chla_rfu,1,7,2019,100,
SAMPLE-085,695.25,RFU,warwick,p,int,1,chla_rfu,1,7,2019,100,
SAMPLE-086,641,RFU,warwick,p,int,2,chla_rfu,1,7,2019,100,
SAMPLE-087,760.71,RFU,warwick,p,int,3,chla_rfu,1,7,2019,100,
SAMPLE-088,1.5,RFU,mashapaug,blank,int,1,blank,1,7,2019,100,
SAMPLE-089,1.18,RFU,mashapaug,blank,int,2,blank,1,7,2019,100,
SAMPLE-090,782.17,RFU,mashapaug,1,int,1,chla_rfu,1,7,2019,100,
SAMPLE-091,799.39,RFU,mashapaug,1,int,2,chla_rfu,1,7,2019,100,
SAMPLE-092,793.89,RFU,mashapaug,2,int,1,chla_rfu,1,7,2019,100,
SAMPLE-093,789.77,RFU,mashapaug,2,int,2,chla_rfu,1,7,2019,100,
SAMPLE-094,789.22,RFU,mashapaug,3,int,1,chla_rfu,1,7,2019,100,
AMPLE-095,801.34,RFU,mashapaug,3,int,2,chla_rfu,1,7,2019,100,
SAMPLE-096,844.42,RFU,mashapaug,4,int,1,chla_rfu,1,7,2019,100,
SAMPLE-097,828.76,RFU,mashapaug,4,int,2,chla_rfu,1,7,2019,100,
SAMPLE-098,928.09,RFU,mashapaug,5,int,1,chla_rfu,1,7,2019,100,
