,value,units,waterbody,site,depth,reps,variable,day,month,year,filter_vol
SAMPLE-001,206.12,RFU,na,solid std,na,na,chla_rfu,17,10,2019,na
SAMPLE-002,0.58,RFU,mashapaug,blank,int,1,blank,4,9,2019,na
SAMPLE-003,0.46,RFU,mashapaug,blank,int,2,blank,4,9,2019,na
SAMPLE-004,1842.05,RFU,mashapaug,1,int,1,chla_rfu,4,9,2019,75
SAMPLE-005,1845.24,RFU,mashapaug,1,int,2,chla_rfu,4,9,2019,75
SAMPLE-006,1379.53,RFU,mashapaug,2,int,1,chla_rfu,4,9,2019,75
SAMPLE-007,1552.94,RFU,mashapaug,2,int,2,chla_rfu,4,9,2019,75
SAMPLE-008,1439.41,RFU,mashapaug,3,int,1,chla_rfu,4,9,2019,75
SAMPLE-009,1332.35,RFU,mashapaug,3,int,2,chla_rfu,4,9,2019,75
SAMPLE-010,1717.71,RFU,mashapaug,4,int,1,chla_rfu,4,9,2019,75
SAMPLE-011,1694.2,RFU,mashapaug,4,int,2,chla_rfu,4,9,2019,75
SAMPLE-012,1471.65,RFU,mashapaug,5,int,1,chla_rfu,4,9,2019,75
SAMPLE-013,1511.94,RFU,mashapaug,5,int,2,chla_rfu,4,9,2019,75
SAMPLE-014,1673.26,RFU,mashapaug,6,int,1,chla_rfu,4,9,2019,75
SAMPLE-015,1573.34,RFU,mashapaug,6,int,2,chla_rfu,4,9,2019,75
SAMPLE-016,1847.06,RFU,mashapaug,p,int,1,chla_rfu,4,9,2019,75
SAMPLE-017,1866.5,RFU,mashapaug,p,int,2,chla_rfu,4,9,2019,75
SAMPLE-018,1799.3,RFU,mashapaug,p,int,3,chla_rfu,4,9,2019,75
SAMPLE-019,0.89,RFU,warwick,blank,int,1,blank,4,9,2019,na
SAMPLE-020,0.44,RFU,warwick,blank,int,2,blank,4,9,2019,na
SAMPLE-021,1454.99,RFU,warwick,1,int,1,chla_rfu,4,9,2019,75
AMPLE-022,1326.79,RFU,warwick,1,int,2,chla_rfu,4,9,2019,75
SAMPLE-023,1787.42,RFU,warwick,2,int,1,chla_rfu,4,9,2019,75
SAMPLE-024,1905.96,RFU,warwick,2,int,2,chla_rfu,4,9,2019,75
SAMPLE-025,19866.88,RFU,warwick,3,int,1,chla_rfu,4,9,2019,75
SAMPLE-026,15710.8,RFU,warwick,3,int,2,chla_rfu,4,9,2019,75
SAMPLE-027,1501.31,RFU,warwick,4,int,1,chla_rfu,4,9,2019,75
SAMPLE-028,1634.86,RFU,warwick,4,int,2,chla_rfu,4,9,2019,75
SAMPLE-029,1411.65,RFU,warwick,5,int,1,chla_rfu,4,9,2019,75
SAMPLE-030,1580.59,RFU,warwick,5,int,2,chla_rfu,4,9,2019,75
SAMPLE-031,1248.77,RFU,warwick,6,int,1,chla_rfu,4,9,2019,75
SAMPLE-032,1264.97,RFU,warwick,6,int,2,chla_rfu,4,9,2019,75
SAMPLE-033,1984.86,RFU,warwick,p,int,1,chla_rfu,4,9,2019,75
SAMPLE-034,1779.14,RFU,warwick,p,int,2,chla_rfu,4,9,2019,75
SAMPLE-035,1792.65,RFU,warwick,p,int,3,chla_rfu,4,9,2019,75
SAMPLE-036,0.49,RFU,yawgoo,blank,int,1,blank,9,9,2019,na
AMPLE-037,0.84,RFU,yawgoo,blank,int,2,blank,9,9,2019,na
SAMPLE-038,368.76,RFU,yawgoo,1,int,1,chla_rfu,9,9,2019,300
SAMPLE-039,385.41,RFU,yawgoo,1,int,2,chla_rfu,9,9,2019,300
SAMPLE-040,353.09,RFU,yawgoo,2,int,1,chla_rfu,9,9,2019,300
SAMPLE-041,359.05,RFU,yawgoo,2,int,2,chla_rfu,9,9,2019,300
SAMPLE-042,324.43,RFU,yawgoo,3,int,1,chla_rfu,9,9,2019,300
SAMPLE-043,314.04,RFU,yawgoo,3,int,2,chla_rfu,9,9,2019,300
SAMPLE-044,454.78,RFU,yawgoo,4,int,1,chla_rfu,9,9,2019,300
SAMPLE-045,374.15,RFU,yawgoo,4,int,2,chla_rfu,9,9,2019,300
SAMPLE-046,1772.76,RFU,yawgoo,5,int,1,chla_rfu,9,9,2019,300
SAMPLE-047,3593.27,RFU,yawgoo,5,int,2,chla_rfu,9,9,2019,300
SAMPLE-048,389.55,RFU,yawgoo,6,int,1,chla_rfu,9,9,2019,300
SAMPLE-049,378.82,RFU,yawgoo,6,int,2,chla_rfu,9,9,2019,300
SAMPLE-050,391.64,RFU,yawgoo,p,int,1,chla_rfu,9,9,2019,300
SAMPLE-051,397.14,RFU,yawgoo,p,int,2,chla_rfu,9,9,2019,300
SAMPLE-052,433.17,RFU,yawgoo,p,int,3,chla_rfu,9,9,2019,300
SAMPLE-053,0.5,RFU,mashapaug,blank,int,1,blank,9,9,2019,na
SAMPLE-054,0.8,RFU,mashapaug,blank,int,2,blank,9,9,2019,na
SAMPLE-055,1522.13,RFU,mashapaug,1,int,1,chla_rfu,9,9,2019,75
SAMPLE-056,1368.97,RFU,mashapaug,1,int,2,chla_rfu,9,9,2019,75
AMPLE-057,1538.29,RFU,mashapaug,2,int,1,chla_rfu,9,9,2019,75
SAMPLE-058,1659.52,RFU,mashapaug,2,int,2,chla_rfu,9,9,2019,75
SAMPLE-059,1775.48,RFU,mashapaug,3,int,1,chla_rfu,9,9,2019,75
SAMPLE-060,1765.73,RFU,mashapaug,3,int,2,chla_rfu,9,9,2019,75
SAMPLE-061,1678.55,RFU,mashapaug,4,int,1,chla_rfu,9,9,2019,75
SAMPLE-062,1561.36,RFU,mashapaug,4,int,2,chla_rfu,9,9,2019,75
SAMPLE-063,1695.93,RFU,mashapaug,5,int,1,chla_rfu,9,9,2019,75
SAMPLE-064,1624.51,RFU,mashapaug,5,int,2,chla_rfu,9,9,2019,75
SAMPLE-065,1380.18,RFU,mashapaug,6,int,1,chla_rfu,9,9,2019,75
SAMPLE-066,1649.99,RFU,mashapaug,6,int,2,chla_rfu,9,9,2019,75
SAMPLE-067,1384.45,RFU,mashapaug,p,int,1,chla_rfu,9,9,2019,75
SAMPLE-068,1752.6,RFU,mashapaug,p,int,2,chla_rfu,9,9,2019,75
SAMPLE-069,1680.18,RFU,mashapaug,p,int,3,chla_rfu,9,9,2019,75
SAMPLE-072,221.09,RFU,na,solid std,na,na,chla_rfu,17,10,2019,na
