,value,units,waterbody,site,depth,reps,variable,day,month,year,filter_vol,
SAMPLE-001,224.36,RFU,na,solid std,na,na,chla_rfu,20,11,2019,na,
SAMPLE-002,2.78,RFU,mashapaug,blank,int,1,blank,2,10,2019,na,
SAMPLE-003,0.79,RFU,mashapaug,blank,int,2,blank,2,10,2019,na,
SAMPLE-004,1251.31,RFU,mashapaug,1,int,1,chla_rfu,2,10,2019,75,
SAMPLE-005,1390.18,RFU,mashapaug,1,int,2,chla_rfu,2,10,2019,75,
SAMPLE-006,1625.71,RFU,mashapaug,2,int,1,chla_rfu,2,10,2019,75,
SAMPLE-007,1520.03,RFU,mashapaug,2,int,2,chla_rfu,2,10,2019,75,
SAMPLE-008,1383.88,RFU,mashapaug,3,int,1,chla_rfu,2,10,2019,75,
SAMPLE-009,1566.05,RFU,mashapaug,3,int,2,chla_rfu,2,10,2019,75,
SAMPLE-011,1428.95,RFU,mashapaug,4,int,1,chla_rfu,2,10,2019,75,
SAMPLE-012,1384.7,RFU,mashapaug,4,int,2,chla_rfu,2,10,2019,75,
SAMPLE-013,1272.56,RFU,mashapaug,5,int,1,chla_rfu,2,10,2019,75,
SAMPLE-014,1595.96,RFU,mashapaug,5,int,2,chla_rfu,2,10,2019,75,
SAMPLE-015,1621.96,RFU,mashapaug,6,int,1,chla_rfu,2,10,2019,75,
SAMPLE-016,1701.09,RFU,mashapaug,6,int,2,chla_rfu,2,10,2019,75,
SAMPLE-017,1546.98,RFU,mashapaug,p,int,1,chla_rfu,2,10,2019,75,
SAMPLE-018,1761.65,RFU,mashapaug,p,int,2,chla_rfu,2,10,2019,75,
SAMPLE-019,1705.79,RFU,mashapaug,p,int,3,chla_rfu,2,10,2019,75,
SAMPLE-020,3.42,RFU,warwick,blank,int,1,blank,2,10,2019,na,
SAMPLE-021,2.48,RFU,warwick,blank,int,2,blank,2,10,2019,na,
AMPLE-022,879.64,RFU,warwick,1,int,1,chla_rfu,2,10,2019,75,
SAMPLE-023,904.33,RFU,warwick,1,int,2,chla_rfu,2,10,2019,75,
AMPLE-024,986.42,RFU,warwick,2,int,1,chla_rfu,2,10,2019,75,
SAMPLE-025,1029.95,RFU,warwick,2,int,2,chla_rfu,2,10,2019,75,
SAMPLE-026,1299.09,RFU,warwick,3,int,1,chla_rfu,2,10,2019,75,
SAMPLE-027,1221.01,RFU,warwick,3,int,2,chla_rfu,2,10,2019,75,
SAMPLE-028,1199.92,RFU,warwick,4,int,1,chla_rfu,2,10,2019,75,
SAMPLE-029,1143.93,RFU,warwick,4,int,2,chla_rfu,2,10,2019,75,
SAMPLE-030,936.04,RFU,warwick,5,int,1,chla_rfu,2,10,2019,75,
SAMPLE-031,966.02,RFU,warwick,5,int,2,chla_rfu,2,10,2019,75,
SAMPLE-032,865.29,RFU,warwick,6,int,1,chla_rfu,2,10,2019,75,
SAMPLE-033,891.52,RFU,warwick,6,int,2,chla_rfu,2,10,2019,75,
SAMPLE-034,1054.1,RFU,warwick,p,int,1,chla_rfu,2,10,2019,75,
SAMPLE-035,984.19,RFU,warwick,p,int,2,chla_rfu,2,10,2019,75,
SAMPLE-036,1027.69,RFU,warwick,p,int,3,chla_rfu,2,10,2019,75,
SAMPLE-037,1.24,RFU,yawgoo,blank,int,1,blank,3,10,2019,na,
SAMPLE-038,1.26,RFU,yawgoo,blank,int,2,blank,3,10,2019,na,
SAMPLE-039,480.33,RFU,yawgoo,1,int,1,chla_rfu,3,10,2019,300,
SAMPLE-040,470.61,RFU,yawgoo,1,int,2,chla_rfu,3,10,2019,300,
SAMPLE-041,486.5,RFU,yawgoo,2,int,1,chla_rfu,3,10,2019,300,
SAMPLE-042,506.76,RFU,yawgoo,2,int,2,chla_rfu,3,10,2019,300,
SAMPLE-043,604.33,RFU,yawgoo,3,int,1,chla_rfu,3,10,2019,300,
SAMPLE-044,579.34,RFU,yawgoo,3,int,2,chla_rfu,3,10,2019,300,
SAMPLE-045,2938.89,RFU,yawgoo,4,int,1,chla_rfu,3,10,2019,300,sediment
SAMPLE-046,445.7,RFU,yawgoo,4,int,2,chla_rfu,3,10,2019,300,
SAMPLE-048,5210.33,RFU,yawgoo,5,int,1,chla_rfu,3,10,2019,300,sediment
SAMPLE-049,1134.11,RFU,yawgoo,5,int,2,chla_rfu,3,10,2019,300,sediment
AMPLE-050,523.17,RFU,yawgoo,6,int,1,chla_rfu,3,10,2019,300,
SAMPLE-051,512.98,RFU,yawgoo,6,int,2,chla_rfu,3,10,2019,300,
SAMPLE-052,404.32,RFU,yawgoo,p,int,1,chla_rfu,3,10,2019,300,
SAMPLE-053,393.21,RFU,yawgoo,p,int,2,chla_rfu,3,10,2019,300,
SAMPLE-054,381.31,RFU,yawgoo,p,int,3,chla_rfu,3,10,2019,300,
SAMPLE-055,0.76,RFU,mashapaug,blank,int,1,blank,7,10,2019,na,
