,value,units,waterbody,site,depth,reps,variable,day,month,year,filter_vol
SAMPLE-002,230.91,RFU,na,solid std,na,na,chla_rfu,,,2021,na
SAMPLE-003,0.6,RFU,yawgoo,blank,int,1,blank,26,7,2021,na
SAMPLE-004,0.33,RFU,yawgoo,blank,int,2,blank,26,7,2021,na
SAMPLE-005,305.52,RFU,yawgoo,1,int,1,chla_rfu,26,7,2021,250
SAMPLE-006,325.31,RFU,yawgoo,1,int,2,chla_rfu,26,7,2021,250
SAMPLE-007,231.33,RFU,yawgoo,2,int,1,chla_rfu,26,7,2021,250
SAMPLE-008,113.28,RFU,yawgoo,2,int,2,chla_rfu,26,7,2021,250
SAMPLE-009,123.39,RFU,yawgoo,3,int,1,chla_rfu,26,7,2021,250
AMPLE-010,300.84,RFU,yawgoo,3,int,2,chla_rfu,26,7,2021,250
SAMPLE-011,1235.95,RFU,yawgoo,4,int,1,chla_rfu,26,7,2021,250
SAMPLE-012,338.24,RFU,yawgoo,4,int,2,chla_rfu,26,7,2021,250
SAMPLE-013,361.49,RFU,yawgoo,5,int,1,chla_rfu,26,7,2021,250
SAMPLE-014,206.67,RFU,yawgoo,5,int,2,chla_rfu,26,7,2021,250
SAMPLE-015,418.97,RFU,yawgoo,6,int,1,chla_rfu,26,7,2021,250
SAMPLE-016,327.68,RFU,yawgoo,6,int,2,chla_rfu,26,7,2021,250
SAMPLE-017,250.97,RFU,yawgoo,p,int,1,chla_rfu,26,7,2021,250
SAMPLE-018,266.45,RFU,yawgoo,p,int,2,chla_rfu,26,7,2021,250
SAMPLE-019,237.72,RFU,yawgoo,p,int,3,chla_rfu,26,7,2021,250
SAMPLE-020,0.39,RFU,mashapaug,blank,int,1,blank,21,7,2021,na
SAMPLE-021,0.25,RFU,mashapaug,blank,int,2,blank,21,7,2021,na
SAMPLE-022,3082.45,RFU,mashapaug,1,int,1,chla_rfu,21,7,2021,100
SAMPLE-023,2984.19,RFU,mashapaug,1,int,2,chla_rfu,21,7,2021,100
SAMPLE-024,2079.66,RFU,mashapaug,2,int,1,chla_rfu,21,7,2021,100
SAMPLE-025,2030.18,RFU,mashapaug,2,int,2,chla_rfu,21,7,2021,100
SAMPLE-026,1320.28,RFU,mashapaug,3,int,1,chla_rfu,21,7,2021,100
SAMPLE-027,1944.47,RFU,mashapaug,3,int,2,chla_rfu,21,7,2021,100
SAMPLE-028,2473.35,RFU,mashapaug,4,int,1,chla_rfu,21,7,2021,100
SAMPLE-029,2824.15,RFU,mashapaug,4,int,2,chla_rfu,21,7,2021,100
SAMPLE-030,2267.55,RFU,mashapaug,5,int,1,chla_rfu,21,7,2021,100
SAMPLE-031,2521.94,RFU,mashapaug,5,int,2,chla_rfu,21,7,2021,100
SAMPLE-032,2375.31,RFU,mashapaug,6,int,1,chla_rfu,21,7,2021,100
SAMPLE-033,2019.3,RFU,mashapaug,6,int,2,chla_rfu,21,7,2021,100
SAMPLE-034,2819.68,RFU,mashapaug,p,int,1,chla_rfu,21,7,2021,100
SAMPLE-035,2504.43,RFU,mashapaug,p,int,2,chla_rfu,21,7,2021,100
SAMPLE-036,2519.56,RFU,mashapaug,p,int,3,chla_rfu,21,7,2021,100
SAMPLE-037,0.74,RFU,warwick,blank,int,1,blank,21,7,2021,na
SAMPLE-038,0.29,RFU,warwick,blank,int,2,blank,21,7,2021,na
SAMPLE-039,3486.39,RFU,warwick,1,int,1,chla_rfu,21,7,2021,100
SAMPLE-040,3585.74,RFU,warwick,1,int,2,chla_rfu,21,7,2021,100
SAMPLE-041,3444.55,RFU,warwick,2,int,1,chla_rfu,21,7,2021,100
SAMPLE-042,3658.24,RFU,warwick,2,int,2,chla_rfu,21,7,2021,100
SAMPLE-043,3082.06,RFU,warwick,3,int,1,chla_rfu,21,7,2021,100
SAMPLE-044,3060.74,RFU,warwick,3,int,2,chla_rfu,21,7,2021,100
SAMPLE-045,2820.3,RFU,warwick,4,int,1,chla_rfu,21,7,2021,100
SAMPLE-046,2533.92,RFU,warwick,4,int,2,chla_rfu,21,7,2021,100
SAMPLE-047,3260.09,RFU,warwick,5,int,1,chla_rfu,21,7,2021,100
SAMPLE-048,3967.7,RFU,warwick,5,int,2,chla_rfu,21,7,2021,100
SAMPLE-049,3019.63,RFU,warwick,6,int,1,chla_rfu,21,7,2021,100
SAMPLE-050,3584.98,RFU,warwick,6,int,2,chla_rfu,21,7,2021,100
AMPLE-051,231.08,RFU,na,solid std,na,na,chla_rfu,19,11,2021,na

