value,units,waterbody,site,depth,reps,variable,day,month,year,filter_vol,fluorometer
na,RFU,na,solid std,na,na,chla_rfu,27,10,2021,na,G04
na,RFU,mashapaug,blank,int,1,blank,23,9,2021,na,G04
na,RFU,mashapaug,blank,int,2,blank,23,9,2021,na,G04
na,RFU,mashapaug,1,int,1,chla_rfu,23,9,2021,100,G04
na,RFU,mashapaug,1,int,2,chla_rfu,23,9,2021,100,G04
na,RFU,mashapaug,2,int,1,chla_rfu,23,9,2021,100,G04
na,RFU,mashapaug,2,int,2,chla_rfu,23,9,2021,100,G04
na,RFU,mashapaug,3,int,1,chla_rfu,23,9,2021,100,G04
na,RFU,mashapaug,3,int,2,chla_rfu,23,9,2021,100,G04
na,RFU,mashapaug,4,int,1,chla_rfu,23,9,2021,100,G04
na,RFU,mashapaug,4,int,2,chla_rfu,23,9,2021,100,G04
na,RFU,mashapaug,5,int,1,chla_rfu,23,9,2021,100,G04
na,RFU,mashapaug,5,int,2,chla_rfu,23,9,2021,100,G04
na,RFU,mashapaug,6,int,1,chla_rfu,23,9,2021,100,G04
na,RFU,mashapaug,6,int,2,chla_rfu,23,9,2021,100,G04
na,RFU,mashapaug,p,int,1,chla_rfu,23,9,2021,100,G04
na,RFU,mashapaug,p,int,2,chla_rfu,23,9,2021,100,G04
na,RFU,mashapaug,p,int,3,chla_rfu,23,9,2021,100,G04
na,RFU,warwick,blank,int,1,blank,23,9,2021,na,G04
na,RFU,warwick,blank,int,2,blank,23,9,2021,na,G04
na,RFU,warwick,1,int,1,chla_rfu,23,9,2021,100,G04
na,RFU,warwick,1,int,2,chla_rfu,23,9,2021,100,G04
na,RFU,warwick,2,int,1,chla_rfu,23,9,2021,100,G04
na,RFU,warwick,2,int,2,chla_rfu,23,9,2021,100,G04
na,RFU,warwick,3,int,1,chla_rfu,23,9,2021,100,G04
na,RFU,warwick,3,int,2,chla_rfu,23,9,2021,100,G04
na,RFU,warwick,4,int,1,chla_rfu,23,9,2021,100,G04
na,RFU,warwick,4,int,2,chla_rfu,23,9,2021,100,G04
na,RFU,warwick,5,int,1,chla_rfu,23,9,2021,100,G04
na,RFU,warwick,5,int,2,chla_rfu,23,9,2021,100,G04
na,RFU,warwick,6,int,1,chla_rfu,23,9,2021,100,G04
na,RFU,warwick,6,int,2,chla_rfu,23,9,2021,100,G04
na,RFU,warwick,p,int,1,chla_rfu,23,9,2021,100,G04
na,RFU,warwick,p,int,2,chla_rfu,23,9,2021,100,G04
na,RFU,warwick,p,int,3,chla_rfu,23,9,2021,100,G04
na,RFU,mashapaug,blank,int,1,blank,12,10,2021,na,G04
na,RFU,mashapaug,blank,int,2,blank,12,10,2021,na,G04
na,RFU,mashapaug,1,int,1,chla_rfu,12,10,2021,100,G04
na,RFU,mashapaug,1,int,2,chla_rfu,12,10,2021,100,G04
na,RFU,mashapaug,2,int,1,chla_rfu,12,10,2021,100,G04
na,RFU,mashapaug,2,int,2,chla_rfu,12,10,2021,100,G04
na,RFU,mashapaug,3,int,1,chla_rfu,12,10,2021,100,G04
na,RFU,mashapaug,3,int,2,chla_rfu,12,10,2021,100,G04
na,RFU,mashapaug,4,int,1,chla_rfu,12,10,2021,100,G04
na,RFU,mashapaug,4,int,2,chla_rfu,12,10,2021,100,G04
na,RFU,mashapaug,5,int,1,chla_rfu,12,10,2021,100,G04
na,RFU,mashapaug,5,int,2,chla_rfu,12,10,2021,100,G04
na,RFU,mashapaug,6,int,1,chla_rfu,12,10,2021,100,G04
na,RFU,mashapaug,6,int,2,chla_rfu,12,10,2021,100,G04
na,RFU,mashapaug,p,int,1,chla_rfu,12,10,2021,100,G04
na,RFU,mashapaug,p,int,2,chla_rfu,12,10,2021,100,G04
na,RFU,mashapaug,p,int,3,chla_rfu,12,10,2021,100,G04
na,RFU,warwick,blank,int,1,blank,12,10,2021,na,G04
na,RFU,warwick,blank,int,2,blank,12,10,2021,na,G04
na,RFU,warwick,1,int,1,chla_rfu,12,10,2021,50,G04
na,RFU,warwick,1,int,2,chla_rfu,12,10,2021,50,G04
na,RFU,warwick,2,int,1,chla_rfu,12,10,2021,50,G04
na,RFU,warwick,2,int,2,chla_rfu,12,10,2021,50,G04
na,RFU,warwick,3,int,1,chla_rfu,12,10,2021,50,G04
na,RFU,warwick,3,int,2,chla_rfu,12,10,2021,50,G04
na,RFU,warwick,4,int,1,chla_rfu,12,10,2021,50,G04
na,RFU,warwick,4,int,2,chla_rfu,12,10,2021,50,G04
na,RFU,warwick,5,int,1,chla_rfu,12,10,2021,50,G04
na,RFU,warwick,5,int,2,chla_rfu,12,10,2021,50,G04
na,RFU,warwick,6,int,1,chla_rfu,12,10,2021,50,G04
na,RFU,warwick,6,int,2,chla_rfu,12,10,2021,50,G04
na,RFU,warwick,p,int,1,chla_rfu,12,10,2021,50,G04
na,RFU,warwick,p,int,2,chla_rfu,12,10,2021,50,G04
na,RFU,warwick,p,int,3,chla_rfu,12,10,2021,50,G04
na,RFU,na,solid std,na,na,chla_rfu,27,10,2021,na,G04
