sample,concentration
20190612M32,0.083
20190612M41,0.129
20190612M42,0.147
20190612M51,0.154
20190612M52,0.037
20190612M61,0.056
20190612M62,0.048
20190618M11,0.06
20190618M12,0.123
20190618M21,0.032
20190618M22,0.031
20190618M31,0.136
20190618M32,0.06
20190618M41,0.04
20190618M42,0.061
20190618M51,0.149
20190618M52,0.122
20190618M61,0.094
20190618M62,0.071
20190627M11,1.691
20190627M12,1.245
20190627M21,0.747
20190627M22,0.356
20190627M31,0.219
20190627M32,0.271
20190627M41,0.28
20190627M42,0.091
20190627M51,0.214
20190627M52,0.21
20190627M61,0.074
20190627M62,0.046
20190701M11,0.195
20190701M12,0.225
20190701M21,0.245
20190701M22,0.146
20190701M31,0.131
20190701M32,0.287
20190701M41,0.18
20190701M42,0.189
20190701M51,0.385
20190701M52,0.132
20190701M61,0.121
20190701M62,0.127
20190710M11,0.054
20190710M12,0.025
20190710M21,0.094
20190710M22,0.034
20190710M31,<0.000
20190710M32,0.002
20190710M41,0.02
20190710M42,0.045
20190710M51,0.065
20190710M52,<0.000
20190710M61,<0.000
20190710M62,<0.000
20190715M11,<0.000
20190715M12,<0.000
20190715M21,0.091
20190715M22,0.077
20190715M31,0.049
20190715M32,<0.000
20190715M41,0.051
20190715M42,0.01
