Site ID,old run,new run,new hand run,,new hand run non average,
20180827M31,2.312,1.824,1.6425,,1.531,1.754
20180827M32,2.281,1.518,1.4025,,1.101,1.704
20180827M21,1.998,1.088,1.497,,1.309,1.685
20180827M22,1.921,1.081,1.501,,1.299,1.715
20180829M11,,0.816,0.7935,,0.703,0.884
20180829M12,1.657,1.032,1.185,,1.102,1.268
20180829M21,1.251,0.767,1.0435,,0.912,1.175
20180829M22,1.519,0.753,1.079,,1.027,1.135
20180827M41,1.434,1.025,1.4005,,1.185,1.161
20180827M42,1.379,0.943,1.0845,,1.098,1.071
20180829M51,1.334,0.788,1.128,,1.053,1.203
20180829M52,1.26,0.856,1.167,,1.114,1.122
20180829M41,1.331,0.999,1.136,,0.94,1.332
20180829M62,1.261,0.976,1.1009,,1.1,1.018
20180829M62,1.261,0.849,1.1675,,1.24,1.095
20180906M51,2.053,0.731,0.955,,1.008,0.902
20180906M62,1.695,1.192,1.3435,,1.322,1.365
20180906M21,1.52,1.118,1.399,,1.433,1.366
20180906M22,1.509,0.97,1.2195,,1.381,1.058
20180919MP1,1.494,0.844,1.076,,1.127,1.025
20180906M41,1.429,1.54,1.3965,,1.432,1.361
20180906MP1,1.283,1.158,1.346,,1.399,1.301
20180906MP2,1.199,0.913,1.2565,,1.309,1.204
20180919MP2,1.731,0.656,1.3825,,1.393,1.372
20180919MP3,,0.946,1.1395,,1.165,1.114
20180906MP3,1.339,0.955,1.0995,,1.07,1.129
20211012MP1,1.25,1.339,1.653,,1.807,1.499
20211012MP2,1.279,0.876,1.58,,1.544,1.616
20211012MP3,1.846,1.082,1.2825,,1.204,1.301
20210923M52,1.715,1.097,1.3105,,1.409,1.212
20210923M61,1.365,1.461,">10,000/1.409",*,,
20210923MP1,1.398,1.062,0.0412,*,,
20210923MP3,1.322,0.0931,0.1305,*,,
20210923M62,2.044,1.339,0.3665,*,,
20210923M12,1.554,2.228,1.3155,*,,
20210923M21,1.431,1.02,2.072,*,,
20211012M42,1.283,0.772,  ,*,,
20210923M11,1.388,1.402,,*,,
