,,notes
20250604M12,0.065,
20250604M13,0.036,
20250604M21,0.049,
20250604M22,0.042,
20250604M23,0.045,
20250604M31,0.06,
20250604M32,0.032,
20250604M33,0.043,
20250604M41,0.038,
20250604M42,0,
20250604M43,0.016,
20250604MB1,0.066,
20250604MB2,0.015,
20250604MB3,0.032,
20210818W42,0,
20210818W51,0.028,
20210818W52,0.02,
20210818W61,0,
20210818W62,0,
20210818WP1,0.027,
20210818WP2,0.031,
20210818WP3,0,
20210830Y11,0,
20210830Y12,0.017,
20210830Y21,0.035,
20210830Y22,0,
20210830Y31,0,
20210830Y32,0.001,
20210830Y41,0.05,
20210830Y42,0.12,
20210830Y51,0.001,
20210830Y52,0,
20210830Y61,0.071,sample lost
20180830Y62,0.01,sample lost
20180830YP1,0.004,
20210830YP2,0,
20210830YP3,0.125,
20210831H11,0.064,
