"project
name","sample
id","sample
matrix","analytes
requested",ammonia_uM/liter,orthophosphate_uM/liter
cyano,20170607W1,freshwater,NH4/PO4,1.82,0.25
cyano,20170607W2,freshwater,NH4/PO4,1.96,0.20
cyano,20170607W3,freshwater,NH4/PO4,1.84,0.16
cyano,20170607Y1,freshwater,NH4/PO4,2.62,0.18
cyano,20170607Y2,freshwater,NH4/PO4,2.71,0.20
cyano,20170607Y3,freshwater,NH4/PO4,2.34,0.16
cyano,20170612W1,freshwater,NH4/PO4,1.18,0.17
cyano,20170612W2,freshwater,NH4/PO4,1.13,0.09
cyano,20170612W3,freshwater,NH4/PO4,1.18,0.11
cyano,20170615W1,freshwater,NH4/PO4,1.29,0.04
cyano,20170615W2,freshwater,NH4/PO4,1.36,0.04
cyano,20170615W3,freshwater,NH4/PO4,1.28,0.05
cyano,20170615Y1,freshwater,NH4/PO4,1.55,0.12
cyano,20170615Y2,freshwater,NH4/PO4,1.36,0.15
cyano,20170615Y3,freshwater,NH4/PO4,1.34,0.12
cyano,20170622W1,freshwater,NH4/PO4,0.63,0.06
cyano,20170622W2,freshwater,NH4/PO4,1.78,0.06
cyano,20170622W3,freshwater,NH4/PO4,0.00,0.07
cyano,20170622Y1,freshwater,NH4/PO4,1.02,1.00
cyano,20170622Y2,freshwater,NH4/PO4,1.04,0.19
cyano,20170622Y3,freshwater,NH4/PO4,1.04,0.10
cyano,20170626W1,freshwater,NH4/PO4,0.40,0.09
cyano,20170626W2,freshwater,NH4/PO4,0.50,0.07
cyano,20170626W3,freshwater,NH4/PO4,0.59,0.07
cyano,20170626Y1,freshwater,NH4/PO4,1.16,0.06
cyano,20170626Y2,freshwater,NH4/PO4,1.00,0.08
cyano,20170626Y3,freshwater,NH4/PO4,1.04,0.07
cyano,20170705W1,freshwater,NH4/PO4,0.51,0.00
cyano,20170705W2,freshwater,NH4/PO4,1.62,0.05
cyano,20170705W3,freshwater,NH4/PO4,1.25,0.03
cyano,20170705Y1,freshwater,NH4/PO4,1.14,0.07
cyano,20170705Y2,freshwater,NH4/PO4,1.46,0.11
cyano,20170705Y3,freshwater,NH4/PO4,1.25,0.05
cyano,20170710W1,freshwater,NH4/PO4,0.58,0.01
cyano,20170710W2,freshwater,NH4/PO4,0.31,0.09
cyano,20170710W3,freshwater,NH4/PO4,0.38,0.10
cyano,20170710Y1,freshwater,NH4/PO4,1.85,0.10
cyano,20170710Y2,freshwater,NH4/PO4,3.06,0.10
cyano,20170710Y3,freshwater,NH4/PO4,1.90,0.11
cyano,20170712W1,freshwater,NH4/PO4,0.47,0.08
cyano,20170712W2,freshwater,NH4/PO4,0.53,0.06
cyano,20170712W3,freshwater,NH4/PO4,0.44,0.07
cyano,20170712Y1,freshwater,NH4/PO4,1.60,0.09
cyano,20170712Y2,freshwater,NH4/PO4,1.56,0.07
cyano,20170712Y3,freshwater,NH4/PO4,1.51,0.26
cyano,20170717W1,freshwater,NH4/PO4,0.45,0.24
cyano,20170717W2,freshwater,NH4/PO4,0.44,0.18
cyano,20170717W3,freshwater,NH4/PO4,0.37,0.25
cyano,20170717Y1,freshwater,NH4/PO4,1.19,0.08
cyano,20170717Y2,freshwater,NH4/PO4,1.68,0.00
cyano,20170717Y3,freshwater,NH4/PO4,1.19,0.00
cyano,20170719W1,freshwater,NH4/PO4,0.83,0.00
cyano,20170719W2,freshwater,NH4/PO4,0.56,0.00
