"project
name","sample
id",ammonia_uM/liter,nitrite_uM/liter,orthophosphate_uM/liter,nitrate_uM/liter
cyano,20180611M1,2.83,0.35,0.03,3.66
cyano,20180611M2,2.41,0.20,0.00,3.19
cyano,20180611M3,2.69,0.16,0.00,3.08
cyano,20180612W1,1.22,0.42,0.00,16.82
cyano,20180612W2,1.32,0.42,0.00,17.84
cyano,20180612W3,NA,NA,NA,NA
cyano,20180613Y1,0.40,0.00,0.00,0.93
cyano,20180613Y2,0.43,0.00,0.01,0.00
cyano,20180613Y3,0.46,0.00,0.01,0.07
cyano,20180618M1,1.30,0.20,0.00,2.54
cyano,20180618M2,1.57,0.20,0.00,2.51
cyano,20180618M3,1.14,0.16,0.00,2.60
cyano,20180618W1,2.57,0.47,0.00,17.13
cyano,20180618W2,2.85,0.50,0.00,17.34
cyano,20180618W3,2.94,0.53,0.00,17.61
cyano,20180620Y1,0.44,0.23,0.00,0.61
cyano,20180620Y2,0.33,0.28,0.00,0.00
cyano,20180620Y3,0.40,0.26,0.03,0.00
cyano,20180625M1,2.42,0.30,0.00,2.54
cyano,20180625M2,2.31,0.37,0.00,2.27
cyano,20180625M3,2.38,0.20,0.00,2.49
cyano,20180625W1,0.62,0.72,0.00,12.79
cyano,20180625W2,0.61,0.61,0.02,11.74
cyano,20180625W3,0.63,0.45,0.01,12.17
cyano,20180629Y1,0.88,0.05,0.01,0.906 shoulder
cyano,20180629Y2,0.91,0.03,0.00,0.07
cyano,20180629Y3,1.06,0.00,0.00,0.16
cyano,20180702M1,0.43,0.04,0.00,0.49
cyano,20180702M2,0.58,0.09,0.00,0.38
cyano,20180702M3,0.26,0.37,0.00,0.05
cyano,20180702W1,0.62,0.49,0.00,9.91
cyano,20180702W2,0.50,0.50,0.00,9.94
cyano,20180702W3,0.52,0.44,0.00,9.96
cyano,20180705Y1,0.51,0.11,0.04,0.15
cyano,20180705Y2,0.54,0.00,0.00,0.00
cyano,20180705Y3,0.38,0.07,0.00,0.00
cyano,20180709M1,0.35,0.11,0.00,0.00
cyano,20180709M2,0.28,0.17,0.11,0.00
cyano,20180709M3,0.37,0.11,0.00,0.00
cyano,20180709W1,0.50,0.48,0.00,1.83
cyano,20180709W2,0.97,0.42,0.00,1.93
cyano,20180709W3,0.49,0.41,0.00,1.89
cyano,20180712Y1,0.83,0.11,0.00,0.00
cyano,20180712Y2,1.00,0.02,0.00,0.00
cyano,20180712Y3,0.70,0.00,0.00,0.00
cyano,20180716M1,2.36,0.02,0.00,0.00
cyano,20180716M2,0.35,0.13,0.00,0.00
cyano,20180716M3,0.34,0.00,0.00,0.00
cyano,20180716W1,0.32,0.01,0.00,0.00
cyano,20180716W2,0.33,0.08,0.00,0.00
cyano,20180716W3,0.50,0.11,0.01,0.00
cyano,20180716Y1,0.53,0.12,0.08,0.00
cyano,20180716Y2,0.54,0.06,0.04,0.00
cyano,20180716Y3,0.47,0.00,0.05,0.00
cyano,20180718M1,0.44,0.02,0.04,0.00
cyano,20180718M2,0.50,0.07,0.07,0.00
cyano,20180718M3,0.33,0.05,0.04,0.00
cyano,20180718W1,0.48,0.00,0.03,0.00
cyano,20180718W2,0.57,0.06,0.04,0.00
cyano,20180718W3,0.48,0.00,0.01,0.07
cyano,20180731Y1,0.89,0.09,0.07,0.00
cyano,20180731Y2,0.80,0.13,0.03,0.00
cyano,20180731Y3,0.53,0.10,0.03,0.00
cyano,20180802M1,0.38,0.09,0.00,0.00
cyano,20180802M2,0.35,0.02,0.00,0.00
cyano,20180802M3,0.54,0.02,0.02,0.00
cyano,20180802W1,0.48,0.05,0.01,0.00
