ID number,Site,Rep,Date,Total Nitrogen (mg N/L),Total Phosphorus (mg P/L)
20190605M1,Mashapaug,1,6/5/2019,0.5593,0.016
20190605M2,Mashapaug,2,6/5/2019,0.3152,0.015
20190605W1,Warwick,1,6/5/2019,0.8904,0.044
20190605W2,Warwick,2,6/5/2019,0.8638,0.041
20190607Y1,Yawgoo,1,6/7/2019,0.4522,0.018
20190607Y2,Yawgoo,2,6/7/2019,0.3037,0.008
20190610Y1,Yawgoo,1,6/10/2019,0.3290,0.009
20190610Y2,Yawgoo,2,6/10/2019,0.3314,0.013
20190610Y3,Yawgoo,3,6/10/2019,0.2997,0.009
20190612M1,Mashapaug,1,6/12/2019,0.5883,0.020
20190612M2,Mashapaug,2,6/12/2019,0.5924,0.015
20190612M3,Mashapaug,3,6/12/2019,0.5374,0.015
20190612W1,Warwick,1,6/12/2019,0.9098,0.051
20190612W2,Warwick,2,6/12/2019,1.0572,0.048
20190612W3,Warwick,3,6/12/2019,0.9351,0.045
20190618M1,Mashapaug,1,6/18/2019,0.6427,0.020
20190618M2,Mashapaug,2,6/18/2019,0.4311,0.012
20190618M3,Mashapaug,3,6/18/2019,0.4406,0.020
20190626Y1,Yawgoo,1,6/26/2019,0.4285,0.015
20190626Y2,Yawgoo,2,6/26/2019,0.2732,0.010
20190626Y3,Yawgoo,3,6/26/2019,0.3666,0.012
20190627M1,Mashapaug,1,6/27/2019,0.5773,0.015
20190627M2,Mashapaug,2,6/27/2019,0.5459,0.015
20190627M3,Mashapaug,3,6/27/2019,0.4015,0.013
20190627W1,Warwick,1,6/27/2019,0.6528,0.019
20190627W2,Warwick,2,6/27/2019,0.5655,0.018
20190627W3,Warwick,3,6/27/2019,0.7253,0.019
20190701Y1,Yawgoo,1,7/1/2019,0.3946,0.019
20190701Y2,Yawgoo,2,7/1/2019,0.3357,0.011
20190701M1,Mashapaug,1,7/1/2019,0.5151,0.029
20190701M2,Mashapaug,2,7/1/2019,0.4106,0.018
20190701W1,Warwick,1,7/1/2019,0.6546,0.024
