day,month,year,waterbody,site,depth,reps,variable,value
1,6,2017,yawgoo,blank,int,1,blank,
1,6,2017,yawgoo,blank,int,2,blank,
1,6,2017,yawgoo,1,int,1,phyco_rfu,
1,6,2017,yawgoo,1,int,2,phyco_rfu,
1,6,2017,yawgoo,1,int,1,filter_vol,
1,6,2017,yawgoo,2,int,1,phyco_rfu,
1,6,2017,yawgoo,2,int,2,phyco_rfu,
1,6,2017,yawgoo,2,int,1,filter_vol,
1,6,2017,yawgoo,3,int,1,phyco_rfu,
1,6,2017,yawgoo,3,int,2,phyco_rfu,
1,6,2017,yawgoo,3,int,1,filter_vol,
1,6,2017,yawgoo,4,int,1,phyco_rfu,
1,6,2017,yawgoo,4,int,2,phyco_rfu,
1,6,2017,yawgoo,4,int,1,filter_vol,
1,6,2017,yawgoo,5,int,1,phyco_rfu,
1,6,2017,yawgoo,5,int,2,phyco_rfu,
1,6,2017,yawgoo,5,int,1,filter_vol,
1,6,2017,yawgoo,6,int,1,phyco_rfu,
1,6,2017,yawgoo,6,int,2,phyco_rfu,
1,6,2017,yawgoo,6,int,2,filter_vol,
1,6,2017,yawgoo,p,int,1,phyco_rfu,
1,6,2017,yawgoo,p,int,2,phyco_rfu,
1,6,2017,yawgoo,p,int,3,phyco_rfu,
1,6,2017,yawgoo,p,int,1,filter_vol,
1,6,2017,warwick,blank,int,1,blank,
1,6,2017,warwick,blank,int,2,blank,
1,6,2017,warwick,1,int,1,phyco_rfu,
1,6,2017,warwick,1,int,2,phyco_rfu,
1,6,2017,warwick,1,int,1,filter_vol,
1,6,2017,warwick,2,int,1,phyco_rfu,
1,6,2017,warwick,2,int,2,phyco_rfu,
1,6,2017,warwick,2,int,1,filter_vol,
1,6,2017,warwick,3,int,1,phyco_rfu,
1,6,2017,warwick,3,int,2,phyco_rfu,
1,6,2017,warwick,3,int,1,filter_vol,
1,6,2017,warwick,4,int,1,phyco_rfu,
1,6,2017,warwick,4,int,2,phyco_rfu,
1,6,2017,warwick,4,int,1,filter_vol,
1,6,2017,warwick,5,int,1,phyco_rfu,
1,6,2017,warwick,5,int,2,phyco_rfu,
1,6,2017,warwick,5,int,1,filter_vol,
1,6,2017,warwick,6,int,1,phyco_rfu,
1,6,2017,warwick,6,int,2,phyco_rfu,
1,6,2017,warwick,6,int,1,filter_vol,
1,6,2017,warwick,p,int,1,phyco_rfu,
1,6,2017,warwick,p,int,2,phyco_rfu,
1,6,2017,warwick,p,int,3,phyco_rfu,
1,6,2017,warwick,p,int,1,filter_vol,
7,6,2017,yawgoo,blank,int,1,blank,
7,6,2017,yawgoo,blank,int,2,blank,
7,6,2017,yawgoo,1,int,1,phyco_rfu,
7,6,2017,yawgoo,1,int,2,phyco_rfu,
7,6,2017,yawgoo,1,int,1,filter_vol,
7,6,2017,yawgoo,2,int,1,phyco_rfu,
7,6,2017,yawgoo,2,int,2,phyco_rfu,
7,6,2017,yawgoo,2,int,1,filter_vol,
7,6,2017,yawgoo,3,int,1,phyco_rfu,
7,6,2017,yawgoo,3,int,2,phyco_rfu,
7,6,2017,yawgoo,3,int,1,filter_vol,
7,6,2017,yawgoo,4,int,1,phyco_rfu,
7,6,2017,yawgoo,4,int,2,phyco_rfu,
7,6,2017,yawgoo,4,int,1,filter_vol,
7,6,2017,yawgoo,5,int,1,phyco_rfu,
