,value,units,waterbody,site,depth,reps,variable,day,month,year,filter_vol
SAMPLE-001,6028.54,RFU,na,solid std,na,na,phyco_rfu,5,9,2019,na
SAMPLE-002,317.58,RFU,warwick,blank,int,1,blank,11,6,2019,na
SAMPLE-003,311.56,RFU,warwick,blank,int,2,blank,11,6,2019,na
SAMPLE-005,311.05,RFU,warwick,1,int,1,phyco_rfu,11,6,2019,100
SAMPLE-006,307.6,RFU,warwick,1,int,2,phyco_rfu,11,6,2019,100
SAMPLE-007,339.91,RFU,warwick,2,int,1,phyco_rfu,11,6,2019,100
SAMPLE-008,313.5,RFU,warwick,2,int,2,phyco_rfu,11,6,2019,100
SAMPLE-009,344.02,RFU,warwick,3,int,1,phyco_rfu,11,6,2019,100
SAMPLE-010,326.45,RFU,warwick,3,int,2,phyco_rfu,11,6,2019,100
SAMPLE-011,311.54,RFU,warwick,4,int,1,phyco_rfu,11,6,2019,100
SAMPLE-012,304.59,RFU,warwick,4,int,2,phyco_rfu,11,6,2019,100
SAMPLE-013,304.36,RFU,warwick,5,int,1,phyco_rfu,11,6,2019,100
SAMPLE-014,311.5,RFU,warwick,5,int,2,phyco_rfu,11,6,2019,100
SAMPLE-015,299.75,RFU,warwick,6,int,1,phyco_rfu,11,6,2019,100
SAMPLE-016,304.04,RFU,warwick,6,int,2,phyco_rfu,11,6,2019,100
SAMPLE-017,304.69,RFU,warwick,p,int,1,phyco_rfu,11,6,2019,100
SAMPLE-018,310,RFU,warwick,p,int,2,phyco_rfu,11,6,2019,100
SAMPLE-019,305.53,RFU,warwick,p,int,3,phyco_rfu,11,6,2019,100
SAMPLE-020,298.74,RFU,mashapaug,blank,int,1,blank,12,6,2019,na
AMPLE-021,313.72,RFU,mashapaug,blank,int,2,blank,12,6,2019,na
SAMPLE-022,311.2,RFU,mashapaug,1,int,1,phyco_rfu,12,6,2019,100
SAMPLE-023,304.13,RFU,mashapaug,1,int,2,phyco_rfu,12,6,2019,100
SAMPLE-024,297.32,RFU,mashapaug,2,int,1,phyco_rfu,12,6,2019,100
SAMPLE-025,301.33,RFU,mashapaug,2,int,2,phyco_rfu,12,6,2019,100
SAMPLE-026,298.71,RFU,mashapaug,3,int,1,phyco_rfu,12,6,2019,100
SAMPLE-027,304.02,RFU,mashapaug,3,int,2,phyco_rfu,12,6,2019,100
SAMPLE-028,315.77,RFU,mashapaug,4,int,1,phyco_rfu,12,6,2019,100
SAMPLE-029,311.98,RFU,mashapaug,4,int,2,phyco_rfu,12,6,2019,100
SAMPLE-030,301.63,RFU,mashapaug,5,int,1,phyco_rfu,12,6,2019,100
SAMPLE-031,303.94,RFU,mashapaug,5,int,2,phyco_rfu,12,6,2019,100
SAMPLE-032,297.56,RFU,mashapaug,6,int,1,phyco_rfu,12,6,2019,100
SAMPLE-033,301.43,RFU,mashapaug,6,int,2,phyco_rfu,12,6,2019,100
SAMPLE-034,302.43,RFU,mashapaug,p,int,1,phyco_rfu,12,6,2019,100
AMPLE-036,296.2,RFU,mashapaug,p,int,2,phyco_rfu,12,6,2019,100
SAMPLE-037,298.31,RFU,mashapaug,p,int,3,phyco_rfu,12,6,2019,100
SAMPLE-038,289.05,RFU,mashapaug,blank,int,1,blank,18,6,2019,na
SAMPLE-039,281.74,RFU,mashapaug,blank,int,2,blank,18,6,2019,na
SAMPLE-040,301.61,RFU,mashapaug,1,int,1,phyco_rfu,18,6,2019,100
SAMPLE-041,292.15,RFU,mashapaug,1,int,2,phyco_rfu,18,6,2019,100
SAMPLE-042,299.65,RFU,mashapaug,2,int,1,phyco_rfu,18,6,2019,100
SAMPLE-043,315.81,RFU,mashapaug,2,int,2,phyco_rfu,18,6,2019,100
SAMPLE-044,321.05,RFU,mashapaug,3,int,1,phyco_rfu,18,6,2019,100
SAMPLE-045,346.81,RFU,mashapaug,3,int,2,phyco_rfu,18,6,2019,100
SAMPLE-046,306.85,RFU,mashapaug,4,int,1,phyco_rfu,18,6,2019,100
SAMPLE-047,305.83,RFU,mashapaug,4,int,2,phyco_rfu,18,6,2019,100
SAMPLE-048,311.47,RFU,mashapaug,5,int,1,phyco_rfu,18,6,2019,100
SAMPLE-049,318.25,RFU,mashapaug,5,int,2,phyco_rfu,18,6,2019,100
SAMPLE-050,314.23,RFU,mashapaug,6,int,1,phyco_rfu,18,6,2019,100
SAMPLE-051,315.52,RFU,mashapaug,6,int,2,phyco_rfu,18,6,2019,100
SAMPLE-052,328.52,RFU,mashapaug,p,int,1,phyco_rfu,18,6,2019,100
SAMPLE-054,308.3,RFU,mashapaug,p,int,2,phyco_rfu,18,6,2019,100
SAMPLE-055,305.08,RFU,mashapaug,p,int,3,phyco_rfu,18,6,2019,100
SAMPLE-056,5806.62,RFU,na,solid std,na,na,phyco_rfu,5,9,2019,na
