,value,units,waterbody,site,depth,reps,variable,day,month,year,filter_vol
SAMPLE-001,6004.85,RFU,na,solid std,na,na,phyco_rfu,11,9,2019,na
SAMPLE-002,304.48,RFU,slack,blank,int,1,blank,25,7,2019,na
SAMPLE-003,305.01,RFU,slack,blank,int,2,blank,25,7,2019,na
SAMPLE-004,299.39,RFU,slack,blank,int,3,blank,25,7,2019,100
SAMPLE-005,310.5,RFU,slack,1,int,1,phyco_rfu,25,7,2019,100
SAMPLE-006,311.12,RFU,slack,1,int,2,phyco_rfu,25,7,2019,100
SAMPLE-007,321.27,RFU,slack,1,int,3,phyco_rfu,25,7,2019,100
SAMPLE-008,312.77,RFU,slack,2,int,1,phyco_rfu,25,7,2019,100
AMPLE-009,307.98,RFU,slack,2,int,2,phyco_rfu,25,7,2019,100
SAMPLE-010,305.43,RFU,slack,2,int,3,phyco_rfu,25,7,2019,100
SAMPLE-011,307.34,RFU,slack,3,int,1,phyco_rfu,25,7,2019,100
SAMPLE-012,304.45,RFU,slack,3,int,2,phyco_rfu,25,7,2019,100
SAMPLE-013,306.06,RFU,slack,3,int,3,phyco_rfu,25,7,2019,100
SAMPLE-014,314.53,RFU,slack,4,int,1,phyco_rfu,25,7,2019,100
SAMPLE-015,302.87,RFU,slack,4,int,2,phyco_rfu,25,7,2019,100
SAMPLE-016,301.88,RFU,slack,4,int,3,phyco_rfu,25,7,2019,100
SAMPLE-017,306.35,RFU,slack,5,int,1,phyco_rfu,25,7,2019,100
SAMPLE-018,308.08,RFU,slack,5,int,2,phyco_rfu,25,7,2019,100
SAMPLE-019,301.96,RFU,slack,5,int,3,phyco_rfu,25,7,2019,100
SAMPLE-020,310.42,RFU,slack,blank,int,1,blank,22,8,2019,na
SAMPLE-021,297.43,RFU,slack,blank,int,2,blank,22,8,2019,na
SAMPLE-022,298.87,RFU,slack,blank,int,3,blank,22,8,2019,100
SAMPLE-023,309.38,RFU,slack,1,int,1,phyco_rfu,22,8,2019,100
SAMPLE-024,309.87,RFU,slack,1,int,2,phyco_rfu,22,8,2019,100
AMPLE-025,313.34,RFU,slack,1,int,3,phyco_rfu,22,8,2019,100
SAMPLE-026,315.69,RFU,slack,2,int,1,phyco_rfu,22,8,2019,100
SAMPLE-027,316.61,RFU,slack,2,int,2,phyco_rfu,22,8,2019,100
AMPLE-028,315.96,RFU,slack,2,int,3,phyco_rfu,22,8,2019,100
SAMPLE-029,317.91,RFU,slack,3,int,1,phyco_rfu,22,8,2019,100
SAMPLE-030,317.46,RFU,slack,3,int,2,phyco_rfu,22,8,2019,100
SAMPLE-031,331.52,RFU,slack,3,int,3,phyco_rfu,22,8,2019,100
SAMPLE-032,331.19,RFU,slack,4,int,1,phyco_rfu,22,8,2019,100
SAMPLE-033,317.21,RFU,slack,4,int,2,phyco_rfu,22,8,2019,100
SAMPLE-034,307.78,RFU,slack,4,int,3,phyco_rfu,22,8,2019,100
SAMPLE-035,325.01,RFU,slack,5,int,1,phyco_rfu,22,8,2019,100
SAMPLE-036,314.78,RFU,slack,5,int,2,phyco_rfu,22,8,2019,100
