,value,units,waterbody,site,depth,reps,variable,day,month,year,filter_vol,
SAMPLE-001,6048.59,RFU,na,solid std,na,na,phyco_rfu,18,9,2019,na,
SAMPLE-002,327.71,RFU,warwick,blank,int,1,blank,15,7,2019,na,
SAMPLE-003,323.58,RFU,warwick,blank,int,2,blank,15,7,2019,na,
SAMPLE-004,345.59,RFU,warwick,1,int,1,phyco_rfu,15,7,2019,100,
SAMPLE-005,335.95,RFU,warwick,1,int,2,phyco_rfu,15,7,2019,100,
SAMPLE-008,321.46,RFU,warwick,2,int,1,phyco_rfu,15,7,2019,100,
SAMPLE-009,328.99,RFU,warwick,2,int,2,phyco_rfu,15,7,2019,100,
SAMPLE-010,320.63,RFU,warwick,3,int,1,phyco_rfu,15,7,2019,100,
SAMPLE-011,323.31,RFU,warwick,3,int,2,phyco_rfu,15,7,2019,100,
SAMPLE-012,322.61,RFU,warwick,4,int,1,phyco_rfu,15,7,2019,100,
SAMPLE-013,322.55,RFU,warwick,4,int,2,phyco_rfu,15,7,2019,100,
AMPLE-014,321.19,RFU,warwick,5,int,1,phyco_rfu,15,7,2019,100,
SAMPLE-015,327.87,RFU,warwick,5,int,2,phyco_rfu,15,7,2019,100,
SAMPLE-016,334.46,RFU,warwick,6,int,1,phyco_rfu,15,7,2019,100,
SAMPLE-017,329.74,RFU,warwick,6,int,2,phyco_rfu,15,7,2019,100,
SAMPLE-018,310.78,RFU,warwick,p,int,1,phyco_rfu,15,7,2019,100,
SAMPLE-019,311.8,RFU,warwick,p,int,2,phyco_rfu,15,7,2019,100,
SAMPLE-020,316.02,RFU,warwick,p,int,3,phyco_rfu,15,7,2019,100,
SAMPLE-021,312.65,RFU,yawgoo,blank,int,1,blank,17,7,2019,na,
AMPLE-022,314.6,RFU,yawgoo,blank,int,2,blank,17,7,2019,na,
SAMPLE-023,323.88,RFU,yawgoo,1,int,1,phyco_rfu,17,7,2019,300,
SAMPLE-024,317.73,RFU,yawgoo,1,int,2,phyco_rfu,17,7,2019,300,
SAMPLE-025,314.38,RFU,yawgoo,2,int,1,phyco_rfu,17,7,2019,300,
SAMPLE-026,318.29,RFU,yawgoo,2,int,2,phyco_rfu,17,7,2019,300,
SAMPLE-027,313.75,RFU,yawgoo,3,int,1,phyco_rfu,17,7,2019,300,
SAMPLE-028,312.92,RFU,yawgoo,3,int,2,phyco_rfu,17,7,2019,300,
SAMPLE-029,313.36,RFU,yawgoo,4,int,1,phyco_rfu,17,7,2019,300,
SAMPLE-030,311.86,RFU,yawgoo,4,int,2,phyco_rfu,17,7,2019,300,
SAMPLE-031,310.4,RFU,yawgoo,5,int,1,phyco_rfu,17,7,2019,300,
SAMPLE-032,314.99,RFU,yawgoo,5,int,2,phyco_rfu,17,7,2019,300,
SAMPLE-033,326.97,RFU,yawgoo,6,int,1,phyco_rfu,17,7,2019,300,
SAMPLE-034,319.29,RFU,yawgoo,6,int,2,phyco_rfu,17,7,2019,300,
SAMPLE-036,314.42,RFU,yawgoo,p,int,1,phyco_rfu,17,7,2019,300,
SAMPLE-037,314.75,RFU,yawgoo,p,int,2,phyco_rfu,17,7,2019,300,
SAMPLE-038,348.58,RFU,yawgoo,p,int,3,phyco_rfu,17,7,2019,300,new cuvette
SAMPLE-039,341.58,RFU,mashapaug,blank,int,1,blank,22,7,2019,na,
SAMPLE-040,339.66,RFU,mashapaug,blank,int,2,blank,22,7,2019,na,
SAMPLE-042,366.17,RFU,mashapaug,1,int,1,phyco_rfu,22,7,2019,100,
SAMPLE-044,368.15,RFU,mashapaug,1,int,2,phyco_rfu,22,7,2019,100,
AMPLE-045,369.48,RFU,mashapaug,2,int,1,phyco_rfu,22,7,2019,100,
SAMPLE-046,363.21,RFU,mashapaug,2,int,2,phyco_rfu,22,7,2019,100,
SAMPLE-047,359.57,RFU,mashapaug,3,int,1,phyco_rfu,22,7,2019,100,
AMPLE-048,358.11,RFU,mashapaug,3,int,2,phyco_rfu,22,7,2019,100,
