,value,units,waterbody,site,depth,reps,variable,day,month,year,filter_vol
AMPLE-001,5659.68,RFU,na,solid std,na,na,phyco_rfu,25,9,2019,na
SAMPLE-002,346.6,RFU,mashapaug,blank,int,1,blank,30,7,2019,na
SAMPLE-003,340.81,RFU,mashapaug,blank,int,2,blank,30,7,2019,na
SAMPLE-004,400.25,RFU,mashapaug,1,int,1,phyco_rfu,30,7,2019,100
SAMPLE-005,401.95,RFU,mashapaug,1,int,2,phyco_rfu,30,7,2019,100
SAMPLE-006,411.22,RFU,mashapaug,2,int,1,phyco_rfu,30,7,2019,100
SAMPLE-007,425.55,RFU,mashapaug,2,int,2,phyco_rfu,30,7,2019,100
AMPLE-008,409.73,RFU,mashapaug,3,int,1,phyco_rfu,30,7,2019,100
SAMPLE-009,396.7,RFU,mashapaug,3,int,2,phyco_rfu,30,7,2019,100
SAMPLE-010,418.43,RFU,mashapaug,4,int,1,phyco_rfu,30,7,2019,100
SAMPLE-011,392.59,RFU,mashapaug,4,int,2,phyco_rfu,30,7,2019,100
SAMPLE-012,463.76,RFU,mashapaug,5,int,1,phyco_rfu,30,7,2019,100
SAMPLE-014,452,RFU,mashapaug,5,int,2,phyco_rfu,30,7,2019,100
SAMPLE-015,423.2,RFU,mashapaug,6,int,1,phyco_rfu,30,7,2019,100
SAMPLE-016,434.39,RFU,mashapaug,6,int,2,phyco_rfu,30,7,2019,100
SAMPLE-017,406.34,RFU,mashapaug,p,int,1,phyco_rfu,30,7,2019,100
SAMPLE-018,399.99,RFU,mashapaug,p,int,2,phyco_rfu,30,7,2019,100
SAMPLE-019,407.43,RFU,mashapaug,p,int,3,phyco_rfu,30,7,2019,100
SAMPLE-020,328.54,RFU,warwick,blank,int,1,blank,30,7,2019,na
SAMPLE-021,330.8,RFU,warwick,blank,int,2,blank,30,7,2019,na
SAMPLE-022,331.68,RFU,warwick,1,int,1,phyco_rfu,30,7,2019,100
SAMPLE-023,329.59,RFU,warwick,1,int,2,phyco_rfu,30,7,2019,100
SAMPLE-024,332.46,RFU,warwick,2,int,1,phyco_rfu,30,7,2019,100
SAMPLE-025,334.37,RFU,warwick,2,int,2,phyco_rfu,30,7,2019,100
SAMPLE-026,331.66,RFU,warwick,3,int,1,phyco_rfu,30,7,2019,100
SAMPLE-027,333.1,RFU,warwick,3,int,2,phyco_rfu,30,7,2019,100
SAMPLE-028,331.33,RFU,warwick,4,int,1,phyco_rfu,30,7,2019,100
SAMPLE-029,333.35,RFU,warwick,4,int,2,phyco_rfu,30,7,2019,100
SAMPLE-030,331.51,RFU,warwick,5,int,1,phyco_rfu,30,7,2019,100
SAMPLE-031,334.28,RFU,warwick,5,int,2,phyco_rfu,30,7,2019,100
SAMPLE-032,337.95,RFU,warwick,6,int,1,phyco_rfu,30,7,2019,100
SAMPLE-033,334.11,RFU,warwick,6,int,2,phyco_rfu,30,7,2019,100
SAMPLE-034,328.72,RFU,warwick,p,int,1,phyco_rfu,30,7,2019,100
SAMPLE-035,324.53,RFU,warwick,p,int,2,phyco_rfu,30,7,2019,100
SAMPLE-036,323.96,RFU,warwick,p,int,3,phyco_rfu,30,7,2019,100
SAMPLE-037,321.43,RFU,mashapaug,blank,int,1,blank,1,8,2019,na
AMPLE-038,323.67,RFU,mashapaug,blank,int,2,blank,1,8,2019,na
SAMPLE-039,409.35,RFU,mashapaug,1,int,1,phyco_rfu,1,8,2019,100
SAMPLE-040,398.49,RFU,mashapaug,1,int,2,phyco_rfu,1,8,2019,100
SAMPLE-041,405.45,RFU,mashapaug,2,int,1,phyco_rfu,1,8,2019,100
AMPLE-042,411.17,RFU,mashapaug,2,int,2,phyco_rfu,1,8,2019,100
SAMPLE-043,409.81,RFU,mashapaug,3,int,1,phyco_rfu,1,8,2019,100
SAMPLE-044,406.18,RFU,mashapaug,3,int,2,phyco_rfu,1,8,2019,100
SAMPLE-045,447.67,RFU,mashapaug,4,int,1,phyco_rfu,1,8,2019,100
SAMPLE-047,478.61,RFU,mashapaug,4,int,2,phyco_rfu,1,8,2019,100
SAMPLE-049,436.83,RFU,mashapaug,5,int,1,phyco_rfu,1,8,2019,100
SAMPLE-050,450.96,RFU,mashapaug,5,int,2,phyco_rfu,1,8,2019,100
SAMPLE-051,466.93,RFU,mashapaug,6,int,1,phyco_rfu,1,8,2019,100
SAMPLE-052,510.4,RFU,mashapaug,6,int,2,phyco_rfu,1,8,2019,100
SAMPLE-055,437.08,RFU,mashapaug,p,int,1,phyco_rfu,1,8,2019,100
SAMPLE-056,434.66,RFU,mashapaug,p,int,2,phyco_rfu,1,8,2019,100
SAMPLE-057,434.65,RFU,mashapaug,p,int,3,phyco_rfu,1,8,2019,100
SAMPLE-058,327.11,RFU,warwick,blank,int,1,blank,1,8,2019,na
SAMPLE-059,329.13,RFU,warwick,blank,int,2,blank,1,8,2019,na
SAMPLE-060,346.22,RFU,warwick,1,int,1,phyco_rfu,1,8,2019,100
SAMPLE-061,326.69,RFU,warwick,1,int,2,phyco_rfu,1,8,2019,100
SAMPLE-062,341.51,RFU,warwick,2,int,1,phyco_rfu,1,8,2019,100
SAMPLE-063,324.94,RFU,warwick,2,int,2,phyco_rfu,1,8,2019,100
SAMPLE-064,322.89,RFU,warwick,3,int,1,phyco_rfu,1,8,2019,100
SAMPLE-065,329.43,RFU,warwick,3,int,2,phyco_rfu,1,8,2019,100
SAMPLE-066,329.05,RFU,warwick,4,int,1,phyco_rfu,1,8,2019,100
SAMPLE-067,333.05,RFU,warwick,4,int,2,phyco_rfu,1,8,2019,100
SAMPLE-068,325.9,RFU,warwick,5,int,1,phyco_rfu,1,8,2019,100
SAMPLE-069,324.13,RFU,warwick,5,int,2,phyco_rfu,1,8,2019,100
SAMPLE-070,341.49,RFU,warwick,6,int,1,phyco_rfu,1,8,2019,100
SAMPLE-075,325.82,RFU,warwick,6,int,2,phyco_rfu,1,8,2019,100
SAMPLE-072,330.3,RFU,warwick,p,int,1,phyco_rfu,1,8,2019,100
SAMPLE-073,326.37,RFU,warwick,p,int,2,phyco_rfu,1,8,2019,100
SAMPLE-074,326.31,RFU,warwick,p,int,3,phyco_rfu,1,8,2019,100
SAMPLE-076,5726.39,RFU,na,solid std,na,na,phyco_rfu,25,9,2019,na
