,value,units,waterbody,site,depth,reps,variable,day,month,year,filter_vol
SAMPLE-001,5855.43,RFU,na,solid std,na,na,phyco_rfu,9,10,2019,na
SAMPLE-002,348.67,RFU,mashapaug,blank,int,1,blank,5,8,2019,na
SAMPLE-003,351.62,RFU,mashapaug,blank,int,2,blank,5,8,2019,na
SAMPLE-004,433.25,RFU,mashapaug,1,int,1,phyco_rfu,5,8,2019,75
SAMPLE-005,407.92,RFU,mashapaug,1,int,2,phyco_rfu,5,8,2019,75
SAMPLE-006,434.36,RFU,mashapaug,2,int,1,phyco_rfu,5,8,2019,75
SAMPLE-007,410.88,RFU,mashapaug,2,int,2,phyco_rfu,5,8,2019,75
SAMPLE-008,412.3,RFU,mashapaug,3,int,1,phyco_rfu,5,8,2019,75
SAMPLE-009,413.75,RFU,mashapaug,3,int,2,phyco_rfu,5,8,2019,75
SAMPLE-010,404.29,RFU,mashapaug,4,int,1,phyco_rfu,5,8,2019,75
SAMPLE-011,403.8,RFU,mashapaug,4,int,2,phyco_rfu,5,8,2019,75
SAMPLE-012,405.28,RFU,mashapaug,5,int,1,phyco_rfu,5,8,2019,75
SAMPLE-013,435.9,RFU,mashapaug,5,int,2,phyco_rfu,5,8,2019,75
SAMPLE-015,424.72,RFU,mashapaug,6,int,1,phyco_rfu,5,8,2019,75
SAMPLE-016,403.74,RFU,mashapaug,6,int,2,phyco_rfu,5,8,2019,75
SAMPLE-017,413.87,RFU,mashapaug,p,int,1,phyco_rfu,5,8,2019,75
SAMPLE-018,427.26,RFU,mashapaug,p,int,2,phyco_rfu,5,8,2019,75
SAMPLE-019,417.84,RFU,mashapaug,p,int,3,phyco_rfu,5,8,2019,75
SAMPLE-020,349.71,RFU,warwick,blank,int,1,blank,5,8,2019,na
AMPLE-021,335.05,RFU,warwick,blank,int,2,blank,5,8,2019,na
SAMPLE-022,332.35,RFU,warwick,1,int,1,phyco_rfu,5,8,2019,100
SAMPLE-023,332.96,RFU,warwick,1,int,2,phyco_rfu,5,8,2019,100
SAMPLE-024,341.65,RFU,warwick,2,int,1,phyco_rfu,5,8,2019,100
AMPLE-025,331.26,RFU,warwick,2,int,2,phyco_rfu,5,8,2019,100
AMPLE-029,332.49,RFU,warwick,3,int,1,phyco_rfu,5,8,2019,100
SAMPLE-031,332.36,RFU,warwick,3,int,2,phyco_rfu,5,8,2019,100
SAMPLE-032,335.21,RFU,warwick,4,int,1,phyco_rfu,5,8,2019,100
SAMPLE-033,330.89,RFU,warwick,4,int,2,phyco_rfu,5,8,2019,100
SAMPLE-034,334.33,RFU,warwick,5,int,1,phyco_rfu,5,8,2019,100
SAMPLE-035,332.85,RFU,warwick,5,int,2,phyco_rfu,5,8,2019,100
SAMPLE-036,328.88,RFU,warwick,6,int,1,phyco_rfu,5,8,2019,100
AMPLE-037,335.71,RFU,warwick,6,int,2,phyco_rfu,5,8,2019,100
SAMPLE-038,325.28,RFU,warwick,p,int,1,phyco_rfu,5,8,2019,100
SAMPLE-039,324.6,RFU,warwick,p,int,2,phyco_rfu,5,8,2019,100
SAMPLE-040,327.22,RFU,warwick,p,int,3,phyco_rfu,5,8,2019,100
SAMPLE-041,332.04,RFU,yawgoo,blank,int,1,blank,5,8,2019,na
SAMPLE-042,323.61,RFU,yawgoo,blank,int,2,blank,5,8,2019,na
SAMPLE-043,343.21,RFU,yawgoo,1,int,1,phyco_rfu,5,8,2019,300
SAMPLE-044,333.53,RFU,yawgoo,1,int,2,phyco_rfu,5,8,2019,300
SAMPLE-045,334.89,RFU,yawgoo,2,int,1,phyco_rfu,5,8,2019,300
SAMPLE-046,331.07,RFU,yawgoo,2,int,2,phyco_rfu,5,8,2019,300
SAMPLE-047,330.4,RFU,yawgoo,3,int,1,phyco_rfu,5,8,2019,300
SAMPLE-048,338.31,RFU,yawgoo,3,int,2,phyco_rfu,5,8,2019,300
SAMPLE-049,336.78,RFU,yawgoo,4,int,1,phyco_rfu,5,8,2019,300
SAMPLE-050,336.73,RFU,yawgoo,4,int,2,phyco_rfu,5,8,2019,300
SAMPLE-051,338.49,RFU,yawgoo,5,int,1,phyco_rfu,5,8,2019,300
SAMPLE-052,335.11,RFU,yawgoo,5,int,2,phyco_rfu,5,8,2019,300
SAMPLE-053,334.73,RFU,yawgoo,6,int,1,phyco_rfu,5,8,2019,300
SAMPLE-054,335.18,RFU,yawgoo,6,int,2,phyco_rfu,5,8,2019,300
SAMPLE-055,333.21,RFU,yawgoo,p,int,1,phyco_rfu,5,8,2019,300
SAMPLE-056,335.11,RFU,yawgoo,p,int,2,phyco_rfu,5,8,2019,300
SAMPLE-057,333.55,RFU,yawgoo,p,int,3,phyco_rfu,5,8,2019,300
SAMPLE-058,5701.41,RFU,na,solid std,na,na,phyco_rfu,9,10,2019,na
