,value,units,waterbody,site,depth,reps,variable,day,month,year,filter_vol,
SAMPLE-001,5895.3,RFU,na,solid std,na,na,phyco_rfu,21,11,2019,na,
SAMPLE-002,340.94,RFU,mashapaug,blank,int,1,blank,4,9,2019,na,
SAMPLE-003,343.34,RFU,mashapaug,blank,int,2,blank,4,9,2019,na,
SAMPLE-004,447.71,RFU,mashapaug,1,int,1,phyco_rfu,4,9,2019,75,
SAMPLE-005,487.26,RFU,mashapaug,1,int,2,phyco_rfu,4,9,2019,75,
SAMPLE-006,432.64,RFU,mashapaug,2,int,1,phyco_rfu,4,9,2019,75,
SAMPLE-007,420.21,RFU,mashapaug,2,int,2,phyco_rfu,4,9,2019,75,
SAMPLE-008,438.32,RFU,mashapaug,3,int,1,phyco_rfu,4,9,2019,75,
SAMPLE-009,438.87,RFU,mashapaug,3,int,2,phyco_rfu,4,9,2019,75,
SAMPLE-010,431.74,RFU,mashapaug,4,int,1,phyco_rfu,4,9,2019,75,
SAMPLE-011,427.3,RFU,mashapaug,4,int,2,phyco_rfu,4,9,2019,75,
SAMPLE-012,417.63,RFU,mashapaug,5,int,1,phyco_rfu,4,9,2019,75,
SAMPLE-013,415.24,RFU,mashapaug,5,int,2,phyco_rfu,4,9,2019,75,
SAMPLE-014,398.78,RFU,mashapaug,6,int,1,phyco_rfu,4,9,2019,75,
SAMPLE-015,422.42,RFU,mashapaug,6,int,2,phyco_rfu,4,9,2019,75,
AMPLE-016,450.85,RFU,mashapaug,p,int,1,phyco_rfu,4,9,2019,75,
SAMPLE-017,467.54,RFU,mashapaug,p,int,2,phyco_rfu,4,9,2019,75,
SAMPLE-018,437.08,RFU,mashapaug,p,int,3,phyco_rfu,4,9,2019,75,
SAMPLE-020,372.1,RFU,warwick,blank,int,1,blank,4,9,2019,na,
SAMPLE-022,344.59,RFU,warwick,blank,int,2,blank,4,9,2019,na,
SAMPLE-023,350.98,RFU,warwick,1,int,1,phyco_rfu,4,9,2019,75,
SAMPLE-024,341.76,RFU,warwick,1,int,2,phyco_rfu,4,9,2019,75,
SAMPLE-025,339.31,RFU,warwick,2,int,1,phyco_rfu,4,9,2019,75,
SAMPLE-026,339.89,RFU,warwick,2,int,2,phyco_rfu,4,9,2019,75,
SAMPLE-027,342.84,RFU,warwick,3,int,1,phyco_rfu,4,9,2019,75,
SAMPLE-028,354.34,RFU,warwick,3,int,2,phyco_rfu,4,9,2019,75,
SAMPLE-029,345.62,RFU,warwick,4,int,1,phyco_rfu,4,9,2019,75,
AMPLE-030,346.04,RFU,warwick,4,int,2,phyco_rfu,4,9,2019,75,
SAMPLE-031,345.84,RFU,warwick,5,int,1,phyco_rfu,4,9,2019,75,
SAMPLE-032,346.56,RFU,warwick,5,int,2,phyco_rfu,4,9,2019,75,
SAMPLE-033,349.12,RFU,warwick,6,int,1,phyco_rfu,4,9,2019,75,
SAMPLE-034,335.31,RFU,warwick,6,int,2,phyco_rfu,4,9,2019,75,
SAMPLE-035,345.78,RFU,warwick,p,int,1,phyco_rfu,4,9,2019,75,
SAMPLE-036,461.51,RFU,warwick,p,int,2,phyco_rfu,4,9,2019,75,
SAMPLE-039,395.24,RFU,warwick,p,int,3,phyco_rfu,4,9,2019,75,
AMPLE-040,332.82,RFU,yawgoo,blank,int,1,blank,4,9,2019,na,
SAMPLE-041,335.86,RFU,yawgoo,blank,int,2,blank,4,9,2019,na,
SAMPLE-042,348.41,RFU,yawgoo,1,int,1,phyco_rfu,4,9,2019,300,
SAMPLE-043,347.04,RFU,yawgoo,1,int,2,phyco_rfu,4,9,2019,300,
SAMPLE-044,347.38,RFU,yawgoo,2,int,1,phyco_rfu,4,9,2019,300,
SAMPLE-045,356.24,RFU,yawgoo,2,int,2,phyco_rfu,4,9,2019,300,
SAMPLE-046,370.72,RFU,yawgoo,3,int,1,phyco_rfu,4,9,2019,300,
SAMPLE-047,354.59,RFU,yawgoo,3,int,2,phyco_rfu,4,9,2019,300,
SAMPLE-048,354.45,RFU,yawgoo,4,int,1,phyco_rfu,4,9,2019,300,
SAMPLE-049,354.6,RFU,yawgoo,4,int,2,phyco_rfu,4,9,2019,300,
AMPLE-050,348.17,RFU,yawgoo,5,int,1,phyco_rfu,4,9,2019,300,
SAMPLE-051,357.53,RFU,yawgoo,5,int,2,phyco_rfu,4,9,2019,300,
SAMPLE-052,346.86,RFU,yawgoo,6,int,1,phyco_rfu,4,9,2019,300,
SAMPLE-053,340.98,RFU,yawgoo,6,int,2,phyco_rfu,4,9,2019,300,
SAMPLE-054,367.31,RFU,yawgoo,p,int,1,phyco_rfu,4,9,2019,300,
SAMPLE-056,356.4,RFU,yawgoo,p,int,2,phyco_rfu,4,9,2019,300,
SAMPLE-057,348.72,RFU,yawgoo,p,int,3,phyco_rfu,4,9,2019,300,
SAMPLE-058,344.87,RFU,yawgoo,blank,int,1,blank,9,9,2019,na,
SAMPLE-059,339.14,RFU,yawgoo,blank,int,2,blank,9,9,2019,na,
AMPLE-060,348.13,RFU,yawgoo,1,int,1,phyco_rfu,9,9,2019,300,
SAMPLE-061,346.38,RFU,yawgoo,1,int,2,phyco_rfu,9,9,2019,300,
SAMPLE-062,347.95,RFU,yawgoo,2,int,1,phyco_rfu,9,9,2019,300,
SAMPLE-063,343.21,RFU,yawgoo,2,int,2,phyco_rfu,9,9,2019,300,
SAMPLE-064,380.05,RFU,yawgoo,3,int,1,phyco_rfu,9,9,2019,300,
SAMPLE-065,385.59,RFU,yawgoo,3,int,2,phyco_rfu,9,9,2019,300,
SAMPLE-066,374.93,RFU,yawgoo,4,int,1,phyco_rfu,9,9,2019,300,
SAMPLE-067,356.53,RFU,yawgoo,4,int,2,phyco_rfu,9,9,2019,300,
SAMPLE-068,401.18,RFU,yawgoo,5,int,1,phyco_rfu,9,9,2019,300,
SAMPLE-069,772.41,RFU,yawgoo,5,int,2,phyco_rfu,9,9,2019,300,sediment
SAMPLE-071,392.15,RFU,yawgoo,6,int,1,phyco_rfu,9,9,2019,300,
SAMPLE-072,355.42,RFU,yawgoo,6,int,2,phyco_rfu,9,9,2019,300,
SAMPLE-073,347.06,RFU,yawgoo,p,int,1,phyco_rfu,9,9,2019,300,
SAMPLE-074,344.54,RFU,yawgoo,p,int,2,phyco_rfu,9,9,2019,300,
SAMPLE-075,346.14,RFU,yawgoo,p,int,3,phyco_rfu,9,9,2019,300,
AMPLE-076,5794.76,RFU,na,solid std,na,na,phyco_rfu,21,11,2019,na,
