,value,units,waterbody,site,depth,reps,variable,day,month,year,filter_vol
SAMPLE-001,5790.32,RFU,na,solid std,na,na,phyco_rfu,27,1,2020,na
SAMPLE-002,364.01,RFU,slacks,blank,int,1,blank,7,11,2019,na
SAMPLE-003,339.08,RFU,slacks,blank,int,2,blank,7,11,2019,na
SAMPLE-004,340.65,RFU,slacks,blank,int,3,blank,7,11,2019,na
SAMPLE-005,366.79,RFU,slacks,1,int,1,phyco_rfu,7,11,2019,250
SAMPLE-006,362.03,RFU,slacks,1,int,2,phyco_rfu,7,11,2019,250
SAMPLE-007,367.6,RFU,slacks,1,int,3,phyco_rfu,7,11,2019,250
SAMPLE-008,361.52,RFU,slacks,2,int,1,phyco_rfu,7,11,2019,250
SAMPLE-009,353.76,RFU,slacks,2,int,2,phyco_rfu,7,11,2019,250
SAMPLE-010,364.37,RFU,slacks,2,int,3,phyco_rfu,7,11,2019,250
SAMPLE-011,368.18,RFU,slacks,3,int,1,phyco_rfu,7,11,2019,250
SAMPLE-012,378.81,RFU,slacks,3,int,2,phyco_rfu,7,11,2019,250
SAMPLE-013,365.88,RFU,slacks,3,int,3,phyco_rfu,7,11,2019,250
SAMPLE-014,357.64,RFU,slacks,4,int,1,phyco_rfu,7,11,2019,250
SAMPLE-015,371.03,RFU,slacks,4,int,2,phyco_rfu,7,11,2019,250
SAMPLE-016,366.4,RFU,slacks,4,int,3,phyco_rfu,7,11,2019,250
SAMPLE-017,371.85,RFU,slacks,5,int,1,phyco_rfu,7,11,2019,250
SAMPLE-018,371.07,RFU,slacks,5,int,2,phyco_rfu,7,11,2019,250
SAMPLE-019,369.52,RFU,slacks,5,int,3,phyco_rfu,7,11,2019,250
SAMPLE-020,334.75,RFU,slacks,blank,int,1,blank,26,9,2019,na
SAMPLE-021,336.97,RFU,slacks,blank,int,2,blank,26,9,2019,na
SAMPLE-022,333.95,RFU,slacks,blank,int,3,blank,26,9,2019,na
SAMPLE-023,350.82,RFU,slacks,1,int,1,phyco_rfu,26,9,2019,200
SAMPLE-024,353.43,RFU,slacks,1,int,2,phyco_rfu,26,9,2019,200
SAMPLE-025,348.85,RFU,slacks,1,int,3,phyco_rfu,26,9,2019,200
SAMPLE-026,353.96,RFU,slacks,2,int,1,phyco_rfu,26,9,2019,200
SAMPLE-027,351.57,RFU,slacks,2,int,2,phyco_rfu,26,9,2019,200
SAMPLE-028,355.74,RFU,slacks,2,int,3,phyco_rfu,26,9,2019,200
SAMPLE-029,372.19,RFU,slacks,3,int,1,phyco_rfu,26,9,2019,200
SAMPLE-030,365.26,RFU,slacks,3,int,2,phyco_rfu,26,9,2019,200
SAMPLE-031,366.58,RFU,slacks,3,int,3,phyco_rfu,26,9,2019,200
SAMPLE-032,362.21,RFU,slacks,4,int,1,phyco_rfu,26,9,2019,200
SAMPLE-033,368.43,RFU,slacks,4,int,2,phyco_rfu,26,9,2019,200
SAMPLE-034,357.73,RFU,slacks,4,int,3,phyco_rfu,26,9,2019,200
SAMPLE-035,358.74,RFU,slacks,5,int,1,phyco_rfu,26,9,2019,200
SAMPLE-036,369.97,RFU,slacks,5,int,2,phyco_rfu,26,9,2019,200
SAMPLE-037,346.03,RFU,slacks,5,int,3,phyco_rfu,26,9,2019,200
SAMPLE-038,332.12,RFU,slacks,blank,int,1,blank,24,10,2019,na
SAMPLE-039,352.5,RFU,slacks,blank,int,2,blank,24,10,2019,na
SAMPLE-040,334.9,RFU,slacks,blank,int,3,blank,24,10,2019,na
SAMPLE-041,363.74,RFU,slacks,1,int,1,phyco_rfu,24,10,2019,250
SAMPLE-042,371.09,RFU,slacks,1,int,2,phyco_rfu,24,10,2019,250
SAMPLE-043,392.87,RFU,slacks,1,int,3,phyco_rfu,24,10,2019,250
SAMPLE-044,362.18,RFU,slacks,2,int,1,phyco_rfu,24,10,2019,250
SAMPLE-045,381.17,RFU,slacks,2,int,2,phyco_rfu,24,10,2019,250
SAMPLE-046,362.44,RFU,slacks,2,int,3,phyco_rfu,24,10,2019,250
SAMPLE-047,379.19,RFU,slacks,3,int,1,phyco_rfu,24,10,2019,250
SAMPLE-048,380.69,RFU,slacks,3,int,2,phyco_rfu,24,10,2019,250
SAMPLE-049,378.86,RFU,slacks,3,int,3,phyco_rfu,24,10,2019,250
SAMPLE-050,388.01,RFU,slacks,4,int,1,phyco_rfu,24,10,2019,250
SAMPLE-051,371.86,RFU,slacks,4,int,2,phyco_rfu,24,10,2019,250
SAMPLE-052,377.63,RFU,slacks,4,int,3,phyco_rfu,24,10,2019,250
SAMPLE-053,379.98,RFU,slacks,5,int,1,phyco_rfu,24,10,2019,250
SAMPLE-054,372.95,RFU,slacks,5,int,2,phyco_rfu,24,10,2019,250
SAMPLE-055,374,RFU,slacks,5,int,3,phyco_rfu,24,10,2019,250
SAMPLE-056,357.41,RFU,yawgoo,blank,int,1,blank,26,9,2019,na
SAMPLE-057,337.37,RFU,yawgoo,blank,int,2,blank,26,9,2019,na
SAMPLE-058,351.43,RFU,yawgoo,1,int,1,phyco_rfu,26,9,2019,300
AMPLE-059,346.03,RFU,yawgoo,1,int,2,phyco_rfu,26,9,2019,300
SAMPLE-060,344.5,RFU,yawgoo,2,int,1,phyco_rfu,26,9,2019,300
SAMPLE-061,337.99,RFU,yawgoo,2,int,2,phyco_rfu,26,9,2019,300
SAMPLE-062,341.32,RFU,yawgoo,3,int,1,phyco_rfu,26,9,2019,300
SAMPLE-063,342.63,RFU,yawgoo,3,int,2,phyco_rfu,26,9,2019,300
SAMPLE-064,359.46,RFU,yawgoo,4,int,1,phyco_rfu,26,9,2019,300
SAMPLE-065,363.34,RFU,yawgoo,4,int,2,phyco_rfu,26,9,2019,300
SAMPLE-066,345.87,RFU,yawgoo,5,int,1,phyco_rfu,26,9,2019,300
SAMPLE-067,348.01,RFU,yawgoo,5,int,2,phyco_rfu,26,9,2019,300
SAMPLE-068,349.48,RFU,yawgoo,6,int,1,phyco_rfu,26,9,2019,300
AMPLE-069,342.15,RFU,yawgoo,6,int,2,phyco_rfu,26,9,2019,300
SAMPLE-070,337.12,RFU,yawgoo,p,int,1,phyco_rfu,26,9,2019,300
SAMPLE-071,343.39,RFU,yawgoo,p,int,2,phyco_rfu,26,9,2019,300
SAMPLE-072,337.18,RFU,yawgoo,p,int,3,phyco_rfu,26,9,2019,300
SAMPLE-073,5766.25,RFU,na,solid std,na,na,phyco_rfu,27,1,2020,na
