,value,units,waterbody,site,depth,reps,variable,day,month,year,filter_vol
SAMPLE-001,5655.17,RFU,na,solid std,na,na,phyco_rfu,10,2,2020,na
SAMPLE-002,351.37,RFU,warwick,blank,int,1,blank,28,10,2019,na
SAMPLE-003,341.81,RFU,warwick,blank,int,2,blank,28,10,2019,na
SAMPLE-006,347.91,RFU,warwick,1,int,1,phyco_rfu,28,10,2019,50
SAMPLE-007,350.68,RFU,warwick,1,int,2,phyco_rfu,28,10,2019,50
SAMPLE-008,365.48,RFU,warwick,2,int,1,phyco_rfu,28,10,2019,50
SAMPLE-009,361.26,RFU,warwick,2,int,2,phyco_rfu,28,10,2019,50
SAMPLE-010,355.76,RFU,warwick,3,int,1,phyco_rfu,28,10,2019,50
SAMPLE-011,354.42,RFU,warwick,3,int,2,phyco_rfu,28,10,2019,50
SAMPLE-012,369.36,RFU,warwick,4,int,1,phyco_rfu,28,10,2019,50
SAMPLE-013,356.49,RFU,warwick,4,int,2,phyco_rfu,28,10,2019,50
SAMPLE-014,355.13,RFU,warwick,5,int,1,phyco_rfu,28,10,2019,50
SAMPLE-015,357.54,RFU,warwick,5,int,2,phyco_rfu,28,10,2019,50
SAMPLE-016,373.66,RFU,warwick,6,int,1,phyco_rfu,28,10,2019,50
AMPLE-017,361.01,RFU,warwick,6,int,2,phyco_rfu,28,10,2019,50
SAMPLE-018,354.76,RFU,warwick,p,int,1,phyco_rfu,28,10,2019,50
SAMPLE-019,350.51,RFU,warwick,p,int,2,phyco_rfu,28,10,2019,50
SAMPLE-020,352.12,RFU,warwick,p,int,3,phyco_rfu,28,10,2019,50
SAMPLE-021,341.78,RFU,yawgoo,blank,int,1,blank,4,11,2019,na
SAMPLE-022,339.46,RFU,yawgoo,blank,int,2,blank,4,11,2019,na
SAMPLE-023,343.35,RFU,yawgoo,1,int,1,phyco_rfu,4,11,2019,300
SAMPLE-024,350.05,RFU,yawgoo,1,int,2,phyco_rfu,4,11,2019,300
SAMPLE-025,346.92,RFU,yawgoo,2,int,1,phyco_rfu,4,11,2019,300
SAMPLE-026,344.97,RFU,yawgoo,2,int,2,phyco_rfu,4,11,2019,300
SAMPLE-027,338.05,RFU,yawgoo,3,int,1,phyco_rfu,4,11,2019,300
SAMPLE-028,339.55,RFU,yawgoo,3,int,2,phyco_rfu,4,11,2019,300
SAMPLE-029,339.61,RFU,yawgoo,4,int,1,phyco_rfu,4,11,2019,300
SAMPLE-030,337.29,RFU,yawgoo,4,int,2,phyco_rfu,4,11,2019,300
AMPLE-031,340.87,RFU,yawgoo,5,int,1,phyco_rfu,4,11,2019,300
SAMPLE-032,338.55,RFU,yawgoo,5,int,2,phyco_rfu,4,11,2019,300
SAMPLE-033,337.49,RFU,yawgoo,6,int,1,phyco_rfu,4,11,2019,300
SAMPLE-034,352.58,RFU,yawgoo,6,int,2,phyco_rfu,4,11,2019,300
SAMPLE-035,344.84,RFU,yawgoo,p,int,1,phyco_rfu,4,11,2019,300
SAMPLE-036,342.95,RFU,yawgoo,p,int,2,phyco_rfu,4,11,2019,300
SAMPLE-037,345.07,RFU,yawgoo,p,int,3,phyco_rfu,4,11,2019,300
SAMPLE-038,341.43,RFU,mashapaug,blank,int,1,blank,6,11,2019,na
SAMPLE-039,337.93,RFU,mashapaug,blank,int,2,blank,6,11,2019,na
SAMPLE-040,454.3,RFU,mashapaug,1,int,1,phyco_rfu,6,11,2019,75
SAMPLE-041,448.59,RFU,mashapaug,1,int,2,phyco_rfu,6,11,2019,75
SAMPLE-042,595.25,RFU,mashapaug,2,int,1,phyco_rfu,6,11,2019,75
SAMPLE-043,522.25,RFU,mashapaug,2,int,2,phyco_rfu,6,11,2019,75
AMPLE-044,501.48,RFU,mashapaug,3,int,1,phyco_rfu,6,11,2019,75
SAMPLE-045,549.79,RFU,mashapaug,3,int,2,phyco_rfu,6,11,2019,75
SAMPLE-046,443.38,RFU,mashapaug,4,int,1,phyco_rfu,6,11,2019,75
SAMPLE-047,464.61,RFU,mashapaug,4,int,2,phyco_rfu,6,11,2019,75
SAMPLE-048,513.2,RFU,mashapaug,5,int,1,phyco_rfu,6,11,2019,75
SAMPLE-049,481.66,RFU,mashapaug,5,int,2,phyco_rfu,6,11,2019,75
SAMPLE-050,484.92,RFU,mashapaug,6,int,1,phyco_rfu,6,11,2019,75
SAMPLE-051,489.79,RFU,mashapaug,6,int,2,phyco_rfu,6,11,2019,75
SAMPLE-052,516.47,RFU,mashapaug,p,int,1,phyco_rfu,6,11,2019,75
SAMPLE-053,468.69,RFU,mashapaug,p,int,2,phyco_rfu,6,11,2019,75
AMPLE-054,455.73,RFU,mashapaug,p,int,3,phyco_rfu,6,11,2019,75
SAMPLE-056,339.3,RFU,warwick,blank,int,1,blank,6,11,2019,na
SAMPLE-057,336.1,RFU,warwick,blank,int,2,blank,6,11,2019,na
SAMPLE-058,341.05,RFU,warwick,1,int,1,phyco_rfu,6,11,2019,75
SAMPLE-059,348.61,RFU,warwick,1,int,2,phyco_rfu,6,11,2019,75
SAMPLE-060,374.68,RFU,warwick,2,int,1,phyco_rfu,6,11,2019,75
SAMPLE-061,342.38,RFU,warwick,2,int,2,phyco_rfu,6,11,2019,75
SAMPLE-062,342.98,RFU,warwick,3,int,1,phyco_rfu,6,11,2019,75
SAMPLE-063,346.07,RFU,warwick,3,int,2,phyco_rfu,6,11,2019,75
