,value,units,waterbody,site,depth,reps,variable,day,month,year,filter_vol,fluorometer
SAMPLE-001,10071.36,RFU,na,solid std,na,na,phyco_rfu,26,8,2021,na,G04
SAMPLE-012,47.35,RFU,yawgoo,blank,int,1,blank,16,6,2021,na,G04
SAMPLE-013,48.13,RFU,yawgoo,blank,int,2,blank,16,6,2021,na,G04
SAMPLE-014,57.17,RFU,yawgoo,1,int,1,phyco_rfu,16,6,2021,300,G04
SAMPLE-015,61.68,RFU,yawgoo,1,int,2,phyco_rfu,16,6,2021,300,G04
SAMPLE-016,56.27,RFU,yawgoo,2,int,1,phyco_rfu,16,6,2021,300,G04
SAMPLE-017,52.66,RFU,yawgoo,2,int,2,phyco_rfu,16,6,2021,300,G04
SAMPLE-018,56.09,RFU,yawgoo,3,int,1,phyco_rfu,16,6,2021,300,G04
SAMPLE-019,52.19,RFU,yawgoo,3,int,2,phyco_rfu,16,6,2021,300,G04
SAMPLE-020,55.64,RFU,yawgoo,4,int,1,phyco_rfu,16,6,2021,300,G04
SAMPLE-021,53.07,RFU,yawgoo,4,int,2,phyco_rfu,16,6,2021,300,G04
SAMPLE-022,58.11,RFU,yawgoo,5,int,1,phyco_rfu,16,6,2021,300,G04
SAMPLE-023,55.63,RFU,yawgoo,5,int,2,phyco_rfu,16,6,2021,300,G04
SAMPLE-024,54.57,RFU,yawgoo,6,int,1,phyco_rfu,16,6,2021,300,G04
SAMPLE-025,53.57,RFU,yawgoo,6,int,2,phyco_rfu,16,6,2021,300,G04
SAMPLE-026,57.74,RFU,yawgoo,p,int,1,phyco_rfu,16,6,2021,300,G04
SAMPLE-027,55.09,RFU,yawgoo,p,int,2,phyco_rfu,16,6,2021,300,G04
SAMPLE-028,56.89,RFU,yawgoo,p,int,3,phyco_rfu,16,6,2021,300,G04
SAMPLE-029,50.07,RFU,mashapaug,blank,int,1,blank,24,6,2021,na,G04
SAMPLE-030,48.6,RFU,mashapaug,blank,int,2,blank,24,6,2021,na,G04
SAMPLE-031,1041,RFU,mashapaug,1,int,1,phyco_rfu,24,6,2021,200,G04
SAMPLE-032,1192.03,RFU,mashapaug,1,int,2,phyco_rfu,24,6,2021,200,G04
SAMPLE-033,1615.79,RFU,mashapaug,2,int,1,phyco_rfu,24,6,2021,200,G04
SAMPLE-034,1436.4,RFU,mashapaug,2,int,2,phyco_rfu,24,6,2021,200,G04
SAMPLE-035,1358.82,RFU,mashapaug,3,int,1,phyco_rfu,24,6,2021,200,G04
SAMPLE-036,1586.59,RFU,mashapaug,3,int,2,phyco_rfu,24,6,2021,200,G04
SAMPLE-037,1534.16,RFU,mashapaug,4,int,1,phyco_rfu,24,6,2021,200,G04
SAMPLE-038,1416.39,RFU,mashapaug,4,int,2,phyco_rfu,24,6,2021,200,G04
SAMPLE-039,1599.87,RFU,mashapaug,5,int,1,phyco_rfu,24,6,2021,200,G04
SAMPLE-040,1485.5,RFU,mashapaug,5,int,2,phyco_rfu,24,6,2021,200,G04
SAMPLE-042,1151.38,RFU,mashapaug,6,int,1,phyco_rfu,24,6,2021,200,G04
SAMPLE-043,1346.67,RFU,mashapaug,6,int,2,phyco_rfu,24,6,2021,200,G04
SAMPLE-044,1065.37,RFU,mashapaug,p,int,1,phyco_rfu,24,6,2021,200,G04
SAMPLE-045,1209.13,RFU,mashapaug,p,int,2,phyco_rfu,24,6,2021,200,G04
SAMPLE-046,996.4,RFU,mashapaug,p,int,3,phyco_rfu,24,6,2021,200,G04
SAMPLE-047,48.77,RFU,warwick,blank,int,1,blank,24,6,2021,na,G04
SAMPLE-048,48.19,RFU,warwick,blank,int,2,blank,24,6,2021,na,G04
SAMPLE-049,247.01,RFU,warwick,1,int,1,phyco_rfu,24,6,2021,200,G04
SAMPLE-050,213.18,RFU,warwick,1,int,2,phyco_rfu,24,6,2021,200,G04
SAMPLE-051,254.97,RFU,warwick,2,int,1,phyco_rfu,24,6,2021,200,G04
SAMPLE-052,245.51,RFU,warwick,2,int,2,phyco_rfu,24,6,2021,200,G04
SAMPLE-053,287,RFU,warwick,3,int,1,phyco_rfu,24,6,2021,200,G04
SAMPLE-054,165.37,RFU,warwick,3,int,2,phyco_rfu,24,6,2021,200,G04
SAMPLE-055,157.52,RFU,warwick,4,int,1,phyco_rfu,24,6,2021,200,G04
SAMPLE-056,167.56,RFU,warwick,4,int,2,phyco_rfu,24,6,2021,200,G04
SAMPLE-057,112.93,RFU,warwick,5,int,1,phyco_rfu,24,6,2021,200,G04
SAMPLE-058,115.33,RFU,warwick,5,int,2,phyco_rfu,24,6,2021,200,G04
SAMPLE-059,157.62,RFU,warwick,6,int,1,phyco_rfu,24,6,2021,200,G04
SAMPLE-060,139.09,RFU,warwick,6,int,2,phyco_rfu,24,6,2021,200,G04
SAMPLE-061,180.9,RFU,warwick,p,int,1,phyco_rfu,24,6,2021,200,G04
SAMPLE-062,222.9,RFU,warwick,p,int,2,phyco_rfu,24,6,2021,200,G04
SAMPLE-063,175.65,RFU,warwick,p,int,3,phyco_rfu,24,6,2021,200,G04
SAMPLE-064,9795.19,RFU,na,solid std,na,na,phyco_rfu,26,8,2021,na,G04
