,value,units,waterbody,site,depth,reps,variable,day,month,year,filter_vol,fluorometer
SAMPLE-001,10061.83,RFU,na,solid std,na,na,phyco_rfu,26,10,2021,na,G04
SAMPLE-002,65.93,RFU,mashapaug,blank,int,1,blank,18,8,2021,na,G04
SAMPLE-003,58.59,RFU,mashapaug,blank,int,2,blank,18,8,2021,na,G04
SAMPLE-004,1348.16,RFU,mashapaug,1,int,1,phyco_rfu,18,8,2021,100,G04
SAMPLE-005,1391.43,RFU,mashapaug,1,int,2,phyco_rfu,18,8,2021,100,G04
SAMPLE-006,1408.72,RFU,mashapaug,2,int,1,phyco_rfu,18,8,2021,100,G04
SAMPLE-007,1546.76,RFU,mashapaug,2,int,2,phyco_rfu,18,8,2021,100,G04
SAMPLE-008,1505.4,RFU,mashapaug,3,int,1,phyco_rfu,18,8,2021,100,G04
SAMPLE-009,1592.39,RFU,mashapaug,3,int,2,phyco_rfu,18,8,2021,100,G04
SAMPLE-010,1319.57,RFU,mashapaug,4,int,1,phyco_rfu,18,8,2021,100,G04
SAMPLE-011,1403.26,RFU,mashapaug,4,int,2,phyco_rfu,18,8,2021,100,G04
SAMPLE-012,1320.77,RFU,mashapaug,5,int,1,phyco_rfu,18,8,2021,100,G04
SAMPLE-013,1113.99,RFU,mashapaug,5,int,2,phyco_rfu,18,8,2021,100,G04
SAMPLE-014,1527.76,RFU,mashapaug,6,int,1,phyco_rfu,18,8,2021,100,G04
SAMPLE-015,1429.81,RFU,mashapaug,6,int,2,phyco_rfu,18,8,2021,100,G04
SAMPLE-016,1413.8,RFU,mashapaug,p,int,1,phyco_rfu,18,8,2021,100,G04
SAMPLE-017,1430.05,RFU,mashapaug,p,int,2,phyco_rfu,18,8,2021,100,G04
SAMPLE-018,1495.35,RFU,mashapaug,p,int,3,phyco_rfu,18,8,2021,100,G04
SAMPLE-019,61.54,RFU,warwick,blank,int,1,blank,18,8,2021,na,G04
SAMPLE-020,64.29,RFU,warwick,blank,int,2,blank,18,8,2021,na,G04
SAMPLE-021,483.18,RFU,warwick,1,int,1,phyco_rfu,18,8,2021,100,G04
SAMPLE-022,560.95,RFU,warwick,1,int,2,phyco_rfu,18,8,2021,100,G04
SAMPLE-023,702.1,RFU,warwick,2,int,1,phyco_rfu,18,8,2021,100,G04
SAMPLE-024,730.45,RFU,warwick,2,int,2,phyco_rfu,18,8,2021,100,G04
SAMPLE-025,779.6,RFU,warwick,3,int,1,phyco_rfu,18,8,2021,100,G04
SAMPLE-026,751.41,RFU,warwick,3,int,2,phyco_rfu,18,8,2021,100,G04
SAMPLE-027,533.99,RFU,warwick,4,int,1,phyco_rfu,18,8,2021,100,G04
SAMPLE-028,550.64,RFU,warwick,4,int,2,phyco_rfu,18,8,2021,100,G04
SAMPLE-029,694.29,RFU,warwick,5,int,1,phyco_rfu,18,8,2021,100,G04
SAMPLE-030,634.45,RFU,warwick,5,int,2,phyco_rfu,18,8,2021,100,G04
SAMPLE-031,437.16,RFU,warwick,6,int,1,phyco_rfu,18,8,2021,100,G04
SAMPLE-032,475.67,RFU,warwick,6,int,2,phyco_rfu,18,8,2021,100,G04
SAMPLE-033,616.61,RFU,warwick,p,int,1,phyco_rfu,18,8,2021,100,G04
SAMPLE-034,735.79,RFU,warwick,p,int,2,phyco_rfu,18,8,2021,100,G04
SAMPLE-035,331.12,RFU,warwick,p,int,3,phyco_rfu,18,8,2021,100,G04
SAMPLE-036,66.41,RFU,mashapaug,blank,int,1,blank,23,9,2021,na,G04
SAMPLE-037,59.68,RFU,mashapaug,blank,int,2,blank,23,9,2021,na,G04
SAMPLE-038,1240.85,RFU,mashapaug,1,int,1,phyco_rfu,23,9,2021,100,G04
SAMPLE-039,1852.8,RFU,mashapaug,1,int,2,phyco_rfu,23,9,2021,100,G04
SAMPLE-040,1180.02,RFU,mashapaug,2,int,1,phyco_rfu,23,9,2021,100,G04
SAMPLE-041,2020.88,RFU,mashapaug,2,int,2,phyco_rfu,23,9,2021,100,G04
SAMPLE-042,1214.92,RFU,mashapaug,3,int,1,phyco_rfu,23,9,2021,100,G04
SAMPLE-043,1698.65,RFU,mashapaug,3,int,2,phyco_rfu,23,9,2021,100,G04
SAMPLE-044,1988.03,RFU,mashapaug,4,int,1,phyco_rfu,23,9,2021,100,G04
SAMPLE-045,1773.91,RFU,mashapaug,4,int,2,phyco_rfu,23,9,2021,100,G04
SAMPLE-046,1351.34,RFU,mashapaug,5,int,1,phyco_rfu,23,9,2021,100,G04
SAMPLE-047,1410.37,RFU,mashapaug,5,int,2,phyco_rfu,23,9,2021,100,G04
SAMPLE-048,2828.14,RFU,mashapaug,6,int,1,phyco_rfu,23,9,2021,100,G04
SAMPLE-049,2676.69,RFU,mashapaug,6,int,2,phyco_rfu,23,9,2021,100,G04
SAMPLE-050,1809,RFU,mashapaug,p,int,1,phyco_rfu,23,9,2021,100,G04
SAMPLE-051,1914.59,RFU,mashapaug,p,int,2,phyco_rfu,23,9,2021,100,G04
SAMPLE-052,1728.07,RFU,mashapaug,p,int,3,phyco_rfu,23,9,2021,100,G04
SAMPLE-053,64.29,RFU,warwick,blank,int,1,blank,23,9,2021,na,G04
SAMPLE-054,65.17,RFU,warwick,blank,int,2,blank,23,9,2021,na,G04
SAMPLE-055,797.91,RFU,warwick,1,int,1,phyco_rfu,23,9,2021,100,G04
SAMPLE-056,1045.82,RFU,warwick,1,int,2,phyco_rfu,23,9,2021,100,G04
SAMPLE-057,711.8,RFU,warwick,2,int,1,phyco_rfu,23,9,2021,100,G04
SAMPLE-058,738.13,RFU,warwick,2,int,2,phyco_rfu,23,9,2021,100,G04
SAMPLE-059,681.14,RFU,warwick,3,int,1,phyco_rfu,23,9,2021,100,G04
SAMPLE-060,863.29,RFU,warwick,3,int,2,phyco_rfu,23,9,2021,100,G04
SAMPLE-061,699.85,RFU,warwick,4,int,1,phyco_rfu,23,9,2021,100,G04
SAMPLE-062,645.05,RFU,warwick,4,int,2,phyco_rfu,23,9,2021,100,G04
SAMPLE-063,953.66,RFU,warwick,5,int,1,phyco_rfu,23,9,2021,100,G04
SAMPLE-064,890.9,RFU,warwick,5,int,2,phyco_rfu,23,9,2021,100,G04
SAMPLE-065,1111.43,RFU,warwick,6,int,1,phyco_rfu,23,9,2021,100,G04
SAMPLE-066,1050.98,RFU,warwick,6,int,2,phyco_rfu,23,9,2021,100,G04
SAMPLE-067,727.42,RFU,warwick,p,int,1,phyco_rfu,23,9,2021,100,G04
