,value,units,waterbody,site,depth,reps,variable,day,month,year,filter_vol,fluorometer
SAMPLE-001,10099.63,RFU,na,solid std,na,na,phyco_rfu,3,11,2021,na,G04
SAMPLE-002,60.59,RFU,mashapaug,blank,int,1,blank,12,10,2021,na,G04
SAMPLE-003,62.13,RFU,mashapaug,blank,int,2,blank,12,10,2021,na,G04
SAMPLE-005,1398.1,RFU,mashapaug,1,int,1,phyco_rfu,12,10,2021,100,G04
SAMPLE-006,810.3,RFU,mashapaug,1,int,2,phyco_rfu,12,10,2021,100,G04
SAMPLE-007,672.9,RFU,mashapaug,2,int,1,phyco_rfu,12,10,2021,100,G04
SAMPLE-008,729.19,RFU,mashapaug,2,int,2,phyco_rfu,12,10,2021,100,G04
SAMPLE-009,1826.92,RFU,mashapaug,3,int,1,phyco_rfu,12,10,2021,100,G04
SAMPLE-010,931.67,RFU,mashapaug,3,int,2,phyco_rfu,12,10,2021,100,G04
SAMPLE-011,1817.88,RFU,mashapaug,4,int,1,phyco_rfu,12,10,2021,100,G04
SAMPLE-012,1525.92,RFU,mashapaug,4,int,2,phyco_rfu,12,10,2021,100,G04
SAMPLE-013,636.71,RFU,mashapaug,5,int,1,phyco_rfu,12,10,2021,100,G04
SAMPLE-014,929.57,RFU,mashapaug,5,int,2,phyco_rfu,12,10,2021,100,G04
SAMPLE-015,664.88,RFU,mashapaug,6,int,1,phyco_rfu,12,10,2021,100,G04
SAMPLE-016,694.37,RFU,mashapaug,6,int,2,phyco_rfu,12,10,2021,100,G04
SAMPLE-017,876.41,RFU,mashapaug,p,int,1,phyco_rfu,12,10,2021,100,G04
SAMPLE-018,703.06,RFU,mashapaug,p,int,2,phyco_rfu,12,10,2021,100,G04
SAMPLE-019,761.04,RFU,mashapaug,p,int,3,phyco_rfu,12,10,2021,100,G04
SAMPLE-020,57.08,RFU,warwick,blank,int,1,blank,12,10,2021,na,G04
SAMPLE-021,82.76,RFU,warwick,blank,int,2,blank,12,10,2021,na,G04
SAMPLE-023,74.68,RFU,warwick,1,int,1,phyco_rfu,12,10,2021,50,G04
SAMPLE-024,70.94,RFU,warwick,1,int,2,phyco_rfu,12,10,2021,50,G04
SAMPLE-025,79.62,RFU,warwick,2,int,1,phyco_rfu,12,10,2021,50,G04
SAMPLE-026,80.19,RFU,warwick,2,int,2,phyco_rfu,12,10,2021,50,G04
SAMPLE-027,81.53,RFU,warwick,3,int,1,phyco_rfu,12,10,2021,50,G04
SAMPLE-028,63.41,RFU,warwick,3,int,2,phyco_rfu,12,10,2021,50,G04
SAMPLE-029,59.14,RFU,warwick,4,int,1,phyco_rfu,12,10,2021,50,G04
