,value,units,waterbody,site,depth,reps,variable,day,month,year
SAMPLE-005,7.25,NTU,mashapaug,1,int,1,turb,24,7,2019
SAMPLE-006,12.35,NTU,mashapaug,1,int,2,turb,24,7,2019
SAMPLE-007,6.32,NTU,mashapaug,2,int,1,turb,24,7,2019
SAMPLE-008,7.52,NTU,mashapaug,2,int,2,turb,24,7,2019
SAMPLE-009,5.84,NTU,mashapaug,3,int,1,turb,24,7,2019
SAMPLE-010,7.32,NTU,mashapaug,3,int,2,turb,24,7,2019
SAMPLE-011,8.53,NTU,mashapaug,4,int,1,turb,24,7,2019
SAMPLE-012,8.41,NTU,mashapaug,4,int,2,turb,24,7,2019
SAMPLE-013,10.89,NTU,mashapaug,5,int,1,turb,24,7,2019
SAMPLE-014,8.75,NTU,mashapaug,5,int,2,turb,24,7,2019
SAMPLE-015,6.85,NTU,mashapaug,6,int,1,turb,24,7,2019
SAMPLE-016,6.66,NTU,mashapaug,6,int,2,turb,24,7,2019
SAMPLE-017,9.85,NTU,mashapaug,p,int,1,turb,24,7,2019
SAMPLE-018,8.29,NTU,mashapaug,p,int,2,turb,24,7,2019
SAMPLE-019,10.43,NTU,mashapaug,p,int,3,turb,24,7,2019
SAMPLE-020,4.65,NTU,warwick,1,int,1,turb,24,7,2019
SAMPLE-021,3.35,NTU,warwick,1,int,2,turb,24,7,2019
SAMPLE-022,4.4,NTU,warwick,2,int,1,turb,24,7,2019
SAMPLE-023,4.05,NTU,warwick,2,int,2,turb,24,7,2019
SAMPLE-024,3.47,NTU,warwick,3,int,1,turb,24,7,2019
SAMPLE-025,3.23,NTU,warwick,3,int,2,turb,24,7,2019
SAMPLE-026,2.37,NTU,warwick,4,int,1,turb,24,7,2019
SAMPLE-027,2.25,NTU,warwick,4,int,2,turb,24,7,2019
SAMPLE-028,3.37,NTU,warwick,5,int,1,turb,24,7,2019
SAMPLE-029,3.27,NTU,warwick,5,int,2,turb,24,7,2019
SAMPLE-030,3.86,NTU,warwick,6,int,1,turb,24,7,2019
SAMPLE-031,3.18,NTU,warwick,6,int,2,turb,24,7,2019
SAMPLE-032,2.69,NTU,warwick,p,int,1,turb,24,7,2019
SAMPLE-033,3.41,NTU,warwick,p,int,2,turb,24,7,2019
SAMPLE-034,3.52,NTU,warwick,p,int,3,turb,24,7,2019
