,value,units,waterbody,site,depth,reps,variable,day,month,year
SAMPLE-001,99.97,NTU,na,100 ntu,na,na,turb,5,8,2019
SAMPLE-002,10.01,NTU,na,10 ntu,na,na,turb,5,8,2019
SAMPLE-003,0.02,NTU,na,blank,na,na,turb,5,8,2019
SAMPLE-004,0.67,NTU,yawgoo,1,int,1,turb,5,8,2019
SAMPLE-005,0.6,NTU,yawgoo,1,int,2,turb,5,8,2019
SAMPLE-006,0.44,NTU,yawgoo,2,int,1,turb,5,8,2019
SAMPLE-007,0.77,NTU,yawgoo,2,int,2,turb,5,8,2019
SAMPLE-008,1.41,NTU,yawgoo,3,int,1,turb,5,8,2019
SAMPLE-009,0.13,NTU,yawgoo,3,int,2,turb,5,8,2019
SAMPLE-010,0.73,NTU,yawgoo,4,int,1,turb,5,8,2019
SAMPLE-011,1.98,NTU,yawgoo,4,int,2,turb,5,8,2019
SAMPLE-012,0.23,NTU,yawgoo,5,int,1,turb,5,8,2019
SAMPLE-013,0.39,NTU,yawgoo,5,int,2,turb,5,8,2019
SAMPLE-014,0.74,NTU,yawgoo,6,int,1,turb,5,8,2019
SAMPLE-015,0.68,NTU,yawgoo,6,int,2,turb,5,8,2019
SAMPLE-016,0.09,NTU,yawgoo,p,int,1,turb,5,8,2019
SAMPLE-017,1.22,NTU,yawgoo,p,int,2,turb,5,8,2019
SAMPLE-018,0.4,NTU,yawgoo,p,int,3,turb,5,8,2019
SAMPLE-019,99.67,NTU,na,100 ntu,na,na,turb,5,8,2019
SAMPLE-020,10.04,NTU,na,10 ntu,na,na,turb,5,8,2019
SAMPLE-021,-0.1,NTU,na,blank,na,na,turb,5,8,2019
