day,month,year,waterbody,mesh,variable,value,class,
12,6,2017,yawgoo,150,dilution,150,na ,
12,6,2017,yawgoo,150,aliquots,6,na ,
12,6,2017,yawgoo,150,calanoid,247,copepod,
12,6,2017,yawgoo,150,cyclopoid,46,copepod,
12,6,2017,yawgoo,150,harpactacoid,1,copepod,
12,6,2017,yawgoo,150,daphnia,40,cladocera,
12,6,2017,yawgoo,150,pleuroxas,1,cladocera,
12,6,2017,yawgoo,150,bosmina,1,cladocera,
12,6,2017,yawgoo,150,polyphemus,1,cladocera,
12,6,2017,warwick,150,dilution,150,na ,
12,6,2017,warwick,150,aliquots,3,na ,
12,6,2017,warwick,150,calanoid,2,copepod,
12,6,2017,warwick,150,cyclopoid,147,copepod,
12,6,2017,warwick,150,harpactacoid,4,copepod,
12,6,2017,warwick,150,bosmina,59,cladocera,
12,6,2017,warwick,150,daphnia,212,cladocera,
8,6,2017,yawgoo,150,dilution,150,na ,
8,6,2017,yawgoo,150,aliquots,5,na ,
8,6,2017,yawgoo,150,calanoid,210,copepod,
8,6,2017,yawgoo,150,cyclopoid,35,copepod,
8,6,2017,yawgoo,150,daphnia,70,cladocera,
8,6,2017,yawgoo,150,diaphanosoma,1,cladocera,
8,6,2017,yawgoo,150,alona,1,cladocera,
8,6,2017,yawgoo,150,bosmina,1,cladocera,
8,6,2017,warwick,150,dilution,150,na ,
8,6,2017,warwick,150,aliquots,3,na ,
8,6,2017,warwick,150,cyclopoid,136,copepod,
8,6,2017,warwick,150,harpactacoid,1,copepod,
8,6,2017,warwick,150,bosmina,320,cladocera,
8,6,2017,warwick,150,daphnia,198,cladocera,
22,6,2017,warwick,150,dilution,100,na ,
22,6,2017,warwick,150,aliquots,6,na ,
22,6,2017,warwick,150,cyclopoid,240,copepod,
22,6,2017,warwick,150,bosmina,62,cladocera,
22,6,2017,warwick,150,daphnia,3,cladocera,
22,6,2017,warwick,150,eubosmina,4,cladocera,
22,6,2017,warwick,150,chydorus,1,cladocera,
