date,waterbody,site,depth,field_dups,lab_reps,variable,units,value,notes,long,lat
2017-06-07,warwick,1,int,1,NA,ext_chla,µg/L,20.512,m07 fluorometer with older curve,-71.410363,41.725555
2017-06-07,warwick,1,int,2,NA,ext_chla,µg/L,20.603,m07 fluorometer with older curve,-71.410363,41.725555
2017-06-07,warwick,2,int,1,NA,ext_chla,µg/L,23.634,m07 fluorometer with older curve,-71.411058,41.721389
2017-06-07,warwick,2,int,2,NA,ext_chla,µg/L,25.252,m07 fluorometer with older curve,-71.411058,41.721389
2017-06-07,warwick,3,int,1,NA,ext_chla,µg/L,17.933,m07 fluorometer with older curve,-71.414491,41.720409
2017-06-07,warwick,3,int,2,NA,ext_chla,µg/L,16.619,m07 fluorometer with older curve,-71.414491,41.720409
2017-06-07,warwick,4,int,1,NA,ext_chla,µg/L,20.052,m07 fluorometer with older curve,-71.413968,41.722483
2017-06-07,warwick,4,int,2,NA,ext_chla,µg/L,16.355,m07 fluorometer with older curve,-71.413968,41.722483
2017-06-07,warwick,5,int,1,NA,ext_chla,µg/L,12.952,m07 fluorometer with older curve,-71.415196,41.725119
2017-06-07,warwick,5,int,2,NA,ext_chla,µg/L,12.738,m07 fluorometer with older curve,-71.415196,41.725119
2017-06-07,warwick,6,int,1,NA,ext_chla,µg/L,15.785,m07 fluorometer with older curve,-71.414031,41.726751
2017-06-07,warwick,6,int,2,NA,ext_chla,µg/L,17.607,m07 fluorometer with older curve,-71.414031,41.726751
2017-06-07,warwick,p,int,1,NA,ext_chla,µg/L,13.767,m07 fluorometer with older curve,-71.411984,41.722666
2017-06-07,warwick,p,int,2,NA,ext_chla,µg/L,22.964,m07 fluorometer with older curve,-71.411984,41.722666
2017-06-07,warwick,p,int,3,NA,ext_chla,µg/L,23.763,m07 fluorometer with older curve,-71.411984,41.722666
2017-06-07,yawgoo,1,int,1,NA,ext_chla,µg/L,0.814,m07 fluorometer with older curve,-71.573721,41.515308
2017-06-07,yawgoo,1,int,2,NA,ext_chla,µg/L,1.604,m07 fluorometer with older curve,-71.573721,41.515308
2017-06-07,yawgoo,2,int,1,NA,ext_chla,µg/L,2.051,m07 fluorometer with older curve,-71.571179,41.513535
2017-06-07,yawgoo,2,int,2,NA,ext_chla,µg/L,2.129,m07 fluorometer with older curve,-71.571179,41.513535
2017-06-07,yawgoo,3,int,1,NA,ext_chla,µg/L,3.148,m07 fluorometer with older curve,-71.56939,41.510087
2017-06-07,yawgoo,3,int,2,NA,ext_chla,µg/L,3.79,m07 fluorometer with older curve,-71.56939,41.510087
2017-06-07,yawgoo,4,int,1,NA,ext_chla,µg/L,3.346,m07 fluorometer with older curve,-71.57059,41.508108
2017-06-07,yawgoo,4,int,2,NA,ext_chla,µg/L,3.511,m07 fluorometer with older curve,-71.57059,41.508108
2017-06-07,yawgoo,5,int,1,NA,ext_chla,µg/L,2.818,m07 fluorometer with older curve,-71.572813,41.50866
2017-06-07,yawgoo,5,int,2,NA,ext_chla,µg/L,2.91,m07 fluorometer with older curve,-71.572813,41.50866
2017-06-07,yawgoo,6,int,1,NA,ext_chla,µg/L,1.752,m07 fluorometer with older curve,-71.575512,41.512846
2017-06-07,yawgoo,6,int,2,NA,ext_chla,µg/L,1.896,m07 fluorometer with older curve,-71.575512,41.512846
2017-06-07,yawgoo,p,int,1,NA,ext_chla,µg/L,2.742,m07 fluorometer with older curve,-71.573015,41.510675
2017-06-07,yawgoo,p,int,2,NA,ext_chla,µg/L,1.693,m07 fluorometer with older curve,-71.573015,41.510675
2017-06-07,yawgoo,p,int,3,NA,ext_chla,µg/L,2.215,m07 fluorometer with older curve,-71.573015,41.510675
2017-06-12,warwick,1,int,1,NA,ext_chla,µg/L,11.043,m07 fluorometer with older curve,-71.410363,41.725555
2017-06-12,warwick,1,int,2,NA,ext_chla,µg/L,8.862,m07 fluorometer with older curve,-71.410363,41.725555
2017-06-12,warwick,2,int,1,NA,ext_chla,µg/L,9.259,m07 fluorometer with older curve,-71.411058,41.721389
2017-06-12,warwick,2,int,2,NA,ext_chla,µg/L,10.689,m07 fluorometer with older curve,-71.411058,41.721389
2017-06-12,warwick,3,int,1,NA,ext_chla,µg/L,9.191,m07 fluorometer with older curve,-71.414491,41.720409
2017-06-12,warwick,3,int,2,NA,ext_chla,µg/L,10.291,m07 fluorometer with older curve,-71.414491,41.720409
2017-06-12,warwick,4,int,1,NA,ext_chla,µg/L,15.254,m07 fluorometer with older curve,-71.413968,41.722483
2017-06-12,warwick,4,int,2,NA,ext_chla,µg/L,10.991,m07 fluorometer with older curve,-71.413968,41.722483
2017-06-12,warwick,5,int,1,NA,ext_chla,µg/L,14.259,m07 fluorometer with older curve,-71.415196,41.725119
2017-06-12,warwick,5,int,2,NA,ext_chla,µg/L,13.525,m07 fluorometer with older curve,-71.415196,41.725119
2017-06-12,warwick,6,int,1,NA,ext_chla,µg/L,11.462,m07 fluorometer with older curve,-71.414031,41.726751
2017-06-12,warwick,6,int,2,NA,ext_chla,µg/L,9.511,m07 fluorometer with older curve,-71.414031,41.726751
2017-06-12,warwick,p,int,1,NA,ext_chla,µg/L,11.495,m07 fluorometer with older curve,-71.411984,41.722666
2017-06-12,warwick,p,int,2,NA,ext_chla,µg/L,9.759,m07 fluorometer with older curve,-71.411984,41.722666
2017-06-12,warwick,p,int,3,NA,ext_chla,µg/L,12.617,m07 fluorometer with older curve,-71.411984,41.722666
2017-06-12,yawgoo,1,int,2,NA,ext_chla,µg/L,3.111,m07 fluorometer with older curve,-71.573721,41.515308
2017-06-12,yawgoo,2,int,1,NA,ext_chla,µg/L,4.042,m07 fluorometer with older curve,-71.571179,41.513535
2017-06-12,yawgoo,2,int,2,NA,ext_chla,µg/L,2.324,m07 fluorometer with older curve,-71.571179,41.513535
2017-06-12,yawgoo,3,int,1,NA,ext_chla,µg/L,2.078,m07 fluorometer with older curve,-71.56939,41.510087
2017-06-12,yawgoo,3,int,2,NA,ext_chla,µg/L,1.916,m07 fluorometer with older curve,-71.56939,41.510087
